place_id,place_name,about,link
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJ1SO6ZAnkDDkRA8qzgADduxs,Jama Masjid Kahkashan jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipNKw2ptMNxximZzYc1bp89jninho1LXD_IUqk8=w395-h298-k-no
ChIJ1SO6ZAnkDDkRA8qzgADduxs,Jama Masjid Kahkashan jm` msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tYuq7jJDvnoWSS3UFdtLww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.05597&pitch=0&thumbfov=100
ChIJ1SO6ZAnkDDkRA8qzgADduxs,Jama Masjid Kahkashan jm` msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipM6MQrDVLKJIWMr-SPNqzTULA8QbkY5Ta_ahU0D=w529-h298-k-no
ChIJ2SnSbxvkDDkRrxWfLswAS_c,Shaheen Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMWYcRcwPxe0NXQbKZGeGEcdHhOYqyjqxYKQ-YV=w529-h298-k-no
ChIJ2SnSbxvkDDkRrxWfLswAS_c,Shaheen Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPn0id0Yx01FH2NCc9lv2exP476IE_M9ZSOyJg8=w529-h298-k-no
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,All,https://lh5.googleusercontent.com/p/AF1QipNkl2Fq4q7tOwmg1VhmV4DqQwlZc_D1ehSb5-4W=w397-h298-k-no
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D3R2V6-Sd2057uhsSdA14A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=223.15468&pitch=0&thumbfov=100
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,Videos,https://lh5.googleusercontent.com/p/AF1QipNAdHC9KEbnML3fgdAEMe5Euk3mcrWUInnwKcMn=w224-h398-k-no
