place_id,place_name,about,link
ChIJ0ZMLoOLAwjsRAX0BOXsVuDM,Masjid-e-Aqsa,All,https://lh5.googleusercontent.com/p/AF1QipPvwh4U6N47-3dxSDewLLU9F8B5PHk_-C9SFIKi=w224-h298-k-no
ChIJ0ZMLoOLAwjsRAX0BOXsVuDM,Masjid-e-Aqsa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rrKtlO8HqTjnCLThgUct3Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=108.16723&pitch=0&thumbfov=100
ChIJ0ZMLoOLAwjsRAX0BOXsVuDM,Masjid-e-Aqsa,Videos,https://lh5.googleusercontent.com/p/AF1QipPCiq8OHBcTomR-heVQk_26VDpJpE2pb4k5CSPG=w224-h398-k-no
ChIJU_EmKkHAwjsR90SrLt1AgyY,Roshan Masjid (Ahle Sunnat wal Jama'at),All,https://lh5.googleusercontent.com/p/AF1QipMV7LylX9X6hx6xwUYPQMl7M9CkDUlALr3L44cB=w241-h298-k-no
ChIJU_EmKkHAwjsR90SrLt1AgyY,Roshan Masjid (Ahle Sunnat wal Jama'at),Latest,https://lh5.googleusercontent.com/p/AF1QipMjk78h74B7KjsUOtjSsj29qLjGOrNYSJOjmBkh=w529-h298-k-no
ChIJU_EmKkHAwjsR90SrLt1AgyY,Roshan Masjid (Ahle Sunnat wal Jama'at),Videos,https://lh5.googleusercontent.com/p/AF1QipNR3tey2odQA-4WuQ2gFZsNka9Fk4hAKAyFowd6=w224-h484-k-no
ChIJU_EmKkHAwjsR90SrLt1AgyY,Roshan Masjid (Ahle Sunnat wal Jama'at),By owner,https://lh5.googleusercontent.com/p/AF1QipMV7LylX9X6hx6xwUYPQMl7M9CkDUlALr3L44cB=w241-h298-k-no
ChIJU_EmKkHAwjsR90SrLt1AgyY,Roshan Masjid (Ahle Sunnat wal Jama'at),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nb9PVaK-g_BhGnaQj0Mfdw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.091316&pitch=0&thumbfov=100
ChIJ6ZZ_PmvAwjsRDEBJSyabQyI,Hazrat Raza Shah Fakir Takiya Shia Trust,All,https://lh5.googleusercontent.com/p/AF1QipNn-NPrZBceflIUhqyY26M_JiIAzh4A_Aufn9LG=w397-h298-k-no
ChIJ6ZZ_PmvAwjsRDEBJSyabQyI,Hazrat Raza Shah Fakir Takiya Shia Trust,By owner,https://lh5.googleusercontent.com/p/AF1QipPM57wKDIA0Gfivp8eJUUyjB7fh161gMhFMRaNK=w397-h298-k-no
ChIJ6ZZ_PmvAwjsRDEBJSyabQyI,Hazrat Raza Shah Fakir Takiya Shia Trust,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=huYurWqguidNRs2TNh2dTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=259.3235&pitch=0&thumbfov=100
ChIJKb_L4RTAwjsRgHt2H1we5Sc,Makka Masjid Mominpura,All,https://lh5.googleusercontent.com/p/AF1QipM3WzgoRRYI4okaWfNeni7zhU-OiSe_ybv3Qy5B=w224-h398-k-no
ChIJKb_L4RTAwjsRgHt2H1we5Sc,Makka Masjid Mominpura,Latest,https://lh5.googleusercontent.com/p/AF1QipOltAorCDNJObq1tKXdiOt4ku9LdcI7eNc-RLM2=w224-h398-k-no
ChIJKb_L4RTAwjsRgHt2H1we5Sc,Makka Masjid Mominpura,Videos,https://lh5.googleusercontent.com/p/AF1QipNXoKxa3mBDs0QGLDgAJD3EpJF96k-eMbC9OQWQ=w224-h397-k-no
ChIJKb_L4RTAwjsRgHt2H1we5Sc,Makka Masjid Mominpura,Dome,https://lh5.googleusercontent.com/p/AF1QipPD9LC-hzAnNY7WyLZxXHg94lQWOpHjasTsla-U=w394-h298-k-no
