place_id,place_name,about,link
ChIJ5aHuqtD77zkR2fL70SqiNy4,Madni Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOBKqOpCmEZ4WLZ52IuSvor2AcbTvUCTT3JQSif=w224-h298-k-no
ChIJ5aHuqtD77zkR2fL70SqiNy4,Madni Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOChpeoC5zsB2x8RSuwUX1Wp7axIsyGdvq4YAeK=w224-h398-k-no
ChIJ5aHuqtD77zkR2fL70SqiNy4,Madni Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipO7qVQOR-Yqlz8JsTkPTw1xQn9k9jZ8EoCGcgwJ=w224-h398-k-no
ChIJ5aHuqtD77zkR2fL70SqiNy4,Madni Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wLbSNfnXVk4bkNarXW13aQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=23.709837&pitch=0&thumbfov=100
ChIJ-ypOmwX57zkRKxlSyIVNyrQ,Rocky Digital Zone,All,https://lh5.googleusercontent.com/p/AF1QipPOYQF2CO7qmdNIGTrC5o9KvRkmELCJpXn_8Nmq=w397-h298-k-no
ChIJ-ypOmwX57zkRKxlSyIVNyrQ,Rocky Digital Zone,By owner,https://lh5.googleusercontent.com/p/AF1QipPD3rhkEiYf1-Fb8R9x5RiLD3-Wz__2_Bx0hXpB=w224-h472-k-no
ChIJ-ypOmwX57zkRKxlSyIVNyrQ,Rocky Digital Zone,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P5LZCExMzh07LlgnyGAxrQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=314.32486&pitch=0&thumbfov=100
ChIJbTFGug757zkR-BEPP-EyNgI,JAMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipPUVJU3h73xwu4Qlgx2I4SrX65re-OF0mewPFTE=w272-h298-k-no
ChIJbTFGug757zkR-BEPP-EyNgI,JAMA MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipNMAOcXSiUfVshRyboRTGv9pfTZAu-XHWGbUdx0=w529-h298-k-no
ChIJbTFGug757zkR-BEPP-EyNgI,JAMA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipMGlGrP4SYg_GUkpMU9PV_FwcX-ykdtonudCTC6=w541-h298-k-no
ChIJbTFGug757zkR-BEPP-EyNgI,JAMA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eKYdrh8-3gbIGOjuUYx3Yg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=274.7301&pitch=0&thumbfov=100
ChIJe-PmuAf57zkRMrDlwrvadVU,Chhoti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMYQPU_IFaAjdURA5dV-hBbz5Ha7TKMMONkqFkW=w529-h298-k-no
ChIJe-PmuAf57zkRMrDlwrvadVU,Chhoti Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipO6L_ojvDZHuOr5zYpz2EOb4NftkB38qTdcYMif=w529-h298-k-no
ChIJe-PmuAf57zkRMrDlwrvadVU,Chhoti Masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipMYQPU_IFaAjdURA5dV-hBbz5Ha7TKMMONkqFkW=w529-h298-k-no
ChIJe-PmuAf57zkRMrDlwrvadVU,Chhoti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-gyqWaIe_3i80p64tQpvTA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=235.06476&pitch=0&thumbfov=100
ChIJs4pn1AT57zkRfAAsffC6wcs,"Islamia Masjid, Islam Nagar, Madhopara, purnia",All,https://lh5.googleusercontent.com/p/AF1QipONGOW7cxNyIuaxhwMVUOjxkqqYVTtpZpJxWx__=w224-h298-k-no
ChIJ2XtO-IH57zkROEa0FMRR6kc,Jama Masjid Molvi Tola,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iw0WOOwAGGrD8Pl80hHh1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.113815&pitch=0&thumbfov=100
ChIJ2XtO-IH57zkROEa0FMRR6kc,Jama Masjid Molvi Tola,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=iw0WOOwAGGrD8Pl80hHh1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.113815&pitch=0&thumbfov=100
ChIJIX9PFxD57zkRmpfX0eb9Dok,Chistiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO8OQC0ReIRy_BrD_fkhkiNkzOsz-gnTZSSXnBB=w224-h298-k-no
ChIJIX9PFxD57zkRmpfX0eb9Dok,Chistiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPGQjxbpZ_o20lWMgf_grJEG3ceGj3cqIiUxCL0=w224-h298-k-no
ChIJIX9PFxD57zkRmpfX0eb9Dok,Chistiya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPWUy0cQGSOmECu40nYyDJScMm4w5uu-SvCFma3=w224-h398-k-no
ChIJIX9PFxD57zkRmpfX0eb9Dok,Chistiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hBSLGDHcy8iHFaKAPq_fCQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=184.82458&pitch=0&thumbfov=100
ChIJOUQ-QQj57zkRSaQ62h4A0Ro,Sajjadia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMdGxHRaE-xLpdXePYSaKHyK5vPu1QNM94o7rCU=w224-h298-k-no
ChIJOUQ-QQj57zkRSaQ62h4A0Ro,Sajjadia Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOwu7dyoRsfmjKk1Cg5iOthfmcKKfZ2odVFAh26=w224-h398-k-no
ChIJOUQ-QQj57zkRSaQ62h4A0Ro,Sajjadia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPxtluYKOjntMQRtFI-miMp9VNqAuzOAVMOdeT2=w224-h398-k-no
ChIJOUQ-QQj57zkRSaQ62h4A0Ro,Sajjadia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qZD6Wn9qFhJdFaoZY-Ocrg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=298.62177&pitch=0&thumbfov=100
ChIJQc2bFA757zkROI-8Q6JrbGQ,CHHOTI MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOrUwcxbo2kM5qjdQ3JyD7zYtmUa14yi_PwlqcQ=w529-h298-k-no
ChIJQc2bFA757zkROI-8Q6JrbGQ,CHHOTI MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipP3bA4lIQPjMv2gR3WlFo84HSi8bupccXxppsgb=w224-h398-k-no
ChIJQc2bFA757zkROI-8Q6JrbGQ,CHHOTI MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vZl8kYS6JIBpPdbS4_xZsA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=158.02692&pitch=0&thumbfov=100
ChIJuQGW-2757zkRZqUPP3irYds,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN2QXWeNZaVIagwU2cvDCvb0tAed6I0TgRhXCIV=w628-h298-k-no
ChIJuQGW-2757zkRZqUPP3irYds,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xjxltEoCYmfHDhDj9exhzQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=140.21193&pitch=0&thumbfov=100
ChIJYzXgEqz57zkR170s-2SOIRw,"Jama Masjid Rambagh, Purnia",All,https://lh5.googleusercontent.com/p/AF1QipNSaz25KBEATnOwHal3UjbA08jknvYuVUJC-l9l=w401-h298-k-no
ChIJYzXgEqz57zkR170s-2SOIRw,"Jama Masjid Rambagh, Purnia",Videos,https://lh5.googleusercontent.com/p/AF1QipN3kUVFOE2U0Cqg9K0E7TkAYIyObg3hZPHuEJ5z=w224-h398-k-no
ChIJFaftpEH47zkRtjGs5SfHuVY,"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY",All,https://lh5.googleusercontent.com/p/AF1QipOOrP5Bd164GcYj9u43L6OpuGzLGQFcQcC4c_Qo=w529-h298-k-no
ChIJFaftpEH47zkRtjGs5SfHuVY,"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY",Dome,https://lh5.googleusercontent.com/p/AF1QipNGswbZ0Vtp05UIZ0moq0xXCRZXL7NtFFFynWwd=w529-h298-k-no
ChIJFaftpEH47zkRtjGs5SfHuVY,"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY",Videos,https://lh5.googleusercontent.com/p/AF1QipMnzhxWGH58gKD_qGQ9j0_w8qGATmDVdOp5U8L1=w529-h298-k-no
ChIJFaftpEH47zkRtjGs5SfHuVY,"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY",By owner,https://lh5.googleusercontent.com/p/AF1QipOPIEex8XusL53sDnIhwiQMaj_Wb07wBC5yJzTj=w529-h298-k-no
ChIJ4fM5qx377zkRhlpcqZ2W4HI,Jama Masjid Aadampur Purnea,All,https://lh5.googleusercontent.com/p/AF1QipP6KXVBGCt3K66vnBV9XNLsLD94pOIDeSPukIYD=w397-h298-k-no
ChIJ4fM5qx377zkRhlpcqZ2W4HI,Jama Masjid Aadampur Purnea,By owner,https://lh5.googleusercontent.com/p/AF1QipMuVsnM8yoBm_NsVKu95ky2aqIrBP5_fASanOjH=w224-h497-k-no
ChIJ4fM5qx377zkRhlpcqZ2W4HI,Jama Masjid Aadampur Purnea,Videos,https://lh5.googleusercontent.com/p/AF1QipNxJeHGMkziJvlaMXEbLWwDvHA8Kfp8IBUMTVB_=w529-h298-k-no
ChIJ4fM5qx377zkRhlpcqZ2W4HI,Jama Masjid Aadampur Purnea,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=seHWjz2YrFMp_gkkzqk3cw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=269.32477&pitch=0&thumbfov=100
ChIJu8G_8H757zkRMYBLgTt3-J0,"Jama Masjid , sipahi tola",All,https://lh5.googleusercontent.com/p/AF1QipOZ_ZvIpOTIkmIfZYPSKc3DSEvTDe5Cpy3JraKO=w496-h298-k-no
ChIJu8G_8H757zkRMYBLgTt3-J0,"Jama Masjid , sipahi tola",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IhmM56d-S5bvX9gzxDMPJg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=250.88004&pitch=0&thumbfov=100
ChIJD8YgllT57zkRg4tlCdWqSu8,RAJA BARI MASJID,All,https://lh5.googleusercontent.com/p/AF1QipNJO4qNfEYtduRsYHZQlP70du3gmjMm8hym72xx=w224-h298-k-no
ChIJD8YgllT57zkRg4tlCdWqSu8,RAJA BARI MASJID,Dome,https://lh5.googleusercontent.com/p/AF1QipMCQTqlbv6ZASlIa8zfOB6mvaAwmvKEgIBtlGSn=w224-h298-k-no
