name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Madni Masjid,Mosque,"Madni Masjid, Asmatpur, Asmatpur, Chunapur Rd, Sipahi Tola, Purnia, Bihar 854301","Sipahi Tola, Rani Nagar","Asmatpur, Asmatpur, Chunapur Rd",Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Madni+Masjid/data=!4m7!3m6!1s0x39effbd0aaeea1e5:0x2e37a22ad1fbf2d9!8m2!3d25.771241!4d87.4552165!16s%2Fg%2F11gfgqkkzc!19sChIJ5aHuqtD77zkR2fL70SqiNy4?authuser=0&hl=en&rclk=1,"25.771241,87.45521649999999"
Rocky Digital Zone,Mosque,"Rocky Digital Zone, Sajjad Colony, Khazanchi Haat Thana, Purnia, Bihar 854301","Sajjad Colony, Khazanchi Haat Thana",,Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Rocky+Digital+Zone/data=!4m7!3m6!1s0x39eff9059b4e2afb:0xb4ca4d85c852192b!8m2!3d25.7749903!4d87.4907405!16s%2Fg%2F1tlmlrcn!19sChIJ-ypOmwX57zkRKxlSyIVNyrQ?authuser=0&hl=en&rclk=1,"25.7749903,87.4907405"
JAMA MASJID,Mosque,"QFGP+H9G JAMA MASJID, Khazanchi Haat, Navratan Hatta, Purnia, Bihar 854301","Khazanchi Haat, Navratan Hatta",QFGP+H9G,Purnia,854301,Bihar,IN,https://www.google.com/maps/place/JAMA+MASJID/data=!4m7!3m6!1s0x39eff90eba46316d:0x23632e13f0f11f8!8m2!3d25.7764498!4d87.4859639!16s%2Fg%2F1tfc0fh1!19sChIJbTFGug757zkR-BEPP-EyNgI?authuser=0&hl=en&rclk=1,"25.776449799999998,87.4859639"
Chhoti Masjid,Mosque,"Chhoti Masjid, Chhoti Masjid Rd, Ashiyana Colony, Line Bazar, Purnia, Bihar 854301","Ashiyana Colony, Line Bazar",Chhoti Masjid Rd,Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Chhoti+Masjid/data=!4m7!3m6!1s0x39eff907b8e6e37b:0x5575dabbc2e5b032!8m2!3d25.7813419!4d87.4914896!16s%2Fg%2F11cl_4l8gn!19sChIJe-PmuAf57zkRMrDlwrvadVU?authuser=0&hl=en&rclk=1,"25.781341899999997,87.4914896"
"Islamia Masjid, Islam Nagar, Madhopara, purnia",Mosque,"Islamia Masjid, Islam Nagar, Madhopara, purnia, Islam Nagar, Khazanchi Haat, Madhopara, Purnia, Bihar 854301","Islam Nagar, Khazanchi Haat, Madhopara",,Purnia,854301,Bihar,IN,"https://www.google.com/maps/place/Islamia+Masjid,+Islam+Nagar,+Madhopara,+purnia/data=!4m7!3m6!1s0x39eff904d4678ab3:0xcbc1baf07d2c007c!8m2!3d25.7718071!4d87.4928182!16s%2Fg%2F1q67qgwf_!19sChIJs4pn1AT57zkRfAAsffC6wcs?authuser=0&hl=en&rclk=1","25.7718071,87.4928182"
Jama Masjid Molvi Tola,Mosque,"QFM8+93V Jama Masjid Molvi Tola, Molvi Tola Bazar, Madhubani, Purnia, Bihar 854301","Srinagar Hata, Madhubani","QFM8+93V, Molvi Tola Bazar",Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Molvi+Tola/data=!4m7!3m6!1s0x39eff981f84e7bd9:0x47ea51c414b44638!8m2!3d25.7834772!4d87.4651803!16s%2Fg%2F1hdyx2_ct!19sChIJ2XtO-IH57zkROEa0FMRR6kc?authuser=0&hl=en&rclk=1,"25.7834772,87.4651803"
Chistiya Masjid,Mosque,"QFCQ+7M9 Chistiya Masjid, Arabia College Rd, Azad Nagar, Vivekanand Colony, Purnia, Bihar 854301","Azad Nagar, Vivekanand Colony","QFCQ+7M9, Arabia College Rd",Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Chistiya+Masjid/data=!4m7!3m6!1s0x39eff910174f7f21:0x890efde6d1d7979a!8m2!3d25.7706625!4d87.4892485!16s%2Fg%2F11b5zt0zv_!19sChIJIX9PFxD57zkRmpfX0eb9Dok?authuser=0&hl=en&rclk=1,"25.7706625,87.4892485"
Sajjadia Masjid,Mosque,"QFJQ+M9M Sajjadia Masjid, Dharamshala Rd, Khazanchi Haat, Line Bazar, Purnia, Bihar 854302","Khazanchi Haat, Line Bazar","QFJQ+M9M, Dharamshala Rd",Purnia,854302,Bihar,IN,https://www.google.com/maps/place/Sajjadia+Masjid/data=!4m7!3m6!1s0x39eff908413e4439:0x1ad1001eda3aa449!8m2!3d25.7817193!4d87.4884197!16s%2Fg%2F11f2wcr893!19sChIJOUQ-QQj57zkRSaQ62h4A0Ro?authuser=0&hl=en&rclk=1,"25.7817193,87.4884197"
CHHOTI MASJID,Mosque,"CHHOTI MASJID, raja bari, Sajjad Colony, Purnia, Bihar 854302",Sajjad Colony,raja bari,Purnia,854302,Bihar,IN,https://www.google.com/maps/place/CHHOTI+MASJID/data=!4m7!3m6!1s0x39eff90e149bcd41:0x646c6ba243bc8f38!8m2!3d25.7728306!4d87.4860982!16s%2Fg%2F11css_vgnk!19sChIJQc2bFA757zkROI-8Q6JrbGQ?authuser=0&hl=en&rclk=1,"25.7728306,87.4860982"
Jama Masjid,Mosque,"QF9F+37W Jama Masjid, Mehboob Khan Tola, Purnia, Bihar 854301",Mehboob Khan Tola,QF9F+37W,Purnia,854301,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39eff96efb9601b9:0xdb61ab783f0fa566!8m2!3d25.7677473!4d87.4732011!16s%2Fg%2F11c3w0trl7!19sChIJuQGW-2757zkRZqUPP3irYds?authuser=0&hl=en&rclk=1,"25.7677473,87.4732011"
"Jama Masjid Rambagh, Purnia",Mosque,"QFRW+3FX Jama Masjid Rambagh, Purnia, Rambagh, Purnia, Bihar 854302",Rambagh,QFRW+3FX,Purnia,854302,Bihar,IN,"https://www.google.com/maps/place/Jama+Masjid+Rambagh,+Purnia/data=!4m7!3m6!1s0x39eff9ac12e03563:0x1c218e64fb2cbdd7!8m2!3d25.7902295!4d87.4962403!16s%2Fg%2F11g9w57r1k!19sChIJYzXgEqz57zkR170s-2SOIRw?authuser=0&hl=en&rclk=1","25.7902295,87.4962403"
"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY",Mosque,"JAMA MASJID SAIF KHAN,NAGINA BAGH PURNEA CITY, Near hansda, road, Purnia, Bihar 854302",,"Near hansda, road","Purnia, Hansda",854302,Bihar,IN,"https://www.google.com/maps/place/JAMA+MASJID+SAIF+KHAN,NAGINA+BAGH+PURNEA+CITY/data=!4m7!3m6!1s0x39eff841a4eda715:0x56b9c727e5ac31b6!8m2!3d25.7988881!4d87.5371129!16s%2Fg%2F11g9nflk87!19sChIJFaftpEH47zkRtjGs5SfHuVY?authuser=0&hl=en&rclk=1","25.7988881,87.5371129"
Jama Masjid Aadampur Purnea,Mosque,"Jama Masjid Aadampur Purnea, Aadampur, Purnia, Sosa, Bihar 854304",Aadampur,,"Purnia, Sosa",854304,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Aadampur+Purnea/data=!4m7!3m6!1s0x39effb1dab39f3e1:0x72e0969da95c5a86!8m2!3d25.7791151!4d87.4081397!16s%2Fg%2F11h9w5rymj!19sChIJ4fM5qx377zkRhlpcqZ2W4HI?authuser=0&hl=en&rclk=1,"25.7791151,87.40813969999999"
"Jama Masjid , sipahi tola",Mosque,"QFH7+J9R Jama Masjid , sipahi tola, New Sipahi Tola, Purnia, Bihar 854301",New Sipahi Tola,QFH7+J9R,Purnia,854301,Bihar,IN,"https://www.google.com/maps/place/Jama+Masjid+,+sipahi+tola/data=!4m7!3m6!1s0x39eff97ef0bfc1bb:0x9df8773b814b8031!8m2!3d25.7791053!4d87.4634058!16s%2Fg%2F11ddxn9c5c!19sChIJu8G_8H757zkRMYBLgTt3-J0?authuser=0&hl=en&rclk=1","25.779105299999998,87.46340579999999"
RAJA BARI MASJID,Mosque,"QFFP+4CQ RAJA BARI MASJID, raja bari, Sajjad Colony, Purnia, Bihar 854301",Sajjad Colony,"QFFP+4CQ, raja bari",Purnia,854301,Bihar,IN,https://www.google.com/maps/place/RAJA+BARI+MASJID/data=!4m7!3m6!1s0x39eff9549620c60f:0xef4aaad509658b83!8m2!3d25.7728306!4d87.4860982!16s%2Fg%2F11j0b481xw!19sChIJD8YgllT57zkRg4tlCdWqSu8?authuser=0&hl=en&rclk=1,"25.7728306,87.4860982"
