place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJ5YOAhnFJmjkRNwEVJqmAZDU,MASJID BAHADUR KA PURVA,All,https://lh5.googleusercontent.com/p/AF1QipNfnPeP4biHSLf4_VHjFE2cJjd9Lxpes2Kqa2gO=w529-h298-k-no
ChIJ5YOAhnFJmjkRNwEVJqmAZDU,MASJID BAHADUR KA PURVA,Latest,https://lh5.googleusercontent.com/p/AF1QipOEUSxAJqgSeiJQS3BcoK2Vh18_er5B5cm2rvoV=w224-h398-k-no
ChIJ5YOAhnFJmjkRNwEVJqmAZDU,MASJID BAHADUR KA PURVA,Videos,https://lh5.googleusercontent.com/p/AF1QipP4odgypMqR4csx_NxdYEIWDeARoY6TRJWjVCp_=w298-h298-k-no
ChIJiyvz2g11nDkRA9TSpLwPHdE,Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOoFoHioGLvhHcrP1IJulqbigkMQm_U8-sfRfs=w224-h298-k-no
ChIJiyvz2g11nDkRA9TSpLwPHdE,Jumma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOduFkSmQAdR68x2BJjW2S-9SRJQGA9V7xLrDs=w529-h298-k-no
ChIJiyvz2g11nDkRA9TSpLwPHdE,Jumma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNpZllSOgfZpBJ_V50eiyQPwvhE-C6HD1wGCZ_f=w541-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,All,https://lh5.googleusercontent.com/p/AF1QipNtxwh2kZLuz6nxQHQwr72uh1RGcPFbQ5GR-FaK=w407-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Latest,https://lh5.googleusercontent.com/p/AF1QipNHzfC__WPwbsAJyGT4-Fd6v2UCKJ3pKQh7Ld-_=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Videos,https://lh5.googleusercontent.com/p/AF1QipOErgRYZmqhpfHzqcP_EphJgVbOb3tTOqTv31vE=w529-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Dome,https://lh5.googleusercontent.com/p/AF1QipMKFpFmRT6yYXCaWFJBtACywWL01Un1oL6zmaoE=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOwLkruWfY46QnsV3AIITSYY5WhlkbRkre8TmqR=w224-h298-k-no-pi-14.840526-ya18.926828-ro-0-fo100
ChIJ-ReUzaMdDTkRYxxNczx73T0,R.k. puram masjid ar.khy.pwrm msjd,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FKoPuxqi_l0Uk2jSEJdawg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=119.14864&pitch=0&thumbfov=100
ChIJ-ReUzaMdDTkRYxxNczx73T0,R.k. puram masjid ar.khy.pwrm msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FKoPuxqi_l0Uk2jSEJdawg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=119.14864&pitch=0&thumbfov=100
ChIJH16Q9hYeDTkRgfiUyslsuSU,Pare wali masjid - paare vaalii msjid (vkph),All,https://lh5.googleusercontent.com/p/AF1QipMqC5qUjG9dyjfkqQfIzEb-PzCcKDcYEyyBi_Vo=w397-h298-k-no
ChIJH16Q9hYeDTkRgfiUyslsuSU,Pare wali masjid - paare vaalii msjid (vkph),By owner,https://lh5.googleusercontent.com/p/AF1QipNaPXv1VmrzloEIeDVrzMW2hgAqkYb6Qnvzg0d0=w397-h298-k-no
ChIJH16Q9hYeDTkRgfiUyslsuSU,Pare wali masjid - paare vaalii msjid (vkph),Videos,https://lh5.googleusercontent.com/p/AF1QipMT4DK4nwDTkO2KCwknTTVxhGZOhOdMSTie3IFl=w224-h408-k-no
ChIJ3brWexHhDDkRxWzY5VWnsus,Mehboo e Elahi Masjid msjd mHbwbi lhy,All,https://lh5.googleusercontent.com/p/AF1QipPC88_DbmtH85nebGcZ_P8mVHqdOKZIf49SXI6l=w529-h298-k-no
ChIJ3brWexHhDDkRxWzY5VWnsus,Mehboo e Elahi Masjid msjd mHbwbi lhy,Videos,https://lh5.googleusercontent.com/p/AF1QipM0ZKXQ1GHg9gFPvqyVj_C1cQhi2gxaYICQDGZT=w529-h298-k-no
ChIJkccDCxviDDkRJ5U2vUoIYRU,Peepal Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMajrutwP4xpLCpEi_M8ktotj67E430ZKjF4fMp=w224-h298-k-no
ChIJkccDCxviDDkRJ5U2vUoIYRU,Peepal Wali Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipOcm4B5OjrXPCQbhYNxLsYhYfRd09xcscmwrK8=w224-h399-k-no
ChIJkccDCxviDDkRJ5U2vUoIYRU,Peepal Wali Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNv1-ZaHU9Ju_Cii6x7owCVIdRpKVvXoS7hHOD0=w224-h398-k-no
ChIJkccDCxviDDkRJ5U2vUoIYRU,Peepal Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HtTKWENrG3hZh0M7Nv_q0A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=136.13931&pitch=0&thumbfov=100
