place_id,place_name,about,link
ChIJiQExUWehmzkRyoHgiaQCikA,Noor Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM4o-IVDPPfhzGgcxnpmTCiXVur2XnQzJdpQRqr=w224-h398-k-no
ChIJiQExUWehmzkRyoHgiaQCikA,Noor Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=h7UxQWD4WIuEsNbr6mwudw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=252.93161&pitch=0&thumbfov=100
ChIJiQExUWehmzkRyoHgiaQCikA,Noor Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOXtWaXEgadKMwoTKuFXPKY5bgt7TZLbjqVZUuP=w224-h398-k-no
ChIJQ2RbjkKhmzkRiP-ikPngRII,Markaz Rae Bareli Masjid-e-Daira,All,https://lh5.googleusercontent.com/p/AF1QipNINjLIvmXi19R_8E2l3ifiBpTbJNY3K-Ew32I9=w224-h496-k-no
ChIJQ2RbjkKhmzkRiP-ikPngRII,Markaz Rae Bareli Masjid-e-Daira,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LJYoEYXG9t-3Lo7fWCrCCw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=188.33455&pitch=0&thumbfov=100
ChIJQ2RbjkKhmzkRiP-ikPngRII,Markaz Rae Bareli Masjid-e-Daira,Videos,https://lh5.googleusercontent.com/p/AF1QipN4Au82s4lNDnjNudjvcYNYgQAqsJdra4SRhdHr=w224-h398-k-no
ChIJnZll5WihmzkRfUepg2R34x4,Jama Masjid khali sahat,All,https://lh5.googleusercontent.com/p/AF1QipPYuedTb5Fm8hSXSIitNcK-PSfqcPzL60GdJBdq=w397-h298-k-no
ChIJnZll5WihmzkRfUepg2R34x4,Jama Masjid khali sahat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tOy6uTUVXbJDtRlhn_iQZw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=107.3766&pitch=0&thumbfov=100
ChIJMwC4UFyhmzkROqJ5scRocQ4,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOE4IbTtSFgYLaEYZComxI0fkyoigdYkoCiemYO=w224-h473-k-no
ChIJMwC4UFyhmzkROqJ5scRocQ4,Noori Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3xZP1pcssm93toKRIFFF0Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=359.898&pitch=0&thumbfov=100
ChIJPzxv5WihmzkRw_-eSyUpX8I,Badala masjid,All,https://lh5.googleusercontent.com/p/AF1QipOks4f1DrK5mmLNdLUP4A6PyYB8zjbrPsGz7xha=w224-h298-k-no
ChIJPzxv5WihmzkRw_-eSyUpX8I,Badala masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMgGf0cU16c3iQFe8OVnqZmf3nquCRCvb8trdET=w224-h408-k-no
ChIJPzxv5WihmzkRw_-eSyUpX8I,Badala masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMs1p87fzAhjZQR_2GXd2M41TiSEx9VAZ_97ysq=w529-h298-k-no
ChIJPzxv5WihmzkRw_-eSyUpX8I,Badala masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5dS05JhLOsBPqquHtUMgew&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=185.97517&pitch=0&thumbfov=100
ChIJ6eR8dF2hmzkR_fiZ5Jf4Jac,Masjid Sahebul Asr - Shia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMisPtSz2ukw39PqN-kKM3YNWjINBnwwswiyGbn=w224-h298-k-no
ChIJ6eR8dF2hmzkR_fiZ5Jf4Jac,Masjid Sahebul Asr - Shia Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOC_freMrdLBjvvxzkZF_C5Gi9RyUN5Onzy_SnQ=w224-h298-k-no
ChIJ6eR8dF2hmzkR_fiZ5Jf4Jac,Masjid Sahebul Asr - Shia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4eK9nD4yRDrF2oFfwFq-mA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=320.22382&pitch=0&thumbfov=100
ChIJrZ03VI6hmzkR3xmGdLHi3e8,Munshiganj Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOcdME5tIPHngItckUl8t4sQ7fNNTbhgbDASQsa=w224-h298-k-no
ChIJrZ03VI6hmzkR3xmGdLHi3e8,Munshiganj Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ph3iOaKYnNU4Ux7uB0Ahug&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=59.393555&pitch=0&thumbfov=100
ChIJrZ03VI6hmzkR3xmGdLHi3e8,Munshiganj Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipP0XzCdhT8x9ls1YH6NeDgBqikuoSMB4l2okUOx=w224-h398-k-no
ChIJ-4yCWmmhmzkRLs1IkynCIcg,Masjid Fatima,All,https://lh5.googleusercontent.com/p/AF1QipPOBcmicnmAYHcl43y3hiv4I7fW1tn-1SeMExfc=w224-h398-k-no
ChIJYYf2wEKhmzkRjIhjDwIoz4M,Shia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMjsJoxiFsU28hoDClbK-09sbZmzbvte-b1eXM=w529-h298-k-no
ChIJYYf2wEKhmzkRjIhjDwIoz4M,Shia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EFos_x-yc0FJN2Jv51-hUg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=125.84854&pitch=0&thumbfov=100
ChIJ8Sx-AmihmzkR_Yh4eAo2C48,Choti Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PuDWXS_8fYMg-5vMlcQBLQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.80856&pitch=0&thumbfov=100
ChIJ8Sx-AmihmzkR_Yh4eAo2C48,Choti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PuDWXS_8fYMg-5vMlcQBLQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.80856&pitch=0&thumbfov=100
ChIJFRdbLmahmzkRiin_ThHnlQM,Aalamgiri Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AHOA3bGWupoNpIHEuYXLcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.22682&pitch=0&thumbfov=100
ChIJFRdbLmahmzkRiin_ThHnlQM,Aalamgiri Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipMsmnKZ9Lz_PTG3JP7MIKbfGRrNlnwUDYUSnUBN=w660-h298-k-no
ChIJFRdbLmahmzkRiin_ThHnlQM,Aalamgiri Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP2riZhP0sIALccWPMhAEExcyE2Tt44c8igY3A7=w660-h298-k-no
ChIJFRdbLmahmzkRiin_ThHnlQM,Aalamgiri Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AHOA3bGWupoNpIHEuYXLcg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.22682&pitch=0&thumbfov=100
