place_id,place_name,about,link
ChIJ53r1LdGFXjkRN-SvjF6Q884,Mariyam Bibi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOllVsE8QnrOq8Pog06eKYAunLo0gVUBnMTblcK=w225-h298-k-no
ChIJ53r1LdGFXjkRN-SvjF6Q884,Mariyam Bibi Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipM0egJdMYEcdIaubZ-VEwfw9Gxo9WBcGQOgdf6T=w224-h298-k-no
ChIJ53r1LdGFXjkRN-SvjF6Q884,Mariyam Bibi Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=flXhbS8-ae6eLoYZrMKOsg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=285.23077&pitch=0&thumbfov=100
ChIJ7wlAGCByAjoRF94tLXE7bzE,Karbala Jame Mosque msjd,All,https://lh5.googleusercontent.com/p/AF1QipP65JbYR9mQHBkNk85Zc8ene3B9t0UVSRRj2VJ-=w224-h298-k-no
ChIJ7wlAGCByAjoRF94tLXE7bzE,Karbala Jame Mosque msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IZYxzGEI9bFlGSTmBkMFIg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=349.40158&pitch=0&thumbfov=100
ChIJ7wlAGCByAjoRF94tLXE7bzE,Karbala Jame Mosque msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipPg56jgM4qY2pWqPY48sWbuTRC-sc3KtJ6YZ3bG=w529-h298-k-no
ChIJ6SUtEdaFXjkRH2ouFJRJlKA,Bibiji's Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO-HMc-lQIkD4KosKnCN6RU0x2ENLPZEODrCEvu=w397-h298-k-no
ChIJ6SUtEdaFXjkRH2ouFJRJlKA,Bibiji's Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOlueIiJ1Rnm5XK6ilX-TsIQNyug2Ad0yLmPqm2=w376-h298-k-no
ChIJ6SUtEdaFXjkRH2ouFJRJlKA,Bibiji's Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOtyVgyDCkJJ9YU2lmLKXuTleFrYBwXL0nW4664=w224-h398-k-no
ChIJ6SUtEdaFXjkRH2ouFJRJlKA,Bibiji's Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOQGfG74Klw9qA1JuSswulQgnZwLsAkWcghsNcy=w224-h298-k-no-pi-15.980706-ya112.90997-ro-0-fo100
ChIJN9dI-RlyAjoRTifCAF77nsQ,Madina Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aLOZGn5ilNKY1TYlfVMgjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.46157&pitch=0&thumbfov=100
ChIJN9dI-RlyAjoRTifCAF77nsQ,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aLOZGn5ilNKY1TYlfVMgjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.46157&pitch=0&thumbfov=100
ChIJBWn9Nlrr9zkRmRCxMqFieTY,RAJPUR ADI JAME MOSJID,All,https://lh5.googleusercontent.com/p/AF1QipP9RC1R0gu89AYYHHd29vlZBFVT3pAkOI99CA0b=w224-h298-k-no
ChIJBWn9Nlrr9zkRmRCxMqFieTY,RAJPUR ADI JAME MOSJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ywfDE9rraz2uYKJ1XbddWA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=273.56775&pitch=0&thumbfov=100
ChIJMUa9JBq9XDkRZcb63EDYRVg,Minara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN_GotajVoEGk8mXFbfF7uTKGFApk9vt7OrjSxq=w224-h398-k-no
ChIJMUa9JBq9XDkRZcb63EDYRVg,Minara Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPyGrJm5cdWUa7aiprgwKs6ZrNb68VzHal-73kP=w529-h298-k-no
ChIJkVd7FtqFXjkRpPdbytlp8fY,Ghosiya Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O4xGrstxZmFH4KsQ3l7Seg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=5.592757&pitch=0&thumbfov=100
ChIJkVd7FtqFXjkRpPdbytlp8fY,Ghosiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O4xGrstxZmFH4KsQ3l7Seg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=5.592757&pitch=0&thumbfov=100
ChIJBat9KdOFXjkR5__Xx6iJojw,Masjid-Maula,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vdidFo-m6HGAoWD0RlVgLg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=160.81197&pitch=0&thumbfov=100
ChIJBat9KdOFXjkR5__Xx6iJojw,Masjid-Maula,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vdidFo-m6HGAoWD0RlVgLg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=160.81197&pitch=0&thumbfov=100
ChIJCUqwvtOFXjkRE887e5QZRc8,Masjid-E-Ammar,All,https://lh5.googleusercontent.com/p/AF1QipOyu_jQPdOazBYK6wwYSbp8HcKY1bvMPlWYjE93=w397-h298-k-no
ChIJ7bLQvNOFXjkRwCpjPgkXtXc,Jamil Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPl_wE8ii-hd2DNy6V0XZAs-KsC1fGvBZ4IJjys=w224-h298-k-no
ChIJ7bLQvNOFXjkRwCpjPgkXtXc,Jamil Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPl_wE8ii-hd2DNy6V0XZAs-KsC1fGvBZ4IJjys=w224-h298-k-no
ChIJlRKzPeptAjoREA_NW67aIVM,Chandpur Jame Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOeO6qKZdChUsAmyGrHF0w5Mw-o2IEmfcBD8kfW=w397-h298-k-no
ChIJlRKzPeptAjoREA_NW67aIVM,Chandpur Jame Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNK-SeLG4pytzKd0T2jzGIK4d4qT0NrjcfFgwg=w224-h398-k-no
ChIJlRKzPeptAjoREA_NW67aIVM,Chandpur Jame Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNK-SeLG4pytzKd0T2jzGIK4d4qT0NrjcfFgwg=w224-h398-k-no
ChIJlRKzPeptAjoREA_NW67aIVM,Chandpur Jame Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bqOXKfp30fBvtvF5ae9_DA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=1.2238761&pitch=0&thumbfov=100
ChIJYyd1ZQ49XDkRnB9ak3HRpw0,Madani Masjid (Ahle Sunnat Wal Jamaat),All,https://lh5.googleusercontent.com/p/AF1QipNxgV7RSPE2DQDpNqyF8eMLN_rWSN3_WDeTPJfY=w397-h298-k-no
ChIJYyd1ZQ49XDkRnB9ak3HRpw0,Madani Masjid (Ahle Sunnat Wal Jamaat),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YjKBQdGWeokYxAyBrRfTEA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=118.47502&pitch=0&thumbfov=100
