name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Rangia Highway Chowk Mosque,Mosque,"CJP8+4RM Rangia Highway Chowk Mosque, Barmurah, Rangia, Assam 781354",Barmurah,CJP8+4RM,Rangia,781354,Assam,IN,https://www.google.com/maps/place/Rangia+Highway+Chowk+Mosque/data=!4m7!3m6!1s0x375bb36ab87d6cd9:0xde0c1c4a4806090f!8m2!3d26.4353327!4d91.6170475!16s%2Fg%2F11bbs2zh46!19sChIJ2Wx9uGqzWzcRDwkGSEocDN4?authuser=0&hl=en&rclk=1,"26.4353327,91.6170475"
Rangia Town Masjid,Mosque,"Rangia Town Masjid, N T Rd, Gandhibari, Rangia, Assam 781354",Gandhibari,N T Rd,Rangia,781354,Assam,IN,https://www.google.com/maps/place/Rangia+Town+Masjid/data=!4m7!3m6!1s0x375bb3148ee1d16d:0x4d3ce24210f377da!8m2!3d26.4388404!4d91.6198373!16s%2Fg%2F11c20dc1s1!19sChIJbdHhjhSzWzcR2nfzEELiPE0?authuser=0&hl=en&rclk=1,"26.4388404,91.6198373"
Rangia Solmari Jama Masjid,Mosque,"Rangia Solmari Jama Masjid, Rangia Solmari ward no 8, Makhuli, Assam 781354",,Rangia Solmari ward no 8,"Makhuli, Rangia",781354,Assam,IN,https://www.google.com/maps/place/Rangia+Solmari+Jama+Masjid/data=!4m7!3m6!1s0x375bb319fff5aa2b:0xcc44e699ef9909d!8m2!3d26.439759!4d91.6274737!16s%2Fg%2F11g9j6cc4q!19sChIJK6r1_xmzWzcRnZD5nmlOxAw?authuser=0&hl=en&rclk=1,"26.439759,91.6274737"
Rangia Markaz Masjid,Mosque,"CJQF+9VQ Rangia Markaz Masjid, Rangia, Assam 781354",,CJQF+9VQ,Rangia,,Assam,IN,https://www.google.com/maps/place/Rangia+Markaz+Masjid/data=!4m7!3m6!1s0x375bb316de9b62fb:0x67e3f1153dd2d1ed!8m2!3d26.438465!4d91.6247251!16s%2Fg%2F11f331p290!19sChIJ-2Kb3hazWzcR7dHSPRXx42c?authuser=0&hl=en&rclk=1,"26.438464999999997,91.62472509999999"
Rangia Station Mosque,Mosque,"Rangia Station Mosque, Railway Station, Rangia, Pitambar Hat Bajali, Assam 781354",,Railway Station,"Rangia, Pitambar Hat Bajali",781354,Assam,IN,https://www.google.com/maps/place/Rangia+Station+Mosque/data=!4m7!3m6!1s0x375bb36ff5b8befd:0xffc201f6e39a2fd5!8m2!3d26.4445608!4d91.6082525!16s%2Fg%2F11f3qxdvnd!19sChIJ_b649W-zWzcR1S-a4_YBwv8?authuser=0&hl=en&rclk=1,"26.444560799999998,91.60825249999999"
Sahan 1 No. Jame Masjid,Mosque,"CJC7+GP4 Sahan 1 No. Jame Masjid, Sahan Rd, Rangia, Assam 781354",,"CJC7+GP4, Sahan Rd",Rangia,781354,Assam,IN,https://www.google.com/maps/place/Sahan+1+No.+Jame+Masjid/data=!4m7!3m6!1s0x375bb3f0afe6837b:0x5a77f81fbed13aca!8m2!3d26.4212666!4d91.6143143!16s%2Fg%2F11ghljw3gb!19sChIJe4Pmr_CzWzcRyjrRvh_4d1o?authuser=0&hl=en&rclk=1,"26.4212666,91.61431429999999"
Yusuf Nagar Jama Masjid,Mosque,"Yusuf Nagar Jama Masjid, Yousuf Nagar, Ward No. 10, Rangia, Assam 781354",,"Yousuf Nagar, Ward No. 10",Rangia,781354,Assam,IN,https://www.google.com/maps/place/Yusuf+Nagar+Jama+Masjid/data=!4m7!3m6!1s0x375bb30dc06057b5:0x8499b2f0b0b6a3be!8m2!3d26.447276!4d91.6214879!16s%2Fg%2F11hbc0w83l!19sChIJtVdgwA2zWzcRvqO2sPCymYQ?authuser=0&hl=en&rclk=1,"26.447276,91.62148789999999"
Kazigaon jame masjid,Mosque,"CJGC+9CJ Kazigaon jame masjid, Barmurah, Rangia, Assam 781354",Barmurah,CJGC+9CJ,Rangia,781354,Assam,IN,https://www.google.com/maps/place/Kazigaon+jame+masjid/data=!4m7!3m6!1s0x375bb3b38a60dddb:0x72a9894394114a8b!8m2!3d26.4259709!4d91.6210091!16s%2Fg%2F11q_b5t3kz!19sChIJ291girOzWzcRi0oRlEOJqXI?authuser=0&hl=en&rclk=1,"26.4259709,91.6210091"
Murara jame masjid. Rangia,Mosque,"CJMC+83H Murara jame masjid. Rangia, Rangia, Assam 781354",,CJMC+83H,Rangia,,Assam,IN,https://www.google.com/maps/place/Murara+jame+masjid.+Rangia/data=!4m7!3m6!1s0x375bb397d330d603:0x47c6ffda7fc9529a!8m2!3d26.4333154!4d91.6202359!16s%2Fg%2F11fwf9dyc4!19sChIJA9Yw05ezWzcRmlLJf9r_xkc?authuser=0&hl=en&rclk=1,"26.433315399999998,91.6202359"
Jama Masjid,Mosque,"CJFH+5CH Jama Masjid, Barmurah, Rangia, Assam 781354",Barmurah,CJFH+5CH,Rangia,781354,Assam,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x375bb3d6a28fea91:0x321e0869c17bad25!8m2!3d26.4229444!4d91.6286138!16s%2Fg%2F11q83jbxv6!19sChIJkeqPotazWzcRJa17wWkIHjI?authuser=0&hl=en&rclk=1,"26.4229444,91.6286138"
PUB SAHAN MASJID,Mosque,"CJG8+PPV PUB SAHAN MASJID, Sahan Rd, Rangia, Assam 781354",,"CJG8+PPV, Sahan Rd",Rangia,781354,Assam,IN,https://www.google.com/maps/place/PUB+SAHAN+MASJID/data=!4m7!3m6!1s0x375bb3135a26a42d:0xb6ef4fa6eb2c4e12!8m2!3d26.426866!4d91.6167945!16s%2Fg%2F11mtjdz26_!19sChIJLaQmWhOzWzcREk4s66ZP77Y?authuser=0&hl=en&rclk=1,"26.426866,91.6167945"
Rangia Gogmalcha 2no. Jama masjid Ward 5,Mosque,"FJ2F+PQ4 Rangia Gogmalcha 2no. Jama masjid Ward 5, Rangia gogmalcha, ward 5",,"FJ2F+PQ4, Rangia gogmalcha",Bangaon,ward 5,Assam,IN,https://www.google.com/maps/place/Rangia+Gogmalcha+2no.+Jama+masjid+Ward+5/data=!4m7!3m6!1s0x375bb3a7f38e8cbd:0xc79aa704e95639d1!8m2!3d26.4517661!4d91.6244557!16s%2Fg%2F11ssx6qgjr!19sChIJvYyO86ezWzcR0TlW6QSnmsc?authuser=0&hl=en&rclk=1,"26.4517661,91.6244557"
