place_id,place_name,about,link
ChIJ3S2Hi3t-uTsRbgyjACJlwy0,Hazarth Sayed Jamal Sha Wali Dargah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOoO9rWkNe8N4Mcix1uXLPQrM6RjrOYzjNXsSgP=w354-h298-k-no
ChIJ3S2Hi3t-uTsRbgyjACJlwy0,Hazarth Sayed Jamal Sha Wali Dargah Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN7KVJ6luScchFC6lZbv2ee4OQar2uwDqyMOl7Y=w224-h298-k-no
ChIJ3S2Hi3t-uTsRbgyjACJlwy0,Hazarth Sayed Jamal Sha Wali Dargah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPNcAZqUr3D94WMlLXbQJbWPfiH3leqZtWLn9Vp=w224-h398-k-no
ChIJ3S2Hi3t-uTsRbgyjACJlwy0,Hazarth Sayed Jamal Sha Wali Dargah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ms8T-KItNVXlcG387gd2DQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.52412&pitch=0&thumbfov=100
ChIJP6jp-Wl-uTsRoGobOZxBDL0,Masjid-E-Umar(RA),All,https://lh5.googleusercontent.com/p/AF1QipOu8lWCt97St9NbaP_E1mtSZzj_lmkgYaPCaBoN=w397-h298-k-no
ChIJP6jp-Wl-uTsRoGobOZxBDL0,Masjid-E-Umar(RA),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ECrSgnVdNrZJYwO74ge1Mw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=185.99467&pitch=0&thumbfov=100
ChIJH_VvyG5-uTsRppiga4lSC4c,Noorani Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM1PfxrfbHGQFhHc2_oOWcsbZu7p5YAv4bZ07W0=w397-h298-k-no
ChIJH_VvyG5-uTsRppiga4lSC4c,Noorani Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XgL-GpVUIadB2b6M8HGW5Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=205.5712&pitch=0&thumbfov=100
ChIJwWI0v3F-uTsRFt84QQ_DJ4I,Anwar-E-Madina Aalami Tablighi Jamat,All,https://lh5.googleusercontent.com/p/AF1QipOEp5dzWF3bIfpmY_QsHH03KxK1NfHkbgwbdUi7=w224-h398-k-no
ChIJwWI0v3F-uTsRFt84QQ_DJ4I,Anwar-E-Madina Aalami Tablighi Jamat,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Lbq3r8u24YWYtsV4w-oxkQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=319.99326&pitch=0&thumbfov=100
ChIJtbIggnp-uTsRrHwhDmIenKk,Hazarth Sayed Saadath Wali Daragah,All,https://lh5.googleusercontent.com/p/AF1QipO7VSYSFhYLQCr225nv9Q5g5mnQp2XPXT8CJnAz=w529-h298-k-no
ChIJtbIggnp-uTsRrHwhDmIenKk,Hazarth Sayed Saadath Wali Daragah,Dome,https://lh5.googleusercontent.com/p/AF1QipPVfdjONdm8twjoTAVtyeFMnUrEcxT0TrU8Jjml=w224-h298-k-no
ChIJtbIggnp-uTsRrHwhDmIenKk,Hazarth Sayed Saadath Wali Daragah,Videos,https://lh5.googleusercontent.com/p/AF1QipMWXhB-IMA983Vy5uYr9ibPYuo7PQscWEDYjZTF=w224-h398-k-no
ChIJtbIggnp-uTsRrHwhDmIenKk,Hazarth Sayed Saadath Wali Daragah,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Nox4Jm6eznDiymFPQvb7Sg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=275.40756&pitch=0&thumbfov=100
ChIJMdlrydV9uTsRhcRvAbdXGmY,Gousiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMan7FSsDsgD_zaZfEGxSrN9W-2AaZgzbd6hvRR=w224-h497-k-no
ChIJMdlrydV9uTsRhcRvAbdXGmY,Gousiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPqzXkN7I4Gw94hoBFz360tm6tDNCNhcsSqBoHx=w224-h497-k-no
ChIJMdlrydV9uTsRhcRvAbdXGmY,Gousiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0lsoiCMUhbWY7PP2AORUMA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=201.00832&pitch=0&thumbfov=100
ChIJVxGIfZF_uTsRyaxPjHsTJ1U,Khawaja Garib Nawaz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMYeGjAkWKj0BO5YQXA3oY5XTSWB8lJ5w90fBRB=w662-h298-k-no
ChIJLe6M_yB9uTsRh8-QhL897dg,Ahmad Raza Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPCyLaNMOMafZT52WnBVCsxMsUbvYx9Gj4czLQP=w592-h298-k-no
ChIJLe6M_yB9uTsRh8-QhL897dg,Ahmad Raza Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPXNlGZwv4tiA0MeklW7vR1LR8oOPRYRGMcn-TH=w224-h497-k-no
ChIJLe6M_yB9uTsRh8-QhL897dg,Ahmad Raza Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPMWl2Til_a3Y173lS_EtB1qmVXaVKtnw_Mpfgc=w224-h407-k-no
