place_id,place_name,about,link
ChIJo8gNE9ByETkRrff7a83hLSc,Ahmadiyya Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOZZnFtWg3oqVdoj3WL4YZQflW8JJspbStqOAM=w353-h298-k-no
ChIJZzqP5vtyETkROsjEjePujss,Masjid Darbar-E-Rasool Ratia,All,https://lh5.googleusercontent.com/p/AF1QipPf4zZa3XzLcEFe_gGpTcH8LINi03UkMlnQPVLZ=w397-h298-k-no
ChIJZzqP5vtyETkROsjEjePujss,Masjid Darbar-E-Rasool Ratia,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XMIUt0uLsAfhKATVw4J2Ug&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=25.577532&pitch=0&thumbfov=100
ChIJAWKc2BrhDDkR0eGwrCU0aPA,Ghausiya Rajviya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPB0cZLcIF3EI4snZyLyJ6OpM06zuwkt9cLSdHW=w224-h299-k-no
ChIJAWKc2BrhDDkR0eGwrCU0aPA,Ghausiya Rajviya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XikqAptbT-BDKkbF2NfclQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=81.48641&pitch=0&thumbfov=100
ChIJAWKc2BrhDDkR0eGwrCU0aPA,Ghausiya Rajviya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipN9m3J2fYh4b2ua_xMd7zPXkVE8-E5PdoE7Jbjo=w224-h398-k-no
ChIJM3fNa9FyETkRjqZDiAf-8G4,Noor Masjid Rattangarh,All,https://lh5.googleusercontent.com/p/AF1QipPsYg0MGKFzCzSTnaOZ_GL2NbSpGHBY1OhVDGTU=w397-h298-k-no
ChIJM3fNa9FyETkRjqZDiAf-8G4,Noor Masjid Rattangarh,Dome,https://lh5.googleusercontent.com/p/AF1QipN-DdiLqIOvoj1Lfd7P2O521HM4gVoSXOQk-os_=w224-h398-k-no
ChIJM3fNa9FyETkRjqZDiAf-8G4,Noor Masjid Rattangarh,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ctt39rZo6jRfJZNRe71fjw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=301.5277&pitch=0&thumbfov=100
ChIJI74f-hZyETkRrnEUg71959o,Noorani Masjid Bharpur,All,https://lh5.googleusercontent.com/p/AF1QipO3uthXT0tmbirO3PLABFo5JNHnxJM6UtIjiEST=w397-h298-k-no
ChIJI74f-hZyETkRrnEUg71959o,Noorani Masjid Bharpur,Videos,https://lh5.googleusercontent.com/p/AF1QipNWnqHJyVUu90QKtwI7zgcCb9XjBTOW0KtUCHfQ=w238-h298-k-no
ChIJTwpxOqtzETkRemDnruNE8Vc,Baba Peer Mandir,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JB2vvo-2R-dDQ7PSQYjppQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.3319&pitch=0&thumbfov=100
ChIJTwpxOqtzETkRemDnruNE8Vc,Baba Peer Mandir,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JB2vvo-2R-dDQ7PSQYjppQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=351.3319&pitch=0&thumbfov=100
ChIJc6gdXEMTETkReErAddUMWLY,Noorani Masjid Bora,All,https://lh5.googleusercontent.com/p/AF1QipNJwZAe8x_QIAcnZf0QZr16492J_NCObgb9xvFY=w397-h298-k-no
ChIJc6gdXEMTETkReErAddUMWLY,Noorani Masjid Bora,Dome,https://lh5.googleusercontent.com/p/AF1QipP2R0W9-iAegpEdHYRf2e0NehMmhNF2kj22qrGX=w397-h298-k-no
ChIJc6gdXEMTETkReErAddUMWLY,Noorani Masjid Bora,Videos,https://lh5.googleusercontent.com/p/AF1QipPguz6bZQy1BMnoLc4nzX2wc5bf9oKx_5sV-maA=w224-h398-k-no
ChIJ1UzgbFiZETkRr5ke14RZWEg,Nurani Masjid.,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rxVmf7K0Ie1qwyJEPFhWMA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=165.36098&pitch=0&thumbfov=100
ChIJ1UzgbFiZETkRr5ke14RZWEg,Nurani Masjid.,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rxVmf7K0Ie1qwyJEPFhWMA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=165.36098&pitch=0&thumbfov=100
