name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Fazli Masjid (Miya Sahab) Hayat Nagar,Mosque,"Fazli Masjid (Miya Sahab) Hayat Nagar, Dargah Hazrat Moein Miya Huzoor (Miya Sahab), Hayat Nagar, Haat Road, Rajendra Nagar Main Rd, Ratlam, Madhya Pradesh 457001",Laxman Pura,"Dargah Hazrat Moein Miya Huzoor (Miya Sahab), Hayat Nagar, Haat Road, Rajendra Nagar Main Rd",Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Fazli+Masjid+%28Miya+Sahab%29+Hayat+Nagar/data=!4m7!3m6!1s0x3963fe9b480bf0eb:0x64e806c22395f528!8m2!3d23.327829!4d75.0269242!16s%2Fg%2F11g6nw2kw3!19sChIJ6_ALSJv-YzkRKPWVI8IG6GQ?authuser=0&hl=en&rclk=1,"23.327828999999998,75.0269242"
Madina Masjid,Mosque,"82HJ+52G Madina Masjid, Haat Rd, Opp. Police Station, Laxman Pura, Ratlam, Madhya Pradesh 457001",Laxman Pura,"82HJ+52G, Haat Rd, Opp. Police Station",Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3963fe9c0b1fab85:0xc15f7fd60c625d19!8m2!3d23.3279281!4d75.0300728!16s%2Fg%2F11cks14syx!19sChIJhasfC5z-YzkRGV1iDNZ_X8E?authuser=0&hl=en&rclk=1,"23.327928099999998,75.0300728"
Mominpura masjid,Mosque,"82GM+37V Mominpura masjid, Momin Pura Main Road, Laxman Pura, Ratlam, Madhya Pradesh 457001",Laxman Pura,"82GM+37V, Momin Pura Main Road",Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Mominpura+masjid/data=!4m7!3m6!1s0x3963fe9e93af0655:0xf45bd3314d0b973c!8m2!3d23.3252445!4d75.0331644!16s%2Fg%2F119trnlxj!19sChIJVQavk57-YzkRPJcLTTHTW_Q?authuser=0&hl=en&rclk=1,"23.3252445,75.03316439999999"
Kajipura Masjid,Mosque,"Kajipura Masjid, Mochi Pura, Sherani Pura, Ratlam, Madhya Pradesh 457001","Mochi Pura, Sherani Pura",,Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Kajipura+Masjid/data=!4m7!3m6!1s0x3963fc1d9d7111c1:0x834fd43b62aad37d!8m2!3d23.3218115!4d75.0464514!16s%2Fg%2F1tf68g69!19sChIJwRFxnR38YzkRfdOqYjvUT4M?authuser=0&hl=en&rclk=1,"23.3218115,75.0464514"
Markaz Masjid Sherani Pura,Mosque,"82FX+94R Markaz Masjid Sherani Pura, Mochi Pura, Sherani Pura, Ratlam, Madhya Pradesh 457001","Mochi Pura, Sherani Pura",82FX+94R,Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Markaz+Masjid+Sherani+Pura/data=!4m7!3m6!1s0x3963fc1ce2043d47:0x66c7f0589229eb0!8m2!3d23.3234935!4d75.0477641!16s%2Fg%2F11gcygy6z5!19sChIJRz0E4hz8YzkRsJ4iiQV_bAY?authuser=0&hl=en&rclk=1,"23.323493499999998,75.0477641"
Nurani masjid,Mosque,"Nurani masjid, Gandhi Nagar, Ratlam, Madhya Pradesh 457001",Gandhi Nagar,,Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Nurani+masjid/data=!4m7!3m6!1s0x3963febef4bbeff1:0x381e92b073f85746!8m2!3d23.341134!4d75.040911!16s%2Fg%2F11c5wq9pcz!19sChIJ8e-79L7-YzkRRlf4c7CSHjg?authuser=0&hl=en&rclk=1,"23.341134,75.040911"
SAIFY MASJID RATLAM,Mosque,"82CM+C3M SAIFY MASJID RATLAM, Bohra Baakhal, Ratlam, Madhya Pradesh 457001",Bohra Baakhal,82CM+C3M,Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/SAIFY+MASJID+RATLAM/data=!4m7!3m6!1s0x3963fc20a6218d47:0xd16026134e9a7927!8m2!3d23.3210805!4d75.0326765!16s%2Fg%2F11f045lgrg!19sChIJR40hpiD8YzkRJ3maThMmYNE?authuser=0&hl=en&rclk=1,"23.321080499999997,75.0326765"
Chatripul Masjid,Mosque,"Chatripul Masjid, 13, Ajanta Talkies Rd, Shastri Nagar, Ratlam, Madhya Pradesh 457001",Shastri Nagar,"13, Ajanta Talkies Rd",Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Chatripul+Masjid/data=!4m7!3m6!1s0x3963fea438d3cf05:0x717604658a53ec21!8m2!3d23.3297017!4d75.0454362!16s%2Fg%2F119vkp0t7!19sChIJBc_TOKT-YzkRIexTimUEdnE?authuser=0&hl=en&rclk=1,"23.329701699999998,75.0454362"
Masjid Qazi Khan,Mosque,"83R3+QC4 Masjid Qazi Khan, Bapu Nagar, Ratlam, Madhya Pradesh 457001",Bapu Nagar,83R3+QC4,Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid+Qazi+Khan/data=!4m7!3m6!1s0x3963feb6c13c612d:0xcf4d159ea4d6d352!8m2!3d23.3418846!4d75.053579!16s%2Fg%2F11b5pl5yxz!19sChIJLWE8wbb-YzkRUtPWpJ4VTc8?authuser=0&hl=en&rclk=1,"23.3418846,75.053579"
Markaz Masjid Ahle Hadees ratlam,Mosque,"24, Markaz Masjid Ahle Hadees ratlam, kunjdo ka vas, Harmala Rd, Bharava Kui, Bohra Baakhal, Ratlam, Madhya Pradesh 457001","Bharava Kui, Bohra Baakhal","24, kunjdo ka vas, Harmala Rd",Ratlam,457001,Madhya Pradesh,IN,https://www.google.com/maps/place/Markaz+Masjid+Ahle+Hadees+ratlam/data=!4m7!3m6!1s0x3963fc1f6ed6b3a1:0x338f9011738383d1!8m2!3d23.3180843!4d75.0386277!16s%2Fg%2F11g7y__fy_!19sChIJobPWbh_8YzkR0YODcxGQjzM?authuser=0&hl=en&rclk=1,"23.3180843,75.03862769999999"
