place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,All,https://lh5.googleusercontent.com/p/AF1QipNtxwh2kZLuz6nxQHQwr72uh1RGcPFbQ5GR-FaK=w407-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Latest,https://lh5.googleusercontent.com/p/AF1QipNHzfC__WPwbsAJyGT4-Fd6v2UCKJ3pKQh7Ld-_=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Videos,https://lh5.googleusercontent.com/p/AF1QipOErgRYZmqhpfHzqcP_EphJgVbOb3tTOqTv31vE=w529-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Dome,https://lh5.googleusercontent.com/p/AF1QipMKFpFmRT6yYXCaWFJBtACywWL01Un1oL6zmaoE=w397-h298-k-no
ChIJ6VCZeULiDDkR-ECxGFS68LI,Masjid Moth,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOwLkruWfY46QnsV3AIITSYY5WhlkbRkre8TmqR=w224-h298-k-no-pi-14.840526-ya18.926828-ro-0-fo100
ChIJJ23yVBb9DDkR038pTuoBKho,Masjid Mubarak Begum,All,https://lh5.googleusercontent.com/p/AF1QipPJ2qDeRnA6UeRgX1VComnvgiHAYYa0BeOW0RR-=w529-h298-k-no
ChIJJ23yVBb9DDkR038pTuoBKho,Masjid Mubarak Begum,Dome,https://lh5.googleusercontent.com/p/AF1QipM_0yJG48ZUupjLFRD2oue0V-RpuNiu7a5lBQm8=w328-h298-k-no
ChIJJ23yVBb9DDkR038pTuoBKho,Masjid Mubarak Begum,Videos,https://lh5.googleusercontent.com/p/AF1QipNiSvpm33j459VKW7FiaBypiF7er9UbyXLp5qJ3=w397-h298-k-no
ChIJJ23yVBb9DDkR038pTuoBKho,Masjid Mubarak Begum,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNKO-YhO1JuKJnBIXKKh5SGmuYfF5EhA1uFTHs=w224-h298-k-no-pi-10-ya351-ro-0-fo100
ChIJpfn0MmHFwDsRjMwCCwwe6uI,SHAHI IDGAH raibag,All,https://lh5.googleusercontent.com/p/AF1QipMf5LlBI8OVu-DoZLl_RKiZLp7j5ec1G8V4ub00=w397-h298-k-no
ChIJpfn0MmHFwDsRjMwCCwwe6uI,SHAHI IDGAH raibag,Videos,https://lh5.googleusercontent.com/p/AF1QipMageUkCBOWnntFGBdGWILb9FVjEKp5_GP1rvDt=w224-h398-k-no
ChIJ5UaXqn7FwDsRsaUDi8erZDk,kabristan maszid raibag,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IkVYoWzIWlLBLUm75snVgQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.2186&pitch=0&thumbfov=100
ChIJ5UaXqn7FwDsRsaUDi8erZDk,kabristan maszid raibag,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IkVYoWzIWlLBLUm75snVgQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=258.2186&pitch=0&thumbfov=100
ChIJhTGWx3jFwDsRautMWmyvQME,SHAHI JAMIYA MASJID RAIBAG,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mQYRjWAw3OZ1TqEWsJB-JQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.07338&pitch=0&thumbfov=100
ChIJhTGWx3jFwDsRautMWmyvQME,SHAHI JAMIYA MASJID RAIBAG,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mQYRjWAw3OZ1TqEWsJB-JQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.07338&pitch=0&thumbfov=100
ChIJdX0DitnFwDsRwaledDjyAxA,Dargah Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZiDzy7k0hLfJQf39vy1Fww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.68689&pitch=0&thumbfov=100
ChIJdX0DitnFwDsRwaledDjyAxA,Dargah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZiDzy7k0hLfJQf39vy1Fww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.68689&pitch=0&thumbfov=100
ChIJuQlIfCrFwDsRWmpdGipNRXI,Billal Nurani Masjid Raibag,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N-USL3d6PqFtu2OhCT26ew&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.73557&pitch=0&thumbfov=100
ChIJuQlIfCrFwDsRWmpdGipNRXI,Billal Nurani Masjid Raibag,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N-USL3d6PqFtu2OhCT26ew&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=294.73557&pitch=0&thumbfov=100
ChIJh8gvxBDFwDsRECssMIUPNm0,Aqsa masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z4UIlmZeSIoptUhTZsLoag&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=186.93456&pitch=0&thumbfov=100
ChIJh8gvxBDFwDsRECssMIUPNm0,Aqsa masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z4UIlmZeSIoptUhTZsLoag&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=186.93456&pitch=0&thumbfov=100
