name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Hazrat Imam Shah Data Chisty R.A (sunni mosque),Mosque,"G8Q2+R23 Hazrat Imam Shah Data Chisty R.A (sunni mosque), Heera Lal Colony, Amahiya, Rewa, Madhya Pradesh 486001","Heera Lal Colony, Amahiya",G8Q2+R23,Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Hazrat+Imam+Shah+Data+Chisty+R.A+%28sunni+mosque%29/data=!4m7!3m6!1s0x39845a347333922b:0x6b7bc48ac006b319!8m2!3d24.539512!4d81.3000378!16s%2Fg%2F1hc5v5vzr!19sChIJK5IzczRahDkRGbMGwIrEe2s?authuser=0&hl=en&rclk=1,"24.539512,81.3000378"
Masjid,Mosque,"G7MW+F22 Masjid, Narendra Nagar, Amaiya Colony, Rewa, Madhya Pradesh 486001","Narendra Nagar, Amaiya Colony",G7MW+F22,Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x39845bb55c65f0eb:0x9c35c9176b67cf5e!8m2!3d24.533628!4d81.2950167!16s%2Fg%2F119vlp6kl!19sChIJ6_BlXLVbhDkRXs9naxfJNZw?authuser=0&hl=en&rclk=1,"24.533628,81.29501669999999"
SUNNI YASEEN MASJID MADARASA FAIZAN E RAZA,Mosque,"G7JV+MPX SUNNI YASEEN MASJID MADARASA FAIZAN E RAZA, Tarahti, Rewa, Madhya Pradesh 486001",Tarahti,G7JV+MPX,Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/SUNNI+YASEEN+MASJID+MADARASA+FAIZAN+E+RAZA/data=!4m7!3m6!1s0x39845bb517005fd3:0xc734d3ecb72180a0!8m2!3d24.5317442!4d81.2943716!16s%2Fg%2F11d_tp2y6_!19sChIJ018AF7VbhDkRoIAht-zTNMc?authuser=0&hl=en&rclk=1,"24.5317442,81.29437159999999"
Bansagar Masjid,Mosque,"G8M7+RQM Bansagar Masjid, Unnamed Road,, Chhatrapati Nagar, Rewa, Madhya Pradesh 486001",Chhatrapati Nagar,"G8M7+RQM, Unnamed Road,",Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Bansagar+Masjid/data=!4m7!3m6!1s0x39845a407c71737b:0xc1d7bdc7080aed8!8m2!3d24.5345858!4d81.3144248!16s%2Fg%2F11c1t4x5zn!19sChIJe3NxfEBahDkR2K6AcNx7HQw?authuser=0&hl=en&rclk=1,"24.5345858,81.3144248"
Bansagar Masjid,Mosque,"G8P6+7X7 Bansagar Masjid, Chhatrapati Nagar, Rewa, Madhya Pradesh 486001",Chhatrapati Nagar,G8P6+7X7,Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Bansagar+Masjid/data=!4m7!3m6!1s0x39845a38b2ca1eb7:0x8bdf9926b19d703b!8m2!3d24.5356515!4d81.3124334!16s%2Fg%2F11c55kg4ys!19sChIJtx7KsjhahDkRO3CdsSaZ34s?authuser=0&hl=en&rclk=1,"24.5356515,81.3124334"
Falak Numa Mosque,Mosque,"Falak Numa Mosque, Allah Buqsh Colony, Boda Bag Housing Board Colony, Rewa, Madhya Pradesh 486003","Boda Bag Housing Board Colony, Vidya Nagar Colony",Allah Buqsh Colony,Rewa,486003,Madhya Pradesh,IN,https://www.google.com/maps/place/Falak+Numa+Mosque/data=!4m7!3m6!1s0x39845a28949604fb:0x1089f23ce298a8cf!8m2!3d24.5539412!4d81.3056348!16s%2Fg%2F11cmwws2xm!19sChIJ-wSWlChahDkRz6iY4jzyiRA?authuser=0&hl=en&rclk=1,"24.5539412,81.30563479999999"
Masjid Maulvi Sahab,Mosque,"G7MQ+624 Masjid Maulvi Sahab, Raniganj, Rewa, Madhya Pradesh 486001",Raniganj,G7MQ+624,Rewa,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid+Maulvi+Sahab/data=!4m7!3m6!1s0x39845bb7d361d015:0x9dc8b49c25682978!8m2!3d24.5330158!4d81.2875699!16s%2Fg%2F11dxcptvq0!19sChIJFdBh07dbhDkReCloJZy0yJ0?authuser=0&hl=en&rclk=1,"24.533015799999998,81.2875699"
Eidgah Rewa,Mosque,"G7MP+P22 Eidgah Rewa, Raniganj, Madhya Pradesh 486001",Raniganj,G7MP+P22,,486001,Madhya Pradesh,IN,https://www.google.com/maps/place/Eidgah+Rewa/data=!4m7!3m6!1s0x39845bc80993f5f3:0xe4485b06592b89c6!8m2!3d24.5342746!4d81.2850201!16s%2Fg%2F1260mxnrf!19sChIJ8_WTCchbhDkRxokrWQZbSOQ?authuser=0&hl=en&rclk=1,"24.5342746,81.2850201"
Nizami Masjid Khutehi,Mosque,"G8W3+VRJ Nizami Masjid Khutehi, MDR, Khutehi, Rewa, Madhya Pradesh 486002",Khutehi,"G8W3+VRJ, MDR",Rewa,486002,Madhya Pradesh,IN,https://www.google.com/maps/place/Nizami+Masjid+Khutehi/data=!4m7!3m6!1s0x39845a2fcc1b16ad:0x48f08ce32bb7c79e!8m2!3d24.5472075!4d81.304506!16s%2Fg%2F1ptywqgl0!19sChIJrRYbzC9ahDkRnse3K-OM8Eg?authuser=0&hl=en&rclk=1,"24.5472075,81.30450599999999"
Rewa Masjid,Mosque,"JX3H+6CP Rewa Masjid, Baluwa, Bihar 801111",,JX3H+6CP,Baluwa,801111,Bihar,IN,https://www.google.com/maps/place/Rewa+Masjid/data=!4m7!3m6!1s0x39ed550b05db7e2d:0x25d997652c82dd4f!8m2!3d25.6030855!4d84.9785691!16s%2Fg%2F11g7229tth!19sChIJLX7bBQtV7TkRT92CLGWX2SU?authuser=0&hl=en&rclk=1,"25.6030855,84.9785691"
