name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Gobind Sadan,Place of worship,"Gobind Sadan, 30, Mandi Rd, Gadaipur, Mehrauli, New Delhi, Delhi 110030","Gadaipur, Mehrauli","30, Mandi Rd",New Delhi,110030,Delhi,IN,https://www.google.com/maps/place/Gobind+Sadan/data=!4m7!3m6!1s0x390d1f0050ffa699:0xe14ac52c90d2ec78!8m2!3d28.4764312!4d77.1491057!16s%2Fg%2F1vsppx1w!19sChIJmab_UAAfDTkReOzSkCzFSuE?authuser=0&hl=en&rclk=1,"28.4764312,77.14910569999999"
Madina Masjid Ron,Mosque,"Madina Masjid Ron, shivapete 6th cross, Rona, Karnataka",,shivapete 6th cross,Rona,,Karnataka,IN,https://www.google.com/maps/place/Madina+Masjid+Ron/data=!4m7!3m6!1s0x3bb8606c7ff93943:0xbb031bccc8319229!8m2!3d15.7026477!4d75.7401172!16s%2Fg%2F11fzd34sbt!19sChIJQzn5f2xguDsRKZIxyMwbA7s?authuser=0&hl=en&rclk=1,"15.7026477,75.7401172"
Haroon Masjid,Mosque,"Haroon Masjid, Bangi Kunta, Raichur, Karnataka 584103",Bangi Kunta,,Raichur,,Karnataka,IN,https://www.google.com/maps/place/Haroon+Masjid/data=!4m7!3m6!1s0x3bc9d773fcc0050d:0x5d2b47300a8ddc54!8m2!3d16.207884!4d77.360888!16s%2Fg%2F1pyqs84d5!19sChIJDQXA_HPXyTsRVNyNCjBHK10?authuser=0&hl=en&rclk=1,"16.207884,77.360888"
Ron-kul Islam Masjid,Mosque,"HW93+C36 Ron-kul Islam Masjid, Telva, Gujarat 393020",,HW93+C36,Telva,393020,Gujarat,IN,https://www.google.com/maps/place/Ron-kul+Islam+Masjid/data=!4m7!3m6!1s0x3be0257c5ae845a1:0xf72558f8a552740a!8m2!3d21.5685477!4d72.9026288!16s%2Fg%2F1hc0yh692!19sChIJoUXoWnwl4DsRCnRSpfhYJfc?authuser=0&hl=en&rclk=1,"21.5685477,72.9026288"
Madina Masjid Ronpur,Mosque,"FRCJ+422 Madina Masjid Ronpur, Naya kua, Ronpur, Rajasthan 301021",Naya kua,FRCJ+422,Ronpur,,Rajasthan,IN,https://www.google.com/maps/place/Madina+Masjid+Ronpur/data=!4m7!3m6!1s0x3972f343fb2c8c87:0xb5a9b94e22b9f8c8!8m2!3d27.4702668!4d76.8300228!16s%2Fg%2F11h0zc1myp!19sChIJh4ws-0PzcjkRyPi5Ik65qbU?authuser=0&hl=en&rclk=1,"27.470266799999997,76.8300228"
Ranokeli Uttar Purbo Bari Jame Masjid,Mosque,"V22J+C5H Ranokeli Uttar Purbo Bari Jame Masjid, Ronokali, Bangladesh",,V22J+C5H,Ronokali,,,BD,https://www.google.com/maps/place/Ranokeli+Uttar+Purbo+Bari+Jame+Masjid/data=!4m7!3m6!1s0x3751b3cd860c4873:0x73f63524adc60787!8m2!3d24.8510748!4d92.0304731!16s%2Fg%2F11j5gv7jy2!19sChIJc0gMhs2zUTcRhwfGrSQ19nM?authuser=0&hl=en&rclk=1,"24.8510748,92.0304731"
Masjid E Noorani,Mosque,"RJ9X+XJ3 Masjid E Noorani, Hole Alur, Karnataka 582203",,RJ9X+XJ3,Hole Alur,582203,Karnataka,IN,https://www.google.com/maps/place/Masjid+E+Noorani/data=!4m7!3m6!1s0x3bb88994b25b05df:0x2889bc0e2dbe158e!8m2!3d15.8198807!4d75.6490585!16s%2Fg%2F11gy7cs299!19sChIJ3wVbspSJuDsRjhW-LQ68iSg?authuser=0&hl=en&rclk=1,"15.819880699999999,75.6490585"
Madina Masjid,Mosque,"MPXM+C7R Madina Masjid, Rona, Karnataka 582209",,MPXM+C7R,Rona,582209,Karnataka,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x3bb86013b7a05243:0x88ca5b03a7425fdf!8m2!3d15.698617!4d75.733136!16s%2Fg%2F11f10g3xxc!19sChIJQ1KgtxNguDsR319CpwNbyog?authuser=0&hl=en&rclk=1,"15.698616999999999,75.733136"
Makka Masjid,Mosque,"MPVM+GVM Makka Masjid, Rona, Karnataka 582209",,MPVM+GVM,Rona,582209,Karnataka,IN,https://www.google.com/maps/place/Makka+Masjid/data=!4m7!3m6!1s0x3bb8615a274adacb:0xc4dfea7720cd196!8m2!3d15.6938316!4d75.734665!16s%2Fg%2F11g0gpg3zt!19sChIJy9pKJ1phuDsRltEMcqf-TQw?authuser=0&hl=en&rclk=1,"15.6938316,75.73466499999999"
Ounchi Masjid,Mosque,"RH7M+5QX Ounchi Masjid, Unnamed Road, Burhan, Attock, Punjab, Pakistan",,"RH7M+5QX, Unnamed Road",Burhan,,"Attock, Punjab",PK,https://www.google.com/maps/place/Ounchi+Masjid/data=!4m7!3m6!1s0x38df051ac0f7d011:0xc906bc985cbb51d5!8m2!3d33.8129754!4d72.5844759!16s%2Fg%2F11ly45v1fl!19sChIJEdD3wBoF3zgR1VG7XJi8Bsk?authuser=0&hl=en&rclk=1,"33.8129754,72.5844759"
Usman Gani Masjid,Mosque,"Usman Gani Masjid, Kalyan Nagar, Rona, Karnataka 582209",Kalyan Nagar,,Rona,582209,Karnataka,IN,https://www.google.com/maps/place/Usman+Gani+Masjid/data=!4m7!3m6!1s0x3bb86129d173c52f:0xb7027318aabc645d!8m2!3d15.6933844!4d75.7331677!16s%2Fg%2F11j23lp5py!19sChIJL8Vz0SlhuDsRXWS8qhhzArc?authuser=0&hl=en&rclk=1,"15.6933844,75.7331677"
