name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Idgah,Mosque,"C2QH+73V Idgah, Sadabad, Uttar Pradesh 281306",,C2QH+73V,Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Idgah/data=!4m7!3m6!1s0x3974873101611647:0x7b4bbfbc53fe2d8!8m2!3d27.4382462!4d78.0276851!16s%2Fg%2F11b8_w48tp!19sChIJRxZhATGHdDkR2OI_xfu7tAc?authuser=0&hl=en&rclk=1,"27.4382462,78.0276851"
Jama Masjid,Mosque,"C2QM+MFH Jama Masjid, Meat Market,, Sadabad, Uttar Pradesh",,"C2QM+MFH, Meat Market,",Sadabad,,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3974873b003e0e77:0xa29200fe5f675bb2!8m2!3d27.4391761!4d78.0337238!16s%2Fg%2F11bxdvf3jq!19sChIJdw4-ADuHdDkRsltnX_4AkqI?authuser=0&hl=en&rclk=1,"27.439176099999997,78.03372379999999"
Salmani Masjid,Mosque,"C2PP+MM2 Salmani Masjid, Jawahar Bazaar, Karkauli, Sadabad, Uttar Pradesh 281306",Karkauli,"C2PP+MM2, Jawahar Bazaar",Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Salmani+Masjid/data=!4m7!3m6!1s0x3974873bff7f21cb:0xc814b149a356dbdd!8m2!3d27.4366358!4d78.0366444!16s%2Fg%2F11f51_5vj0!19sChIJyyF__zuHdDkR3dtWo0mxFMg?authuser=0&hl=en&rclk=1,"27.436635799999998,78.0366444"
Aulia Masjid,Mosque,"Aulia Masjid, Ahmad Nagar, Sadabad, Uttar Pradesh 281306",,Ahmad Nagar,Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Aulia+Masjid/data=!4m7!3m6!1s0x3974873981c92ab5:0xb2d71a952f60ead0!8m2!3d27.4359748!4d78.0338248!16s%2Fg%2F11f4vx35n5!19sChIJtSrJgTmHdDkR0OpgL5Ua17I?authuser=0&hl=en&rclk=1,"27.4359748,78.03382479999999"
Islam Nagar Masjid,Mosque,"C2PJ+3PC Islam Nagar Masjid, SH 39, Sadabad, Uttar Pradesh 281306",,"C2PJ+3PC, SH 39",Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Islam+Nagar+Masjid/data=!4m7!3m6!1s0x39748739ef9576eb:0x56b2f7691647b09a!8m2!3d27.4351968!4d78.031753!16s%2Fg%2F11ggfm50_h!19sChIJ63aV7zmHdDkRmrBHFmn3slY?authuser=0&hl=en&rclk=1,"27.4351968,78.031753"
Taj Masjid,Mosque,"C2QJ+R46 Taj Masjid, SH 39, Sadabad, Uttar Pradesh 281306",,"C2QJ+R46, SH 39",Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Taj+Masjid/data=!4m7!3m6!1s0x397487307004a38d:0x7331661560ebf81b!8m2!3d27.4395477!4d78.0302648!16s%2Fg%2F11ggpmljvl!19sChIJjaMEcDCHdDkRG_jrYBVmMXM?authuser=0&hl=en&rclk=1,"27.4395477,78.0302648"
Medina Masjid,Mosque,"C2MH+WXG Medina Masjid, Sadabad, Uttar Pradesh 281306",,C2MH+WXG,Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Medina+Masjid/data=!4m7!3m6!1s0x3974873743f6daf7:0xda3b7dd54b059d1a!8m2!3d27.4348226!4d78.0299437!16s%2Fg%2F11hcp7qgj6!19sChIJ99r2QzeHdDkRGp0FS9V9O9o?authuser=0&hl=en&rclk=1,"27.4348226,78.02994369999999"
Khajoor Wali Masjid,Mosque,"C2QP+FMM Khajoor Wali Masjid, Sadabad, Uttar Pradesh 281306",,C2QP+FMM,Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Khajoor+Wali+Masjid/data=!4m7!3m6!1s0x3974873b878a6c15:0x3d8928ee569213ad!8m2!3d27.4387211!4d78.0366575!16s%2Fg%2F11f51_d8t4!19sChIJFWyKhzuHdDkRrROSVu4oiT0?authuser=0&hl=en&rclk=1,"27.4387211,78.03665749999999"
Mecca Masjid,Mosque,"C2PH+VCJ Mecca Masjid, Sadabad, Uttar Pradesh 281306",,C2PH+VCJ,Sadabad,281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Mecca+Masjid/data=!4m7!3m6!1s0x39748730fbcce0ab:0xca18569b2b8fa146!8m2!3d27.437204!4d78.0285025!16s%2Fg%2F11hcw67wdr!19sChIJq-DM-zCHdDkRRqGPK5tWGMo?authuser=0&hl=en&rclk=1,"27.437203999999998,78.0285025"
Usmanganj Masjid,Mosque,"C2WR+X4J Usmanganj Masjid, Radha Puram, Salem Pur, Sadabad, Uttar Pradesh 281306",Radha Puram,C2WR+X4J,"Salem Pur, Sadabad",281306,Uttar Pradesh,IN,https://www.google.com/maps/place/Usmanganj+Masjid/data=!4m7!3m6!1s0x397487bc4566535b:0x1d8a7577b94e4404!8m2!3d27.4474644!4d78.0402527!16s%2Fg%2F11f5v9tyrg!19sChIJW1NmRbyHdDkRBEROuXd1ih0?authuser=0&hl=en&rclk=1,"27.447464399999998,78.0402527"
