name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"6JRH+FQ3 Jama Masjid, Sahibganj, Jharkhand 816109",,6JRH+FQ3,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39fa98b809ff6779:0x3776736365fd2fad!8m2!3d25.2411417!4d87.6294335!16s%2Fg%2F11bxgbhrrk!19sChIJeWf_CbiY-jkRrS_9ZWNzdjc?authuser=0&hl=en&rclk=1,"25.2411417,87.62943349999999"
Habibpur Masjid,Mosque,"Habibpur Masjid, Ward No. 16, Habibpur, Sahibganj, Jharkhand 816109","Ward No. 16, Habibpur",,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Habibpur+Masjid/data=!4m7!3m6!1s0x39fa98957788bb83:0x7c1dabf778aefe7d!8m2!3d25.2441403!4d87.6390159!16s%2Fg%2F1232p55gy!19sChIJg7uId5WY-jkRff6uePerHXw?authuser=0&hl=en&rclk=1,"25.244140299999998,87.63901589999999"
IQRA MASJID,Mosque,"IQRA MASJID, Mazhar Tola Rd, Iqra Colony, Sahibganj, Jharkhand 816109",Iqra Colony,Mazhar Tola Rd,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/IQRA+MASJID/data=!4m7!3m6!1s0x39fa994b005f3441:0x4bc4ad48370c0377!8m2!3d25.2367043!4d87.6348573!16s%2Fg%2F11flgdl2qx!19sChIJQTRfAEuZ-jkRdwMMN0itxEs?authuser=0&hl=en&rclk=1,"25.2367043,87.6348573"
Muhammadia Masjid Imli Tola,Mosque,"6JMM+RX7 Muhammadia Masjid Imli Tola, Imli Tola, Mazhar Tola Rd, Sahibganj, Jharkhand 816109",,"6JMM+RX7, Imli Tola, Mazhar Tola Rd",Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Muhammadia+Masjid+Imli+Tola/data=!4m7!3m6!1s0x39fa98c3c34855c9:0xb089e09449a52611!8m2!3d25.2345414!4d87.6349314!16s%2Fg%2F11c1ny0ktv!19sChIJyVVIw8OY-jkRESalSZTgibA?authuser=0&hl=en&rclk=1,"25.234541399999998,87.6349314"
"Masjid-e-Mustafa[s.a.w], Azadnagar, CooliPada",Mosque,"Masjid-e-Mustafa[s.a.w], Azadnagar, CooliPada, Cooliepara, Sahibganj, Jharkhand 816109",,,"Cooliepara, Sahibganj",816109,Jharkhand,IN,"https://www.google.com/maps/place/Masjid-e-Mustafa%5Bs.a.w%5D,+Azadnagar,+CooliPada/data=!4m7!3m6!1s0x39fa98be34a5e94d:0xf076ef6ee7f269f0!8m2!3d25.2442598!4d87.6370388!16s%2Fg%2F11d_705mx7!19sChIJTemlNL6Y-jkR8Gny527vdvA?authuser=0&hl=en&rclk=1","25.2442598,87.6370388"
Badi Maszid,Mosque,"Badi Maszid, Mazhar Tola Rd, Sahibganj, Jharkhand 816109",,Mazhar Tola Rd,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Badi+Maszid/data=!4m7!3m6!1s0x39fa98c1020281dd:0xe1237f37df2f2189!8m2!3d25.238195!4d87.6356441!16s%2Fg%2F11c4sx55d7!19sChIJ3YECAsGY-jkRiSEv3zd_I-E?authuser=0&hl=en&rclk=1,"25.238194999999997,87.6356441"
Chhoti Masjid,Mosque,"6JRH+QPV Chhoti Masjid, Sahibganj, Jharkhand 816109",,6JRH+QPV,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Chhoti+Masjid/data=!4m7!3m6!1s0x39fa99e4a938ce65:0xa6ac04776814efba!8m2!3d25.2419986!4d87.6293111!16s%2Fg%2F11h1ywsxbj!19sChIJZc44qeSZ-jkRuu8UaHcErKY?authuser=0&hl=en&rclk=1,"25.2419986,87.6293111"
Raza Naemi Jama Masjid,Mosque,"6JPH+F89 Raza Naemi Jama Masjid, Hatai Parisar, Sahibganj, Jharkhand 816109",Hatai Parisar,6JPH+F89,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/Raza+Naemi+Jama+Masjid/data=!4m7!3m6!1s0x39fa98c8a703395d:0x4c0c742fcd9bb6c0!8m2!3d25.2361568!4d87.6283488!16s%2Fg%2F11d_dvjv8r!19sChIJXTkDp8iY-jkRwLabzS90DEw?authuser=0&hl=en&rclk=1,"25.2361568,87.6283488"
MASJID E TAHIRA,Mosque,"6JPJ+X22 MASJID E TAHIRA, Hatai Parisar, Sahibganj, Jharkhand 816109",Hatai Parisar,6JPJ+X22,Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/MASJID+E+TAHIRA/data=!4m7!3m6!1s0x39fa9916ecb4413b:0x25faf91b2984b424!8m2!3d25.2373921!4d87.6300092!16s%2Fg%2F11f731vbkr!19sChIJO0G07BaZ-jkRJLSEKRv5-iU?authuser=0&hl=en&rclk=1,"25.237392099999997,87.63000919999999"
RAHMAT MASJID,Mosque,"RAHMAT MASJID, Iqra colony, Near, Stadium Rd, Mazhar Tola Rd, Sahibganj, Jharkhand 816109",,"Iqra colony, Near, Stadium Rd, Mazhar Tola Rd",Sahibganj,816109,Jharkhand,IN,https://www.google.com/maps/place/RAHMAT+MASJID/data=!4m7!3m6!1s0x39fa991d9ba8570f:0x221fb3305bf9c8e7!8m2!3d25.2362557!4d87.6333314!16s%2Fg%2F11mm_ntr2f!19sChIJD1eomx2Z-jkR58j5WzCzHyI?authuser=0&hl=en&rclk=1,"25.236255699999997,87.6333314"
