place_id,place_name,about,link
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),All,https://lh5.googleusercontent.com/p/AF1QipNurlAqVajf6l1GOWtFSdY-PQkk8RkmFh7CWWjQ=w224-h397-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Latest,https://lh5.googleusercontent.com/p/AF1QipOCuQ_OKexnFVwyG6jTw70Ks29_nR0-DUVUENAx=w224-h499-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Videos,https://lh5.googleusercontent.com/p/AF1QipMLTUSoAlaruIV69n7V7ioThXhAn2BbO5pvIJHx=w224-h398-k-no
ChIJ-edX5nTkDDkR-k5VJXxXgJY,Jama Masjid (Okhla),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z-QJChe4QhZGcPWyP8lFTg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.94215&pitch=0&thumbfov=100
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJBXKjAMLlDDkRGYY8ih5Zu_4,"Ghausia Masjid, Jasola",All,https://lh5.googleusercontent.com/p/AF1QipN-lEt3yip6eBR4Fe2JdfUeaeFQ7lhnFP9Kybdf=w224-h398-k-no
ChIJBXKjAMLlDDkRGYY8ih5Zu_4,"Ghausia Masjid, Jasola",Latest,https://lh5.googleusercontent.com/p/AF1QipOQuAucmIqk7zSIbJPWqEcHauG0cjgwV9r3xteS=w224-h398-k-no
ChIJBXKjAMLlDDkRGYY8ih5Zu_4,"Ghausia Masjid, Jasola",Videos,https://lh5.googleusercontent.com/p/AF1QipOQuAucmIqk7zSIbJPWqEcHauG0cjgwV9r3xteS=w224-h398-k-no
ChIJBXKjAMLlDDkRGYY8ih5Zu_4,"Ghausia Masjid, Jasola",By owner,https://lh5.googleusercontent.com/p/AF1QipOhoQm0m_0Ly1KvxLcW78-8x36GzXX4BdqIpjkZ=w224-h298-k-no
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMTNUbx3lD0q7y16NcdzZuav8KGw75kUagWw90a=w397-h298-k-no
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipO7PdRpC5LpCNpQZjf8JPHvNdq4KucpDiXDn77d=w224-h298-k-no
ChIJE13e0XXkDDkRmatH5aZWAeA,Khalilullah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNzFAyXsbcvVRRJ6AMKkaGBfhoFQCdSpV9iNHdH=w529-h298-k-no
