place_id,place_name,about,link
ChIJp8YiP5WQ7TkRWrMFh3oZ78c,Chhoti Masjid Station road Samastipur,All,https://lh5.googleusercontent.com/p/AF1QipN_P2iDQL4SRDNJjnnuEMSgy3htXLQ8tNhHDcPJ=w529-h298-k-no
ChIJp8YiP5WQ7TkRWrMFh3oZ78c,Chhoti Masjid Station road Samastipur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Asvu_KLgPsdSdNbldoBOCg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.87305&pitch=0&thumbfov=100
ChIJkahPEqSQ7TkR7401iq-DBCI,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNParmDWJ7bDTPrEfhsDJ5hAaXKL0h5hnCRwUXj=w397-h298-k-no
ChIJkahPEqSQ7TkR7401iq-DBCI,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOELbTqRqEwEujzwQ6t9QxCq350HvTjcWZOlEcS=w224-h298-k-no-pi-10-ya68-ro-0-fo100
ChIJkahPEqSQ7TkR7401iq-DBCI,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPmt5kGQ6O2wwIwN7jagVo2LlD8fB9f9rlpVleQ=w224-h407-k-no
ChIJieAS6b-Q7TkReH2JhwxYaqE,Jama Masjid Samastipur,All,https://lh5.googleusercontent.com/p/AF1QipOWYktSErdSA58vB0Zp_iZrQ5oNCU83pakVVHqG=w224-h398-k-no
ChIJieAS6b-Q7TkReH2JhwxYaqE,Jama Masjid Samastipur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=vt_8EpH_QoFFOAk8K3p_sg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.77267&pitch=0&thumbfov=100
ChIJieAS6b-Q7TkReH2JhwxYaqE,Jama Masjid Samastipur,Videos,https://lh5.googleusercontent.com/p/AF1QipORz15sD3CRm5DNj0LUonEwDpnntvMgrvqhXH8o=w224-h398-k-no
ChIJR4PnuqOQ7TkRc8lSx9w0bHM,Masjid e Taj,All,https://lh5.googleusercontent.com/p/AF1QipMCgk00en7nDzmfCxMJ_U1nMYRkITqMRD9pgh7g=w224-h298-k-no
ChIJR4PnuqOQ7TkRc8lSx9w0bHM,Masjid e Taj,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jasH5k9xqVaZu-VKbhQ9VA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=36.431175&pitch=0&thumbfov=100
ChIJafpWEceQ7TkRBN6yE3iyCKI,Mathurapur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMybWnnTrCbo0KagfWJeThGpP2i8ejL2nQb4J05=w224-h470-k-no
ChIJafpWEceQ7TkRBN6yE3iyCKI,Mathurapur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fPmeEs_SPG3rl2s4xsXqkA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=79.204025&pitch=0&thumbfov=100
ChIJ96IbqqKQ7TkRJSWkrnaKQ7Y,Kashipur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOh1KrdYEx4vRxXCooHsIwnet3PCfyufNVsc1Ui=w224-h398-k-no
ChIJ96IbqqKQ7TkRJSWkrnaKQ7Y,Kashipur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=k72tzpW-RorVm501wd6h1Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=235.46793&pitch=0&thumbfov=100
ChIJ14iBTQ2R7TkRATXMz7dQceo,Ramnagar masjid,All,https://lh5.googleusercontent.com/p/AF1QipMO5cdHXZw3abEj-dn7c-SQhFMjclO9LXloEIrt=w397-h298-k-no
ChIJ14iBTQ2R7TkRATXMz7dQceo,Ramnagar masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNzfptZq1mDw-yGrKTEnnrUfv25ij3Ix6I5QNtK=w662-h298-k-no
