name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Chhoti Masjid Station road Samastipur,Mosque,"VQ6P+5FP Chhoti Masjid Station road Samastipur, Station Rd, Gudari Bazar, Samastipur, Bihar 848101",Gudari Bazar,"VQ6P+5FP, Station Rd",Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Chhoti+Masjid+Station+road+Samastipur/data=!4m7!3m6!1s0x39ed90953f22c6a7:0xc7ef197a8705b35a!8m2!3d25.8604524!4d85.7861987!16s%2Fg%2F11bw6829dv!19sChIJp8YiP5WQ7TkRWrMFh3oZ78c?authuser=0&hl=en&rclk=1,"25.8604524,85.7861987"
Jama Masjid,Mosque,"VQ9F+C4X Jama Masjid, Dharampur, Samastipur, Bihar 848101",Dharampur,VQ9F+C4X,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x39ed90a4124fa891:0x220483af8a358def!8m2!3d25.8686219!4d85.7728627!16s%2Fg%2F11bzz_hczl!19sChIJkahPEqSQ7TkR7401iq-DBCI?authuser=0&hl=en&rclk=1,"25.868621899999997,85.77286269999999"
Jama Masjid Samastipur,Mosque,"VQ7P+7CX Jama Masjid Samastipur, Gola Rd, Gudari Bazar, Mahua, Bihar 844122",Gudari Bazar,"VQ7P+7CX, Gola Rd",Mahua,844122,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Samastipur/data=!4m7!3m6!1s0x39ed90bfe912e089:0xa16a580c87897d78!8m2!3d25.8632253!4d85.7860947!16s%2Fg%2F11g69h8hf1!19sChIJieAS6b-Q7TkReH2JhwxYaqE?authuser=0&hl=en&rclk=1,"25.8632253,85.78609469999999"
Masjid e Taj,Mosque,"Masjid e Taj, 1, SH 49, Proffessor Colony, Srikrishnapuri, Samastipur, Bihar 848101","Proffessor Colony, Srikrishnapuri","1, SH 49",Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Masjid+e+Taj/data=!4m7!3m6!1s0x39ed90a3bae78347:0x736c34dcc752c973!8m2!3d25.865694!4d85.7736305!16s%2Fg%2F11g8v16nf7!19sChIJR4PnuqOQ7TkRc8lSx9w0bHM?authuser=0&hl=en&rclk=1,"25.865693999999998,85.7736305"
Mathurapur Masjid,Mosque,"VQCQ+2GC Mathurapur Masjid, Mathurapur, Samastipur, Bihar 848101",Mathurapur,VQCQ+2GC,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Mathurapur+Masjid/data=!4m7!3m6!1s0x39ed90c71156fa69:0xa208b27813b2de04!8m2!3d25.8700745!4d85.7887793!16s%2Fg%2F11b6_dx4c0!19sChIJafpWEceQ7TkRBN6yE3iyCKI?authuser=0&hl=en&rclk=1,"25.870074499999998,85.7887793"
Kashipur Masjid,Mosque,"Ward no 32, Kashipur Masjid, Infront of Chand Commerce classes, Masjid Road, Veer Kunwar Singh Colony, Kashipur, Samastipur, Bihar 848101","Veer Kunwar Singh Colony, Kashipur","Ward no 32, Infront of Chand Commerce classes, Masjid Road",Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Kashipur+Masjid/data=!4m7!3m6!1s0x39ed90a2aa1ba2f7:0xb6438a76aea42525!8m2!3d25.8619811!4d85.7765917!16s%2Fg%2F11f11k3xyx!19sChIJ96IbqqKQ7TkRJSWkrnaKQ7Y?authuser=0&hl=en&rclk=1,"25.861981099999998,85.7765917"
Ramnagar masjid,Mosque,"Ramnagar masjid, Ramnagar Rd, Ramnagar, Samastipur, Akbarpur Pitaunjia, Bihar 848101",Ramnagar,Ramnagar Rd,"Samastipur, Akbarpur Pitaunjia",848101,Bihar,IN,https://www.google.com/maps/place/Ramnagar+masjid/data=!4m7!3m6!1s0x39ed910d4d8188d7:0xea7150b7cfcc3501!8m2!3d25.8674057!4d85.7928902!16s%2Fg%2F11fk9dyqvt!19sChIJ14iBTQ2R7TkRATXMz7dQceo?authuser=0&hl=en&rclk=1,"25.8674057,85.7928902"
"Chaknoor Jama Masjid ,Samstipur",Mosque,"VQJ8+952 Chaknoor Jama Masjid ,Samstipur, Municipal Corporation, Samastipur, Chak Nur, Bihar 848101",Friends Colony,"VQJ8+952 Municipal Corporation, Samastipur",Chak Nur,848101,Bihar,IN,"https://www.google.com/maps/place/Chaknoor+Jama+Masjid+,Samstipur/data=!4m7!3m6!1s0x39ed90aa875490c7:0x8f183f34393b301d!8m2!3d25.8824163!4d85.7669753!16s%2Fg%2F1q63ckmls!19sChIJx5BUh6qQ7TkRHTA7OTQ_GI8?authuser=0&hl=en&rclk=1","25.8824163,85.7669753"
Masjid E Kamaal,Mosque,"VQ8C+WCV Masjid E Kamaal, Shareef Colony, Samastipur, Bihar 848101",Shareef Colony,VQ8C+WCV,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Masjid+E+Kamaal/data=!4m7!3m6!1s0x39ed90a14d806ce1:0x69608b101d32dcbb!8m2!3d25.8673581!4d85.7710617!16s%2Fg%2F11ddzrk2p8!19sChIJ4WyATaGQ7TkRu9wyHRCLYGk?authuser=0&hl=en&rclk=1,"25.8673581,85.77106169999999"
Sheikhtoli Masjid,Mosque,"VQ6Q+3MW Sheikhtoli Masjid, Shaikhtoli Masjid Gali, Bangali Tola, Samastipur, Bihar 848101",Bangali Tola,"VQ6Q+3MW, Shaikhtoli Masjid Gali",Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Sheikhtoli+Masjid/data=!4m7!3m6!1s0x39ed90eaf04f7029:0x54ecf9168e1cc987!8m2!3d25.8602342!4d85.7891955!16s%2Fg%2F11fy2pwlxx!19sChIJKXBP8OqQ7TkRh8kcjhb57FQ?authuser=0&hl=en&rclk=1,"25.860234199999997,85.78919549999999"
River Side Mosque,Mosque,"VQCG+M4Q River Side Mosque, Dharampur, Samastipur, Bihar 848101",Dharampur,VQCG+M4Q,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/River+Side+Mosque/data=!4m7!3m6!1s0x39ed90a516db4373:0x7cd07c4d49a3012d!8m2!3d25.871725!4d85.7753717!16s%2Fg%2F11hbl83xnj!19sChIJc0PbFqWQ7TkRLQGjSU180Hw?authuser=0&hl=en&rclk=1,"25.871724999999998,85.7753717"
QADRI MASJID (DHANHAR),Mosque,"WVV6+6VF QADRI MASJID (DHANHAR), Samastipur, Bihar 848301",,WVV6+6VF,Samastipur,,Bihar,IN,https://www.google.com/maps/place/QADRI+MASJID+%28DHANHAR%29/data=!4m7!3m6!1s0x39ed95b2ec2c4b0d:0xc587db13c605cf4c!8m2!3d25.9430613!4d85.8621773!16s%2Fg%2F11gjtbhmwt!19sChIJDUss7LKV7TkRTM8FxhPbh8U?authuser=0&hl=en&rclk=1,"25.9430613,85.8621773"
Gaushiya Masjid,Mosque,"VQC9+8W6 Gaushiya Masjid, Dharampur, Samastipur, Bihar 848101",Dharampur,VQC9+8W6,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Gaushiya+Masjid/data=!4m7!3m6!1s0x39ed919547911463:0xc81b34d95f90be81!8m2!3d25.87078!4d85.7697623!16s%2Fg%2F11gh95n28m!19sChIJYxSRR5WR7TkRgb6QX9k0G8g?authuser=0&hl=en&rclk=1,"25.87078,85.7697623"
Masjid-E-Tayba,Mosque,"Masjid-E-Tayba, Chaknoor Rd, Dharampur, Samastipur, Bihar 848101",Dharampur,Chaknoor Rd,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Masjid-E-Tayba/data=!4m7!3m6!1s0x39ed90a64ed36613:0xb0e6297c80fe5b77!8m2!3d25.8717279!4d85.7696256!16s%2Fg%2F11gfdkh3vs!19sChIJE2bTTqaQ7TkRd1v-gHwp5rA?authuser=0&hl=en&rclk=1,"25.8717279,85.7696256"
Bilal Masjid bll msjd,Mosque,"VQCF+Q6J Bilal Masjid bll msjd, Dharampur, Samastipur, Bihar 848101",Dharampur,VQCF+Q6J,Samastipur,848101,Bihar,IN,https://www.google.com/maps/place/Bilal+Masjid+%D8%A8%D9%84%D8%A7%D9%84+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x39ed916d89985e27:0x44c65c9bdc92a4bd!8m2!3d25.8719665!4d85.7730066!16s%2Fg%2F11mvx5hg3w!19sChIJJ16YiW2R7TkRvaSS3JtcxkQ?authuser=0&hl=en&rclk=1,"25.8719665,85.7730066"
Jama Masjid Moglanichak,Mosque,"WV8H+C5H Jama Masjid Moglanichak, Samastipur, Bihar 848133",,WV8H+C5H,Samastipur,,Bihar,IN,https://www.google.com/maps/place/Jama+Masjid+Moglanichak/data=!4m7!3m6!1s0x39ed95632edd2cdb:0x3fb50c02445c68c9!8m2!3d25.9160522!4d85.8779785!16s%2Fg%2F11tnzx6qlj!19sChIJ2yzdLmOV7TkRyWhcRAIMtT8?authuser=0&hl=en&rclk=1,"25.9160522,85.8779785"
