place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,All,https://lh5.googleusercontent.com/p/AF1QipMS1p85drNTtX0D8r38b7Xfwar8bo4yFHMZu1VK=w646-h298-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Menu,https://lh5.googleusercontent.com/p/AF1QipMKoDGJWVuR-zOuTAMhCmKNuyOj6P8DQ3HCzrU5=w224-h398-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Videos,https://lh5.googleusercontent.com/p/AF1QipPTbneSKrq0jnzyruS3cXygr_do9vCNotu3b2ZD=w224-h398-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Food & drink,https://lh5.googleusercontent.com/p/AF1QipON7FVxqN76F1BpOK4LubD22Ba41jCO0MzxFAeN=w529-h298-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Vibe,https://lh5.googleusercontent.com/p/AF1QipMN710wTZyTa0_ipODYb8PpuMPtShQMA5zjBPRI=w397-h298-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Masala dosa,https://lh5.googleusercontent.com/p/AF1QipP1bV5AKC5mJxqiL0-an5ZZpnWuXq4dd4GwmQ99=w397-h298-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Jalebi,https://lh5.googleusercontent.com/p/AF1QipMwxh_FCt6MP6UVag15Ki3R9_8A63sEt5fQRmV3=w224-h298-k-no
ChIJgdfiFyviDDkRbIabIALxxUA,Bikanervala,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOUETdc1zuKG8ltfDXsvwaOld6R7q27G7m_tm1Y=w224-h298-k-no-pi-10-ya281.15002-ro-0-fo100
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJQcGYaIjjDDkRIXAFLDVSqZs,Al Taqwa Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPOwpryyabfBWmbUi57amAVL16KjZD6ERt9NrXl=w224-h496-k-no
ChIJQcGYaIjjDDkRIXAFLDVSqZs,Al Taqwa Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mzLu8IyNWw0hzXyED4baVA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=64.13267&pitch=0&thumbfov=100
ChIJQcGYaIjjDDkRIXAFLDVSqZs,Al Taqwa Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMJuk4ywoSs-23er8X06VkF_BQOCT36Ka6XAjQn=w224-h398-k-no
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,All,https://lh5.googleusercontent.com/p/AF1QipNkl2Fq4q7tOwmg1VhmV4DqQwlZc_D1ehSb5-4W=w397-h298-k-no
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D3R2V6-Sd2057uhsSdA14A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=223.15468&pitch=0&thumbfov=100
ChIJjW9VD3bkDDkRLAFiL19fKMA,Masjid Shahab,Videos,https://lh5.googleusercontent.com/p/AF1QipNAdHC9KEbnML3fgdAEMe5Euk3mcrWUInnwKcMn=w224-h398-k-no
ChIJG1idPRrkDDkR6R2xZSTmsMc,Jama Masjid (Shaheen Bagh),All,https://lh5.googleusercontent.com/p/AF1QipMtvBWa9bbnLgBbHaEv0t-DZ2jmtzIBRcjPH57A=w224-h298-k-no
ChIJG1idPRrkDDkR6R2xZSTmsMc,Jama Masjid (Shaheen Bagh),Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipP28iAZURh9S_xIQvp9TsZuyZ7cYSlER0WcmCL5=w224-h298-k-no-pi-0-ya359-ro-0-fo100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNZwuws43PUlbL8emcV2aBRNEydfAWpFK22aRNF=w224-h298-k-no
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8o2MqfjWuLUC8g_gsZjbIA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=227.3087&pitch=0&thumbfov=100
ChIJp3dIqRb9DDkRIC7UPGW7NXs,Sabz Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNL5KyfXaVSIJNylWBJI4QbQheLpG6HrmsXPWLz=w224-h398-k-no
ChIJVfQkI0sfCzkRG3JP2Nj9XjU,Shahi Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOZK9LCcFOwv4O4XERHglUvEecuFOTG8tEHAZgG=w359-h298-k-no
ChIJVfQkI0sfCzkRG3JP2Nj9XjU,Shahi Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNyw7i4DUGgj1yllOVxTnZWS1tyuXuOInFqTmQY=w224-h497-k-no
