place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJE98F6eQZDTkRrixnGM3rWIU,Sarai Allawardi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMwtGJ34lOdkg848I0xSB0WSSRnEGZxXlr_BHiQ=w529-h298-k-no
ChIJE98F6eQZDTkRrixnGM3rWIU,Sarai Allawardi Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOLqhNKnR1QSMcTz8kRESI2zCP18SSLUukqzw0h=w224-h497-k-no
ChIJB_KKsTRNkDkR8d9NztrQsIc,Bait Ul Uloom Masjid and Madarsa,All,https://lh5.googleusercontent.com/p/AF1QipNCUobQuVPErHAPn38qPDuWNJni7yr1g4lS9qyN=w397-h298-k-no
ChIJB_KKsTRNkDkR8d9NztrQsIc,Bait Ul Uloom Masjid and Madarsa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=py3haMdJBrDbNchEftJbig&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=114.09536&pitch=0&thumbfov=100
ChIJB_KKsTRNkDkR8d9NztrQsIc,Bait Ul Uloom Masjid and Madarsa,Videos,https://lh5.googleusercontent.com/p/AF1QipNkcD0UHskmGnT-54tGv7wiaPC0uj0H19z8vPMm=w224-h398-k-no
ChIJs6QO58WykTkRXQRWw_JMa0E,Minara Masjid Sarai,All,https://lh5.googleusercontent.com/p/AF1QipP4bPmLFYwT2XukUrw3ZL_s3TJwrimVsWq17-HA=w224-h298-k-no
ChIJs6QO58WykTkRXQRWw_JMa0E,Minara Masjid Sarai,Videos,https://lh5.googleusercontent.com/p/AF1QipOLjjTehCRac6mae0c-3KsL1oUuZN-aVuI_O0QF=w224-h398-k-no
ChIJQ0jmOzWykTkRGx45QRYt2Dk,Sanjarpur Masjid snjrpwr msjd,All,https://lh5.googleusercontent.com/p/AF1QipPFsyPtYtlJlHdJQufqJT-y7HUsVNmay7lSswct=w528-h298-k-no
ChIJHfLColuzkTkRS2znSAA0xjQ,Manjeer Patti purani jama masjid,All,https://lh5.googleusercontent.com/p/AF1QipOgGF2z4ADDUoQuExwxnUeuu1pkwf1utEOg8X-A=w224-h398-k-no
ChIJHfLColuzkTkRS2znSAA0xjQ,Manjeer Patti purani jama masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNUQZHB7TWYuOodtHEOrayaZmXvcqzs0XENhYPu=w529-h298-k-no
ChIJpbE8ZL-ykTkRZrEO_6R38ms,Madrasatul Islaah Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOJRdrVge48HZy4WpQq1O1L7J09a7kmoFjuVUij=w397-h298-k-no
ChIJpbE8ZL-ykTkRZrEO_6R38ms,Madrasatul Islaah Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipN2Unl5m8IU9EQUCSH5YA4zFdp6kElFkBhz9U9X=w578-h298-k-no
ChIJpbE8ZL-ykTkRZrEO_6R38ms,Madrasatul Islaah Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipNkO1BdicqZk8v_tlBCfaja4AajXAIcXrjzT3wl=w397-h298-k-no
ChIJUYoCIIiykTkRZMY1pQyy-XA,Jama Masjid Manjeer Patti Saraimeer jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipP74IIwqQ8WHH_2rZyl2nKcM7lvNIHblvsoMqwZ=w397-h298-k-no
ChIJMy51Vi-zkTkR0lBtHXcXAKE,Masjide Raza msjd rD,All,https://lh5.googleusercontent.com/p/AF1QipMtrBLPLuIed8zBjJESMH0aM8SMnMVlTPGvxV4h=w397-h298-k-no
ChIJMy51Vi-zkTkR0lBtHXcXAKE,Masjide Raza msjd rD,Dome,https://lh5.googleusercontent.com/p/AF1QipMdkafcx_E5OP6Ia9mNIJ7vYxue2EfUPKrHIN2P=w397-h298-k-no
ChIJMy51Vi-zkTkR0lBtHXcXAKE,Masjide Raza msjd rD,Videos,https://lh5.googleusercontent.com/p/AF1QipMFF9WNWxs4cAVlSibFUIxPaG85HhsrNAlCpWf9=w529-h298-k-no
ChIJMy51Vi-zkTkR0lBtHXcXAKE,Masjide Raza msjd rD,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6W2e0DdWerO3xTthDIX7AQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=329.06165&pitch=0&thumbfov=100
ChIJ00AAibWzkTkROfM30Dgt2H0,Jama Masjid jm` msjd,All,https://lh5.googleusercontent.com/p/AF1QipMfOfznJPVDl9kDGLDSQSQnGI1xFkKStNySmxMF=w273-h298-k-no
ChIJ00AAibWzkTkROfM30Dgt2H0,Jama Masjid jm` msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipMfOfznJPVDl9kDGLDSQSQnGI1xFkKStNySmxMF=w273-h298-k-no
ChIJ00AAibWzkTkROfM30Dgt2H0,Jama Masjid jm` msjd,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=u9oWgDnKjYABOvo01Fc9MA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=278.10953&pitch=0&thumbfov=100
ChIJHYxnjDazkTkRqnFSV30hmFE,Juma masjid surahin,All,https://lh5.googleusercontent.com/p/AF1QipNsy-xAiSeh2QFcPAiZGxp1yK987b1WUChIF62z=w224-h298-k-no
ChIJHYxnjDazkTkRqnFSV30hmFE,Juma masjid surahin,Videos,https://lh5.googleusercontent.com/p/AF1QipMiSUAEThihWdmkQvUq5xRP04yiYlihuGSmBWbC=w224-h467-k-no
