place_id,place_name,about,link
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMak1D51ms3fAec8Hv85TWzznlDqiSG6WVzH1oo=w447-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNNRpm0-dXpgV9oJsKWwcImDfg9o81awCWu2hlm=w224-h398-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMlxs5wfHk0o905fntq2LudrTJLkjZky0yCrLHV=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,National Boot House,https://lh5.googleusercontent.com/p/AF1QipM5PMl5iJ13XFmdtykdBe9uqqkRj7XNcGjDk_Gd=w529-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipN2U6zM28o9erhatzJ_mJpeLOkFiGCQiEtj0B9g=w274-h298-k-no
ChIJFbKJ3xj9DDkRlp2_KZ42V90,Jama Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPz_Omqh6xT1_brAdCRe0ER_BM8EZGxJGXxUSA=w224-h298-k-no-pi-30.000002-ya291.3302-ro-0-fo100
ChIJuwb2dIP7DDkRLkoOSU8_24w,Masjid Abu bakar R.z Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipO4qQ9FWAPiXFDoc7QSlgZLV0D3LGUW0Q-aO5w=w397-h298-k-no
ChIJUVdmeZ9aDTkRWgw6kRf4RY8,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMzyC85lAABpgcBDkO0RjLDK1ZrvGg_dqGIBaDv=w224-h298-k-no
ChIJUVdmeZ9aDTkRWgw6kRf4RY8,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4Eqx4gb_xGJ9UEsrTwtWQQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=11.686058&pitch=0&thumbfov=100
ChIJUVLGnti5CzkRdSNehh_tzoM,Jama Masjid Baldana Shafipur,All,https://lh5.googleusercontent.com/p/AF1QipMSwgFcZ3xAATwvsd65F3tnmi8GZy49VM1qZfqW=w224-h298-k-no
ChIJUVLGnti5CzkRdSNehh_tzoM,Jama Masjid Baldana Shafipur,By owner,https://lh5.googleusercontent.com/p/AF1QipOBflemW7mIaTNTEfy8x6CJ4DNDO3WZz1pwAxrX=w224-h298-k-no
ChIJhdCGlAxQDTkRKFLqKAwmn_M,Dhaka Basti Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNOPAjikCyRjz68Y1p6-pOl_O3cSXDlmkz2Cpi3=w397-h298-k-no
ChIJhdCGlAxQDTkRKFLqKAwmn_M,Dhaka Basti Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j67gahYVuVxuwR6jmYbD0w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=285.72153&pitch=0&thumbfov=100
ChIJG75V2KjbCjkRsXXHIz3RaBA,Masjid Sharif (Sheikho Bali),All,https://lh5.googleusercontent.com/p/AF1QipMQ6i_wVY02zGTS1LF3Y7Pi5DwiUDX3Fdv8Gyiu=w224-h398-k-no
ChIJG75V2KjbCjkRsXXHIz3RaBA,Masjid Sharif (Sheikho Bali),Dome,https://lh5.googleusercontent.com/p/AF1QipMZVllXPd5ROiiIQlAWeVcmkOwgxZB-hB7kMhqV=w224-h398-k-no
ChIJG75V2KjbCjkRsXXHIz3RaBA,Masjid Sharif (Sheikho Bali),By owner,https://lh5.googleusercontent.com/p/AF1QipOLNOM1iz0a8zad7qQDMDBGqE2h0HUtNYsclx0=w224-h298-k-no
ChIJG75V2KjbCjkRsXXHIz3RaBA,Masjid Sharif (Sheikho Bali),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ee6GHXP4Kuc-F8z8m3boGQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=180.57072&pitch=0&thumbfov=100
ChIJ1felB8pFIjkRo5o6e1ssF_g,Noori Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO0K2aKgjVWX5kAe7E9ovPeEYqhjXr6Ej7dzjo2=w397-h298-k-no
ChIJRej4uJkECzkR9x_DTyylBNY,Lal Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d6Ako7FY2OEuldKqnmnulQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=6.5666866&pitch=0&thumbfov=100
ChIJRej4uJkECzkR9x_DTyylBNY,Lal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d6Ako7FY2OEuldKqnmnulQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=6.5666866&pitch=0&thumbfov=100
ChIJ39ARVLotDTkR1_5e1Lp5qOc,Salamba Eidgah,All,https://lh5.googleusercontent.com/p/AF1QipM3bMS61FVa4xTpqhBealAV-S__lBjx0gt2vfuB=w224-h298-k-no
ChIJ3wvaUyz_DDkRN8oKsMBLWqI,"Badi Masjid ,Pavi",All,https://lh5.googleusercontent.com/p/AF1QipMnUu0MYa10UCzxWtZgFAU1I1HXoZ-uOrq-EqoH=w397-h298-k-no
ChIJ3wvaUyz_DDkRN8oKsMBLWqI,"Badi Masjid ,Pavi",Videos,https://lh5.googleusercontent.com/p/AF1QipOYB5hkX_vxmGAwuyQZ7S4zA7H_5lFE8QSvHxSY=w224-h398-k-no
ChIJsYdb4i4FCzkRsrAEvrImQQU,Haroon Sweets,All,https://lh5.googleusercontent.com/p/AF1QipOma7DiPaIMaXtc2dOWYOczvob0i3owLOFtML_R=w224-h311-k-no
ChIJsYdb4i4FCzkRsrAEvrImQQU,Haroon Sweets,Food & drink,https://lh5.googleusercontent.com/p/AF1QipNr__Vq3vpKo8kBKBvQmm1eEd2zleNLaXeIWzn2=w224-h390-k-no
ChIJsYdb4i4FCzkRsrAEvrImQQU,Haroon Sweets,Videos,https://lh5.googleusercontent.com/p/AF1QipMrefgX30Xqo6muR9nemRYZ-jLCgDai9gxvyHTa=w224-h399-k-no
ChIJsYdb4i4FCzkRsrAEvrImQQU,Haroon Sweets,Vibe,https://lh5.googleusercontent.com/p/AF1QipOAO2EIaUXgCoBta4QlFlbkBMWdoS7rYumwDKQY=w224-h314-k-no
ChIJsYdb4i4FCzkRsrAEvrImQQU,Haroon Sweets,By owner,https://lh5.googleusercontent.com/p/AF1QipPfLK3f3E-14yKZ6LJ0stAqFrwarDmVRP0i6YVe=w224-h298-k-no
