place_id,place_name,about,link
ChIJgZfJEkeXyzsRSDGFVH81pqo,Qutub Shahi Masjid quTub shahiy masjid,All,https://lh5.googleusercontent.com/p/AF1QipMfFLOjfGeXu_FTKcmS2daWC8I21SkYnPXSvWGS=w529-h298-k-no
ChIJgZfJEkeXyzsRSDGFVH81pqo,Qutub Shahi Masjid quTub shahiy masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_VSULsivGJzGZBripOQ9Vg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=295.73242&pitch=0&thumbfov=100
ChIJgZfJEkeXyzsRSDGFVH81pqo,Qutub Shahi Masjid quTub shahiy masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMhBvjH9Ya6QSrWt297T-pnQiERfQGs-C-cJOM4=w529-h298-k-no
ChIJC_ThCw-XyzsR-2VnBox_RuE,Masjid-e-Qutub Shahi (Choti Masjid) masjidWi quTub shahiy,All,https://lh5.googleusercontent.com/p/AF1QipNBt584k6Elw4_6n6depCEIx0VzfS1gJ-xo9LFF=w224-h298-k-no
ChIJC_ThCw-XyzsR-2VnBox_RuE,Masjid-e-Qutub Shahi (Choti Masjid) masjidWi quTub shahiy,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AqReohzgqPdTRxUd43E0lw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=308.843&pitch=0&thumbfov=100
ChIJC_ThCw-XyzsR-2VnBox_RuE,Masjid-e-Qutub Shahi (Choti Masjid) masjidWi quTub shahiy,Videos,https://lh5.googleusercontent.com/p/AF1QipNExaEiTqMvSKF_QDGThiqzTBlzisxRuq3fmVt1=w529-h298-k-no
ChIJkcFHfMNNtjsRHUaYRoOBUFQ,Shahi Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMof0dTFbDPXQQzpHAs28eHXWNI8moEimrHf4Nj=w224-h298-k-no
ChIJkcFHfMNNtjsRHUaYRoOBUFQ,Shahi Jamia Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNmjYk2pDBbmSqhVFYZQuLDX7hM6IBzc7HyUKkw=w397-h298-k-no
ChIJkcFHfMNNtjsRHUaYRoOBUFQ,Shahi Jamia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipO2KIDuLAZubAjYtOIs1tkoR7G3SXP59OM7FxgC=w529-h298-k-no
ChIJkcFHfMNNtjsRHUaYRoOBUFQ,Shahi Jamia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZRaPO680t12dE_7xs9Tk9g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=267.15576&pitch=0&thumbfov=100
ChIJIUQn5RqXyzsR0DkbPyDnLkc,Masjid E Qutub Shahi masjidWi quTWub shahiy,All,https://lh5.googleusercontent.com/p/AF1QipMFSkmGjRzfhmaX6fydmoFLhYpE7X68l09jVvDE=w224-h298-k-no
ChIJIUQn5RqXyzsR0DkbPyDnLkc,Masjid E Qutub Shahi masjidWi quTWub shahiy,Latest,https://lh5.googleusercontent.com/p/AF1QipODQss8CyblrRjZlrm5yJ9Ee8jhhQaR9nDMQTK7=w224-h398-k-no
ChIJIUQn5RqXyzsR0DkbPyDnLkc,Masjid E Qutub Shahi masjidWi quTWub shahiy,Videos,https://lh5.googleusercontent.com/p/AF1QipPgtzAwlNZeQ27B5W93Vd2sGQIStXd0LRy-V9K_=w224-h398-k-no
ChIJIUQn5RqXyzsR0DkbPyDnLkc,Masjid E Qutub Shahi masjidWi quTWub shahiy,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7abLJni9LYV2Oxw5hSkc7w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=98.90927&pitch=0&thumbfov=100
ChIJL7Aoy8yeyzsRpKcLEBVCdJE,Masjid-e-Qutub Shahi,All,https://lh5.googleusercontent.com/p/AF1QipOqQDu-VCE0xoL_sWNLBYCZ2og3TeAAsDdM2bFS=w288-h298-k-no
ChIJL7Aoy8yeyzsRpKcLEBVCdJE,Masjid-e-Qutub Shahi,Dome,https://lh5.googleusercontent.com/p/AF1QipP-h0y2XGSDSIB0-t7nD6k4wZxW44JtKy6676kp=w224-h298-k-no
ChIJL7Aoy8yeyzsRpKcLEBVCdJE,Masjid-e-Qutub Shahi,Videos,https://lh5.googleusercontent.com/p/AF1QipPb2D1pX5Cj8sm0rdJhkc72OFFLaicHmmRDiGY8=w529-h298-k-no
ChIJL7Aoy8yeyzsRpKcLEBVCdJE,Masjid-e-Qutub Shahi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yEiX8GY3snGPtgc7ZoFtvw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=267.7238&pitch=0&thumbfov=100
ChIJ5fEzUEOXyzsRs0sLgQ0pYf4,Qutub Shahi Masjid quTub shahiy masjid,All,https://lh5.googleusercontent.com/p/AF1QipNRgZlJLSMOFDwaxoJB-DxDnT0algym_XAefcDM=w298-h298-k-no
ChIJ5fEzUEOXyzsRs0sLgQ0pYf4,Qutub Shahi Masjid quTub shahiy masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMIbBqhdd0Cqk-wLCmqLb5nvjCcj300LXGeASqD=w224-h393-k-no
ChIJ5fEzUEOXyzsRs0sLgQ0pYf4,Qutub Shahi Masjid quTub shahiy masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMpfuiBdAsSt-ZpG8RbQS6AutEPQPun8bLknEEZ=w662-h298-k-no
ChIJ5fEzUEOXyzsRs0sLgQ0pYf4,Qutub Shahi Masjid quTub shahiy masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNNKiz8gR4C_enQRcAHmAN_jrXrxv_EsJCBF8I_=w224-h298-k-no-pi-10-ya313-ro-0-fo100
ChIJbSByx7KXyzsRNeyLXbjrISo,Jama Masjid Qutub Shahi,All,https://lh5.googleusercontent.com/p/AF1QipOE5qklz6BnZad4y4u-pYGEK7yvBOQRkx3lL5h3=w397-h298-k-no
ChIJbSByx7KXyzsRNeyLXbjrISo,Jama Masjid Qutub Shahi,Dome,https://lh5.googleusercontent.com/p/AF1QipNO3eiE87e59J0cvUOIyRUkyLZkQdZ7U2sEpJE2=w425-h298-k-no
ChIJbSByx7KXyzsRNeyLXbjrISo,Jama Masjid Qutub Shahi,Videos,https://lh5.googleusercontent.com/p/AF1QipPRYnNmejZaTU8NDUQd24ZRzu6SP66SJnFjqsKD=w529-h298-k-no
ChIJbSByx7KXyzsRNeyLXbjrISo,Jama Masjid Qutub Shahi,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NixW9ma02rhRptT7j4YMMg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=307.16324&pitch=0&thumbfov=100
