name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid Tareen Tikli,Mosque,"VWJ6+F3X Masjid Tareen Tikli, Tareen Tikli, Shahjahanpur, Uttar Pradesh 242001",Sadar Bazar,"VWJ6+F3X, Tareen Tikli",Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Tareen+Tikli/data=!4m7!3m6!1s0x399fbcd7d03de441:0x12e45762eb7eab!8m2!3d27.8812434!4d79.910232!16s%2Fg%2F11g6md_m_w!19sChIJQeQ90Ne8nzkRq37rYlfkEgA?authuser=0&hl=en&rclk=1,"27.8812434,79.910232"
Sunehri Masjid,Mosque,"VW86+W4W Sunehri Masjid, near Punjab National Bank, Aligai, Shahjahanpur, Uttar Pradesh 242001",Aligai,"VW86+W4W, near Punjab National Bank",Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Sunehri+Masjid/data=!4m7!3m6!1s0x399fbccfd26d9e97:0xa6f1a1e413314e6a!8m2!3d27.8673691!4d79.9103397!16s%2Fg%2F1tdkf14h!19sChIJl55t0s-8nzkRak4xE-Sh8aY?authuser=0&hl=en&rclk=1,"27.867369099999998,79.9103397"
Masjid Jhanda Kalan,Mosque,"VWH5+PCV Masjid Jhanda Kalan, Kazikhel Rd, Tajukhel, Lal Kothi, Shahjahanpur, Uttar Pradesh 242001","Tajukhel, Shastri Nagar Colony, Lal Kothi","VWH5+PCV, Masjid Jhanda Kalan, Kazikhel Rd",Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Jhanda+Kalan/data=!4m7!3m6!1s0x399fbcd7844567a9:0x6382ca638eb7c450!8m2!3d27.8793719!4d79.9085607!16s%2Fg%2F1hm6ndydl!19sChIJqWdFhNe8nzkRUMS3jmPKgmM?authuser=0&hl=en&rclk=1,"27.8793719,79.9085607"
Peeli Masjid,Mosque,"VWQ4+6CF Peeli Masjid, Lal Kothi, Shahjahanpur, Uttar Pradesh 242001",Lal Kothi,VWQ4+6CF,Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Peeli+Masjid/data=!4m7!3m6!1s0x399fbd25dab60547:0xff473667bf36242a!8m2!3d27.8880624!4d79.9060358!16s%2Fg%2F11fylzbrxy!19sChIJRwW22iW9nzkRKiQ2v2c2R_8?authuser=0&hl=en&rclk=1,"27.8880624,79.9060358"
Jama masjid,Mosque,"XFW2+MJM Jama masjid, Shahjahanpur, Rajasthan 301706",,XFW2+MJM,Shahjahanpur,301706,Rajasthan,IN,https://www.google.com/maps/place/Jama+masjid/data=!4m7!3m6!1s0x396d5522f205b151:0xae30a54b8be6c484!8m2!3d27.9967224!4d76.4515618!16s%2Fg%2F11vk_v1vn9!19sChIJUbEF8iJVbTkRhMTmi0ulMK4?authuser=0&hl=en&rclk=1,"27.9967224,76.4515618"
Kathal Wali Masjid,Mosque,"VWX6+73V Kathal Wali Masjid, Ramnagar Colony, Shahjahanpur, Uttar Pradesh 242001",Ramnagar Colony,VWX6+73V,Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Kathal+Wali+Masjid/data=!4m7!3m6!1s0x399fbd30e5ebeddb:0x32b130b91724e994!8m2!3d27.8982365!4d79.9101687!16s%2Fg%2F11b5pjgmqd!19sChIJ2-3r5TC9nzkRlOkkF7kwsTI?authuser=0&hl=en&rclk=1,"27.8982365,79.9101687"
Mahua wali masjid,Mosque,"VWM3+4C8 Mahua wali masjid, Lal Kothi, Shahjahanpur, Uttar Pradesh 242001",Lal Kothi,VWM3+4C8,Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Mahua+wali+masjid/data=!4m7!3m6!1s0x399fbd27409cc621:0x5bdc501586ddb151!8m2!3d27.8827948!4d79.9035893!16s%2Fg%2F11d_7t_jz7!19sChIJIcacQCe9nzkRUbHdhhVQ3Fs?authuser=0&hl=en&rclk=1,"27.8827948,79.9035893"
Masjid Anta Chauraha Shahjahanpur,Mosque,"VWG7+5RG Masjid Anta Chauraha Shahjahanpur, Anta Chauraha Rd, Ghanta Ghar, Shahjahanpur, Uttar Pradesh 242001",Ghanta Ghar,"VWG7+5RG, Anta Chauraha Rd",Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Anta+Chauraha+Shahjahanpur/data=!4m7!3m6!1s0x399fbcd3eedd0b79:0x92adc3f5a544cb2a!8m2!3d27.8754328!4d79.9145824!16s%2Fg%2F11g02s_s_4!19sChIJeQvd7tO8nzkRKstEpfXDrZI?authuser=0&hl=en&rclk=1,"27.8754328,79.9145824"
Masjid Chowk Aala Khan,Mosque,"VWJ3+4R8 Masjid Chowk Aala Khan, Mohalla Chowk Aala Khan, Opposite Dargah Hazrat Misr Wale Baba(R.A.),, Shahjahanpur, Uttar Pradesh",Lal Kothi,"VWJ3+4R8, Mohalla Chowk Aala Khan, Opposite Dargah Hazrat Misr Wale Baba(R.A.),",Shahjahanpur,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Chowk+Aala+Khan/data=!4m7!3m6!1s0x399fbcd88dfa4275:0xcd4875952e3a7977!8m2!3d27.8802775!4d79.904575!16s%2Fg%2F11bw74c2df!19sChIJdUL6jdi8nzkRd3k6LpV1SM0?authuser=0&hl=en&rclk=1,"27.8802775,79.904575"
Masjid and Shrine of Hazrat Sayyed Saadi Sahab rHm@ llWh t`ly `lyh,Mosque,"Masjid and Shrine of Hazrat Sayyed Saadi Sahab rHm@ llWh t`ly `lyh, Mohalla Mohammad Zai, Shahjahanpur, Uttar Pradesh 242001",Mohalla Mohammad Zai,,Shahjahanpur,242001,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+and+Shrine+of+Hazrat+Sayyed+Saadi+Sahab+%D8%B1%D8%AD%D9%85%DB%83+%D8%A7%D9%84%D9%84%D9%91%D9%B0%DB%81+%D8%AA%D8%B9%D8%A7%D9%84%DB%8C%D9%B0+%D8%B9%D9%84%DB%8C%DB%81%E2%80%AD/data=!4m7!3m6!1s0x399fbcce29d079e3:0x7de04b274efe08f5!8m2!3d27.8702696!4d79.911382!16s%2Fg%2F11ckkr3s6q!19sChIJ43nQKc68nzkR9Qj-TidL4H0?authuser=0&hl=en&rclk=1,"27.8702696,79.911382"
