name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Rajowali Masjid,Mosque,"F825+JVV Rajowali Masjid, near Khatriyan mohlla, Kaka Nagar, Shamli, Uttar Pradesh 247776",Kaka Nagar,"F825+JVV, near Khatriyan mohlla",Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Rajowali+Masjid/data=!4m7!3m6!1s0x390c2eca0b22c3d5:0x318ab5cc20e4a653!8m2!3d29.4516125!4d77.3096583!16s%2Fg%2F11c6cgp3gz!19sChIJ1cMiC8ouDDkRU6bkIMy1ijE?authuser=0&hl=en&rclk=1,"29.4516125,77.3096583"
Ayesha Masjid,Mosque,"C8X6+547 Ayesha Masjid, Shamli, Uttar Pradesh 247776",,C8X6+547,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Ayesha+Masjid/data=!4m7!3m6!1s0x390c2ec8276beed3:0x3d08ca23ec8c7a85!8m2!3d29.4479027!4d77.310285!16s%2Fg%2F11c6f4ls6h!19sChIJ0-5rJ8guDDkRhXqM7CPKCD0?authuser=0&hl=en&rclk=1,"29.4479027,77.310285"
Muhammadi Masjid,Mosque,"C7RX+CH3 Muhammadi Masjid, Shamli, Uttar Pradesh 247776",,C7RX+CH3,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Muhammadi+Masjid/data=!4m7!3m6!1s0x390c2ebad95995cd:0x33054e3203d0f453!8m2!3d29.4410043!4d77.2989345!16s%2Fg%2F11g6y_14nf!19sChIJzZVZ2bouDDkRU_TQAzJOBTM?authuser=0&hl=en&rclk=1,"29.4410043,77.2989345"
Fatehpuri Masjid,Mosque,"F836+677 Fatehpuri Masjid, Pansariyan, Shamli, Uttar Pradesh 247776",Pansariyan,F836+677,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Fatehpuri+Masjid/data=!4m7!3m6!1s0x390c2eca61a5c403:0xbbc1f1a2231911f3!8m2!3d29.4530346!4d77.310666!16s%2Fg%2F11c6mfcgg5!19sChIJA8SlYcouDDkR8xEZI6Lxwbs?authuser=0&hl=en&rclk=1,"29.4530346,77.310666"
Jama Masjid Shamli,Mosque,"C7WX+6WR Jama Masjid Shamli, Gagan Vihar, Shamli, Uttar Pradesh 247776",Gagan Vihar,C7WX+6WR,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Jama+Masjid+Shamli/data=!4m7!3m6!1s0x390c2eb638279f6b:0x1ce5366535093b4a!8m2!3d29.4456136!4d77.2997727!16s%2Fg%2F11c562299z!19sChIJa58nOLYuDDkRSjsJNWU25Rw?authuser=0&hl=en&rclk=1,"29.445613599999998,77.29977269999999"
Makka Masjid,Mosque,"Makka Masjid, Off, Barkhandi Rd, Kaka Nagar, Shamli, Uttar Pradesh 247776",Kaka Nagar,"Off, Barkhandi Rd",Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Makka+Masjid/data=!4m7!3m6!1s0x390c2eb457daf9f9:0x4bc1b8148db662cd!8m2!3d29.4527067!4d77.3060187!16s%2Fg%2F11g6bqpfc6!19sChIJ-fnaV7QuDDkRzWK2jRS4wUs?authuser=0&hl=en&rclk=1,"29.4527067,77.3060187"
Shahi Masjid,Mosque,"C8X5+9FR Shahi Masjid, Shamli, Uttar Pradesh 247776",,C8X5+9FR,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Shahi+Masjid/data=!4m7!3m6!1s0x390c2eb63ce392e9:0x2f3b2ee2541edcdc!8m2!3d29.4484789!4d77.3086312!16s%2Fg%2F11c1s1txnk!19sChIJ6ZLjPLYuDDkR3NweVOIuOy8?authuser=0&hl=en&rclk=1,"29.448478899999998,77.3086312"
masjid Eidgah wali,Mosque,"C8W2+8PW masjid Eidgah wali, Shamli, Uttar Pradesh 247776",,C8W2+8PW,Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/masjid+Eidgah+wali/data=!4m7!3m6!1s0x390c2eb0ef850c0b:0xb3205c8fc082a37c!8m2!3d29.4458514!4d77.3018251!16s%2Fg%2F11c30xklpd!19sChIJCwyF77AuDDkRfKOCwI9cILM?authuser=0&hl=en&rclk=1,"29.4458514,77.3018251"
Hindi wali masjid,Mosque,"C8X6+542 Hindi wali masjid, Naya Bazar Rd, Shamli, Uttar Pradesh 247776",,"C8X6+542, Naya Bazar Rd",Shamli,247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Hindi+wali+masjid/data=!4m7!3m6!1s0x390c2ec9ce485049:0xe8ec5a9895304cd0!8m2!3d29.4478998!4d77.3102695!16s%2Fg%2F11gf9qrxnl!19sChIJSVBIzskuDDkR0EwwlZha7Og?authuser=0&hl=en&rclk=1,"29.4478998,77.31026949999999"
Masjid Madrse wali,Mosque,"C8V3+QC7 Masjid Madrse wali, Unnamed Road, Shamli Rural, Shamli, Uttar Pradesh 247776",,"C8V3+QC7, Unnamed Road","Shamli Rural, Shamli",247776,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Madrse+wali/data=!4m7!3m6!1s0x390c2eb0acf78fc5:0xf5f1c9c135a28fe7!8m2!3d29.4444155!4d77.3035514!16s%2Fg%2F11gdyxy9nj!19sChIJxY_3rLAuDDkR54-iNcHJ8fU?authuser=0&hl=en&rclk=1,"29.444415499999998,77.3035514"
