name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
ansaryaan masjid,Mosque,"M929+3MV ansaryaan masjid, Shergarh, Uttar Pradesh 243505",,M929+3MV,Shergarh,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/ansaryaan+masjid/data=!4m7!3m6!1s0x390a9fdd5493fa53:0x3fbf16a6ef7fc823!8m2!3d28.6502262!4d79.3691794!16s%2Fg%2F11g69zrsf0!19sChIJU_qTVN2fCjkRI8h_76YWvz8?authuser=0&hl=en&rclk=1,"28.6502262,79.3691794"
Shishgarh Tiles & Marble Shishgarh,Mosque,"Shishgarh Tiles & Marble Shishgarh, Bus Stand, Near Simnani Masjid Bilaspur, Shishgarh, Uttar Pradesh 243505",,"Bus Stand, Near Simnani Masjid Bilaspur",Shishgarh,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Shishgarh+Tiles+%26+Marble+Shishgarh/data=!4m7!3m6!1s0x390a9d955cf4f02b:0x18a932690675a5c!8m2!3d28.7356602!4d79.3172358!16s%2Fg%2F11hz_2mpw4!19sChIJK_D0XJWdCjkRXFpnkCaTigE?authuser=0&hl=en&rclk=1,"28.735660199999998,79.31723579999999"
Simnani masjid athari,Mosque,"P8M8+QCM Simnani masjid athari, P8M8+QC9Shishgarh, Shishgarh, Uttar Pradesh 244921",,P8M8+QCM,"P8M8+QC9Shishgarh, Shishgarh",244921,Uttar Pradesh,IN,https://www.google.com/maps/place/Simnani+masjid+athari/data=!4m7!3m6!1s0x390a9d2940eb528f:0xd2321a08f62f3a48!8m2!3d28.7344578!4d79.316059!16s%2Fg%2F11l5jwy2vf!19sChIJj1LrQCmdCjkRSDov9ggaMtI?authuser=0&hl=en&rclk=1,"28.734457799999998,79.316059"
Choti Masjid,Dharamshala,"P8J7+C78 Choti Masjid, Shishgarh, Uttar Pradesh 244921",,P8J7+C78,Shishgarh,,Uttar Pradesh,IN,https://www.google.com/maps/place/Choti+Masjid/data=!4m7!3m6!1s0x390a9d9c3eb20e39:0xe79bcd885665c364!8m2!3d28.7310319!4d79.3132129!16s%2Fg%2F11ghpc8q2s!19sChIJOQ6yPpydCjkRZMNlVojNm-c?authuser=0&hl=en&rclk=1,"28.731031899999998,79.3132129"
Shahi Masjid,Religious destination,"P8H8+HJW Shahi Masjid, Mohalla Agwara, Shishgarh, Uttar Pradesh 243505",Mohalla Agwara,P8H8+HJW,Shishgarh,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Shahi+Masjid/data=!4m7!3m6!1s0x390a9d66697a8bbd:0xb3de24958f01d95d!8m2!3d28.7289964!4d79.3165712!16s%2Fg%2F11v3tbyfr3!19sChIJvYt6aWadCjkRXdkBj5Uk3rM?authuser=0&hl=en&rclk=1,"28.7289964,79.3165712"
Madina masjid shekhupura,Mosque,"P8H8+P68 Madina masjid shekhupura, Shishgarh, Uttar Pradesh 243505",,P8H8+P68,Shishgarh,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Madina+masjid+shekhupura/data=!4m7!3m6!1s0x390a9da379c7cf29:0x8ca3974ca8ce841c!8m2!3d28.7292998!4d79.3155872!16s%2Fg%2F11vdlz80jm!19sChIJKc_HeaOdCjkRHITOqEyXo4w?authuser=0&hl=en&rclk=1,"28.7292998,79.3155872"
Goudi,Mosque,"P8H8+P68 Goudi, Shishgarh, Uttar Pradesh 244921",,P8H8+P68,Shishgarh,,Uttar Pradesh,IN,https://www.google.com/maps/place/Goudi/data=!4m7!3m6!1s0x390a9de8125e56ab:0xde3a0a5530824675!8m2!3d28.7292964!4d79.3155932!16s%2Fg%2F11s91rdmjz!19sChIJq1ZeEuidCjkRdUaCMFUKOt4?authuser=0&hl=en&rclk=1,"28.7292964,79.3155932"
Huzoor tajushshariya masjid,Mosque,"J8WW+QF4 Huzoor tajushshariya masjid, Salehpur Mujahidpur, Uttar Pradesh 243505",,J8WW+QF4,Salehpur Mujahidpur,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Huzoor+tajushshariya+masjid/data=!4m7!3m6!1s0x390a9fb33f81a3ab:0x2823689292a335de!8m2!3d28.6468758!4d79.346189!16s%2Fg%2F11vdzrq5w0!19sChIJq6OBP7OfCjkR3jWjkpJoIyg?authuser=0&hl=en&rclk=1,"28.6468758,79.346189"
Noori masjid,Place of worship,"M7WW+7MM Noori masjid, Sheeshgarh Dhaneta Rd, Bunchi, Uttar Pradesh 243505",,"M7WW+7MM, Sheeshgarh Dhaneta Rd",Bunchi,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Noori+masjid/data=!4m7!3m6!1s0x390a9fb449c234fb:0x6247f3c185a923ec!8m2!3d28.6957044!4d79.2966707!16s%2Fg%2F11nn2jwvc7!19sChIJ-zTCSbSfCjkR7COphcHzR2I?authuser=0&hl=en&rclk=1,"28.6957044,79.29667069999999"
Shishgrah near noori masjid bus stand shishghar Bareilly,Home Stay,"Shishgrah near noori masjid bus stand shishghar Bareilly, Mohalla takya, near noori masjid, Shishgarh, Uttar Pradesh 243505",,"Mohalla takya, near noori masjid",Shishgarh,243505,Uttar Pradesh,IN,https://www.google.com/maps/place/Shishgrah+near+noori+masjid+bus+stand+shishghar+Bareilly/data=!4m7!3m6!1s0x390a9d79baee2c7f:0xfb55154ec60c2b7d!8m2!3d28.7328125!4d79.3151875!16s%2Fg%2F11s3jsd0gp!19sChIJfyzuunmdCjkRfSsMxk4VVfs?authuser=0&hl=en&rclk=1,"28.732812499999998,79.3151875"
