place_id,place_name,about,link
ChIJGfMwO6vEpzsRlkgsqILIAtA,SHORNUR TOWN JUMA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOt6ckZRI6hBLKnkEvW3Xt4sxeO9rQ2SiejQMFh=w224-h299-k-no
ChIJGfMwO6vEpzsRlkgsqILIAtA,SHORNUR TOWN JUMA MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gzKMnysSag3gOIAmLna1VQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=296.36523&pitch=0&thumbfov=100
ChIJcyt-1qrcpzsRN6rS3Y3Uih4,Shornur Masjid (Railway JN),All,https://lh5.googleusercontent.com/p/AF1QipNzGDiy4q0Eh8w3dpOJlDpiGlymE-zK2yQqBAnT=w224-h298-k-no
ChIJcyt-1qrcpzsRN6rS3Y3Uih4,Shornur Masjid (Railway JN),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ed6Ulwo36zT-tF2S8QGxyQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.93147&pitch=0&thumbfov=100
ChIJG-V4QavcpzsRlyvWVmO_9aQ,Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMrXJjH706S1vw0TOkYid5WcfDu3dQrYE69cyk=w224-h398-k-no
ChIJG-V4QavcpzsRlyvWVmO_9aQ,Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNh0DGuKQfWAZJcH1_HbyD2slZfoQQQw7Zp9doI=w397-h298-k-no
ChIJG-V4QavcpzsRlyvWVmO_9aQ,Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TwDyV7Mr0LouC7VFfQ-JxQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.45099&pitch=0&thumbfov=100
ChIJy1sHUqHEpzsRJf6ct0C6P_Q,Masjid Paruthipra. Shoranur,All,https://lh5.googleusercontent.com/p/AF1QipNVbjCjzP6nfeKS0cQUT0ihYmHbOuKZfqgVLT4F=w364-h298-k-no
ChIJy1sHUqHEpzsRJf6ct0C6P_Q,Masjid Paruthipra. Shoranur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xbf4SCacewEFXmg0kEcyxw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=109.94122&pitch=0&thumbfov=100
ChIJy1sHUqHEpzsRJf6ct0C6P_Q,Masjid Paruthipra. Shoranur,Videos,https://lh5.googleusercontent.com/p/AF1QipNShEPWohkabi-QrLHCR84yjhlN5Cell8Ly9dWg=w224-h398-k-no
ChIJAQAAAKzEpzsRAGj7LCzqekA,Poiloor Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNux2GCf2rcVaE6QJb9EVtZfPHM-iUrdyKnsNsV=w529-h298-k-no
ChIJAQAAAKzEpzsRAGj7LCzqekA,Poiloor Juma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPggLU74-o6bDU0N3NCIK8-GKnhvFk2kVxb1DSf=w224-h398-k-no
ChIJZeVYG4fbpzsRQK-skue4Lpc,KMM Juma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOqN4wwZED1zA9t-tIw3CHWrUUd-UV7q2SKe64=w662-h298-k-no
ChIJZeVYG4fbpzsRQK-skue4Lpc,KMM Juma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DvaE45N4hPjys32pppNTiA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=320.5388&pitch=0&thumbfov=100
ChIJZeVYG4fbpzsRQK-skue4Lpc,KMM Juma Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPiVgdNuheQtwrnl1gOIoZZ39HCIhPryBF3sVk=w224-h395-k-no
