place_id,place_name,about,link
ChIJUe5JAQr5sTsRSF9IRwN_uQ4,"Markaz-e- Ahle Sunnath Wal Jamath Jamia Masjid,",All,https://lh5.googleusercontent.com/p/AF1QipPkrDa9UvjUUE4SqbSkUw3evfwQlo6Kp8wuFJ0M=w401-h298-k-no
ChIJUe5JAQr5sTsRSF9IRwN_uQ4,"Markaz-e- Ahle Sunnath Wal Jamath Jamia Masjid,",By owner,https://lh5.googleusercontent.com/p/AF1QipN1Uy4RYFLEOXleEq1eUiZRIY8eyABAKdUAtEeb=w224-h302-k-no
ChIJUe5JAQr5sTsRSF9IRwN_uQ4,"Markaz-e- Ahle Sunnath Wal Jamath Jamia Masjid,",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uYuGxl8YyTw3fr0ZLZcB4w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=208.34373&pitch=0&thumbfov=100
ChIJp0GdQqP5sTsRxYlWFOoU7ss,AAMIRI MASJID,All,https://lh5.googleusercontent.com/p/AF1QipOECENyKyCrVM6yGuldIqe6RnynBmCpCUccmuOd=w498-h298-k-no
ChIJp0GdQqP5sTsRxYlWFOoU7ss,AAMIRI MASJID,By owner,https://lh5.googleusercontent.com/p/AF1QipMNWsZ_ckfr34EIau_L-r68KBBZv5Yhty_HvWlF=w224-h398-k-no
ChIJp0GdQqP5sTsRxYlWFOoU7ss,AAMIRI MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipNZq2nZ8qTrhf6Vzu-v20l5dDromKZ0WGM_J-GW=w224-h398-k-no
ChIJp0GdQqP5sTsRxYlWFOoU7ss,AAMIRI MASJID,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T8mtxhk9P-DGCyBo6PPdDA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=71.23793&pitch=0&thumbfov=100
ChIJHzM0IKP5sTsR_OxPIMn4_CY,Ameer Baba Dargha,All,https://lh5.googleusercontent.com/p/AF1QipN3kQfwE4_WcZHwkKJLKmGyIEdCrxuD37y2AqbQ=w661-h298-k-no
ChIJHzM0IKP5sTsR_OxPIMn4_CY,Ameer Baba Dargha,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=aoOzQlk70h2tSdD4_it-rw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=151.36472&pitch=0&thumbfov=100
ChIJHzM0IKP5sTsR_OxPIMn4_CY,Ameer Baba Dargha,Videos,https://lh5.googleusercontent.com/p/AF1QipOeKni46TimIETDqUOVjLRESJ6zOnUl9i-J3abE=w529-h298-k-no
ChIJq6qq6qT5sTsRON7PkcNa77Y,Ansariya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOpk8fqQbXPXRgrx49-aLDMEtHldqKP0lP_TWPD=w397-h298-k-no
ChIJq6qq6qT5sTsRON7PkcNa77Y,Ansariya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9SICj3IFayzsqDNkUcMhgA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=88.408455&pitch=0&thumbfov=100
ChIJq6qq6qT5sTsRON7PkcNa77Y,Ansariya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNdvIZnDKFnR3whFSKyEJYEVvuEC7Fx7y1Sks8u=w298-h298-k-no
ChIJq1zvDqT5sTsRUJ5rFlcpzdw,MASJID E BILLAL,All,https://lh5.googleusercontent.com/p/AF1QipOc4m7ml9jm5qfHohamkTxANEAFBdVuCFKb9m7J=w529-h298-k-no
ChIJq1zvDqT5sTsRUJ5rFlcpzdw,MASJID E BILLAL,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VrxL1_6yDRUlhRGcUISQzA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=125.36121&pitch=0&thumbfov=100
ChIJV-EdjZ_5sTsRLqbLaQTe3TM,EIDGAH (FORT),All,https://lh5.googleusercontent.com/p/AF1QipNsBBJ-ukEjJOgjhth5ckW805Nkv8I9ItFkJrFM=w224-h398-k-no
ChIJ-2gpjqD5sTsR11bKiInTXg4,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP2TlEcwzgJUvGlpndRb9HHjb_TwPRISLj7KfZ5=w397-h298-k-no
ChIJ-2gpjqD5sTsR11bKiInTXg4,Madina Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOV4s-wQhGlSC-ravzQpAfXJq70T_2wwKOltQQC=w224-h331-k-no
ChIJ-2gpjqD5sTsR11bKiInTXg4,Madina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7vy82q16EkxQ_YW848b3mw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.5091&pitch=0&thumbfov=100
ChIJK84w9KT5sTsR4AHF7aIh4x4,Ghausia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMGGuz2sCAadwAHjKYzzB32cPVPi7eTrU6k9ROK=w239-h298-k-no
ChIJK84w9KT5sTsR4AHF7aIh4x4,Ghausia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipM62lQxFo_U1L3YxIqRl4ODjhMN4u28qpwSQPyK=w224-h398-k-no
ChIJOcKAy6L5sTsR8lbw9spH2t0,"Masjid-e-Elahi,",All,https://lh5.googleusercontent.com/p/AF1QipNVjIDWUNU2blOWamp9w1RAEkKmv586WZpREGLA=w347-h298-k-no
ChIJOcKAy6L5sTsR8lbw9spH2t0,"Masjid-e-Elahi,",Videos,https://lh5.googleusercontent.com/p/AF1QipPlg2sYkESa_PxxoW990buoofZqdA29pj0L8p-x=w529-h298-k-no
ChIJP9Y9uLz5sTsRkWgl7ObIX4Y,Masjid e Firdous,All,https://lh5.googleusercontent.com/p/AF1QipMwCcBnPCR0Zy6nmf47wkAIV6PE1z6226SthXfp=w397-h298-k-no
ChIJP9Y9uLz5sTsRkWgl7ObIX4Y,Masjid e Firdous,Dome,https://lh5.googleusercontent.com/p/AF1QipPsN6AzpUT2r_knftHubOlKpjt0twZOFZdE6SC9=w518-h298-k-no
ChIJP9Y9uLz5sTsRkWgl7ObIX4Y,Masjid e Firdous,Videos,https://lh5.googleusercontent.com/p/AF1QipPsN6AzpUT2r_knftHubOlKpjt0twZOFZdE6SC9=w518-h298-k-no
ChIJP9Y9uLz5sTsRkWgl7ObIX4Y,Masjid e Firdous,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kj9tTD2XxK5ik7SwHKbR4Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=35.736614&pitch=0&thumbfov=100
