place_id,place_name,about,link
ChIJgbhZRDwYVzkRN3NRMh9C6Mc,Jumma Masjid (Sunni Muslim Wagher Jammat) Sikka,All,https://lh5.googleusercontent.com/p/AF1QipP73MXJ6I2GILsGAoaxEvWZt5TKuT3oeiW-_s4A=w224-h298-k-no
ChIJgbhZRDwYVzkRN3NRMh9C6Mc,Jumma Masjid (Sunni Muslim Wagher Jammat) Sikka,Dome,https://lh5.googleusercontent.com/p/AF1QipOcOIi71nHetOE9OO4qZsjtCZdOmMHFbTVyVzZW=w224-h300-k-no
ChIJv-R30hUYVzkRtDkb3f07qqU,Madina Masjid Sikka Sarmat,All,https://lh5.googleusercontent.com/p/AF1QipOqxFZ4o5MTJr1gMRw95cz1wQbdrwrCQ9YA3zNS=w397-h298-k-no
ChIJv-R30hUYVzkRtDkb3f07qqU,Madina Masjid Sikka Sarmat,Dome,https://lh5.googleusercontent.com/p/AF1QipOgJsP7USdVH5_-Z1fazB8r4G41kwQpabwNIoFn=w224-h298-k-no
ChIJv-R30hUYVzkRtDkb3f07qqU,Madina Masjid Sikka Sarmat,Videos,https://lh5.googleusercontent.com/p/AF1QipPjwnticuUYrXQz7DgfYosqlU79kF9NZMu2VOCr=w224-h398-k-no
ChIJRQWCwz4YVzkRp_yvLg34bUo,Makka Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNAjg3RWEah6xfIDm-r3WNQ5NcUYjviLDg_qVio=w529-h298-k-no
ChIJRQWCwz4YVzkRp_yvLg34bUo,Makka Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPtpyGUEMpf_Jnrc1YmfBU3FahvCyCAcHSYQdMz=w529-h298-k-no
ChIJRQWCwz4YVzkRp_yvLg34bUo,Makka Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=dMZZ4664wp800Tj2gCGf9Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=290.8283&pitch=0&thumbfov=100
ChIJu1SwEzwYVzkRooRYVAFjLH0,Eid Masjid (Idd Gah) Sunni Muslim Wagher Jamat Sikka,All,https://lh5.googleusercontent.com/p/AF1QipO_FjnG7rrDBdb491jEv-tJy6Ui3drm90KmXkrL=w224-h398-k-no
ChIJu1SwEzwYVzkRooRYVAFjLH0,Eid Masjid (Idd Gah) Sunni Muslim Wagher Jamat Sikka,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uclMidu26WheCMqxg2eWEA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=142.28235&pitch=0&thumbfov=100
ChIJu1SwEzwYVzkRooRYVAFjLH0,Eid Masjid (Idd Gah) Sunni Muslim Wagher Jamat Sikka,Videos,https://lh5.googleusercontent.com/p/AF1QipO_FjnG7rrDBdb491jEv-tJy6Ui3drm90KmXkrL=w224-h398-k-no
ChIJIU354HkpDDkRf_zGksqpn_s,Masjid Sikka,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JeQJTdVt5977I9tXqCV9DQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=113.38501&pitch=0&thumbfov=100
ChIJIU354HkpDDkRf_zGksqpn_s,Masjid Sikka,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JeQJTdVt5977I9tXqCV9DQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=113.38501&pitch=0&thumbfov=100
ChIJsW-UjtV3ATsRIivBjmGDWf8,Sikkal Jummah masjid,All,https://lh5.googleusercontent.com/p/AF1QipNtgnt2-zeiePEqr_l0lCR8-jTIG_-vbXbdxF53=w297-h298-k-no
ChIJsW-UjtV3ATsRIivBjmGDWf8,Sikkal Jummah masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPEgFxffho2NkmUwscWHwpQphF7QG-K5mpu1Ngp=w224-h336-k-no
ChIJsW-UjtV3ATsRIivBjmGDWf8,Sikkal Jummah masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=z1VSGaj7T2oVXJNHzWpXfQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=145.43542&pitch=0&thumbfov=100
