place_id,place_name,about,link
ChIJA2i7oY7N2zsRHSltVAg2yv8,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNTC1Hnl6eGQwVyQmUHS2XLcVLTOvZqjzOrZBnv=w298-h298-k-no
ChIJA2i7oY7N2zsRHSltVAg2yv8,Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOeoPRqNFf8IGJUnvOqnu8GyHbbMvGPpBIoI-F1=w224-h485-k-no
ChIJA2i7oY7N2zsRHSltVAg2yv8,Jama Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8O5eCyBH4E34PgRer8WRDQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=8.782335&pitch=0&thumbfov=100
ChIJfUaPqpPN2zsRwFYtkrHqR9c,Azizia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPOXdEUSgWdvgQuHvMKo-YcPpUS5v_fqC1gm3a0=w224-h472-k-no
ChIJfUaPqpPN2zsRwFYtkrHqR9c,Azizia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=msKwVAPlmckxZCtMcuZJnQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=334.99948&pitch=0&thumbfov=100
ChIJX27R-YfN2zsRxmaZzbkziUc,Bilal Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPBjiVxXJ235q_OZgAD3NY-OWMDNcNCCBkXZ3xE=w529-h298-k-no
ChIJX27R-YfN2zsRxmaZzbkziUc,Bilal Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipP6nOOH2uMQZAahA0Xq-oA7U6q5JYlMJHnw9TSw=w529-h298-k-no
ChIJX27R-YfN2zsRxmaZzbkziUc,Bilal Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=T_gOr3bv6JBgGETp1ZyDCA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=193.63657&pitch=0&thumbfov=100
ChIJDRWwV47N2zsR4GT9CHr2yxA,Amina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP6MmrCxi4UJYc7tbnXeBpC1MYwNNbRZRbsosDI=w224-h298-k-no
ChIJDRWwV47N2zsR4GT9CHr2yxA,Amina Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tBQ7SDQVk-U2QH7InW5JOg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=170.10243&pitch=0&thumbfov=100
ChIJRTRBh47N2zsR6m1tPt6aqLU,Abdul Samad Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO3slEl3IS_oO5PV1Vgf9VtQuH1xH8J3sMEcV6H=w272-h298-k-no
ChIJRTRBh47N2zsR6m1tPt6aqLU,Abdul Samad Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipNGRx9YF3w28JHxTSS_8aFrWeZkIVok7FmjI-mZ=w224-h298-k-no
