place_id,place_name,about,link
ChIJMwnVtly8tzsRIyshgttdDfQ,Gousia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMcjKmq8c5wT-EpF17RsgLa3m0rN0iHsFYPYk4C=w238-h298-k-no
ChIJMwnVtly8tzsRIyshgttdDfQ,Gousia Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eaP4S-bHtXsHRr4s-HPcPw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=69.6253&pitch=0&thumbfov=100
ChIJMwnVtly8tzsRIyshgttdDfQ,Gousia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOHqNvVp3sJyPrcwL7Q9m70t2P1zf8zaXuUS3Y=w529-h298-k-no
ChIJ-Zo6JEG8tzsRzvqzsMA5C5c,Haji Masjid(Sunni),All,https://lh5.googleusercontent.com/p/AF1QipNg1kNbS-LvzflBZRT6NVR8vffDQGkwWDTHk61J=w397-h298-k-no
ChIJ-Zo6JEG8tzsRzvqzsMA5C5c,Haji Masjid(Sunni),Videos,https://lh5.googleusercontent.com/p/AF1QipNNwcXqGl1rcfWZgFaFQ96p5iPYoKBmFRPeBytL=w224-h459-k-no
ChIJNWq4zEC8tzsRzrTG-3NdwaM,Sunni Jamiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNAasGdRT_rIQg3V1qKDxXXwjIvBQnUDNvBRVAz=w224-h398-k-no
ChIJNWq4zEC8tzsRzrTG-3NdwaM,Sunni Jamiya Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNZfrA7xwSJLeeWfdTBAvxjvH6PtV9QRCWh69BI=w432-h298-k-no
ChIJNWq4zEC8tzsRzrTG-3NdwaM,Sunni Jamiya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SBYaPCKadFYHXFELVrDnfg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=101.63537&pitch=0&thumbfov=100
ChIJ3d3ywUC8tzsRZlmXNJIXsoc,Vallur Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO6FWy64tbO-OrIuJNTeoe852aaND4u5_y4PL7c=w224-h298-k-no
ChIJ3d3ywUC8tzsRZlmXNJIXsoc,Vallur Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipO2dChPFqqZYhOj-R0Dj2fegzN4GHofeGRm1k6Z=w397-h298-k-no
ChIJ3d3ywUC8tzsRZlmXNJIXsoc,Vallur Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gWykaXIGMlddN8b25c4Y6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=112.89917&pitch=0&thumbfov=100
ChIJwUdszEa8tzsRzGnNNfbQM0Q,Sowdagar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMm0iHthyOAnMaQPjCvTSAPDqowhlVhoZ9L3K4b=w288-h298-k-no
ChIJwUdszEa8tzsRzGnNNfbQM0Q,Sowdagar Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S8B062ApjcdkgU25vDguSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=247.1692&pitch=0&thumbfov=100
ChIJPaYwjmm8tzsR5Xv9d43NmDA,Masjid E Nizamia,All,https://lh5.googleusercontent.com/p/AF1QipO5wTbH-Vh6lRPwQ6c6LyyhBoonazSkdd1ps3tv=w397-h298-k-no
ChIJPaYwjmm8tzsR5Xv9d43NmDA,Masjid E Nizamia,Dome,https://lh5.googleusercontent.com/p/AF1QipO5wTbH-Vh6lRPwQ6c6LyyhBoonazSkdd1ps3tv=w397-h298-k-no
ChIJseLfUTa9tzsRtcEH49l4Tp4,Madrasa E Madina and Masjid (Ahle Hadees),All,https://lh5.googleusercontent.com/p/AF1QipMAvt_NUH2RiQRsKouZqMnjfaSZOjcSdlDzlBOr=w541-h298-k-no
ChIJseLfUTa9tzsRtcEH49l4Tp4,Madrasa E Madina and Masjid (Ahle Hadees),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DSiYrmokf12WOjfkfPBTww&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=162.33647&pitch=0&thumbfov=100
ChIJvfdRwhK9tzsRqckSFvEBPNM,Sunni Bibi Hazara Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNwxuMNuAvQLVFI3VD0ls1JHI0VjGakPeGFJz1c=w529-h298-k-no
ChIJqWpgRCG9tzsRqy-aLreE93E,Madina Masjid (Markaz),All,https://lh5.googleusercontent.com/p/AF1QipO6KN3QlxtB8Ym-KQ9ixWscGezufM8nClesThWB=w528-h298-k-no
