name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
MASJID,Mosque,"MASJID, Wz 173a/1 new ranjeet nagar, Guru Nanak Nagar, Shadipur, Delhi 110008","Guru Nanak Nagar, Shadipur",Wz 173a/1 new ranjeet nagar,New Delhi,110008,Delhi,IN,https://www.google.com/maps/place/MASJID/data=!4m7!3m6!1s0x390d0327bb6f6129:0xe8342be2eca63326!8m2!3d28.6456917!4d77.1597324!16s%2Fg%2F11h5lkhmc2!19sChIJKWFvuycDDTkRJjOm7OIrNOg?authuser=0&hl=en&rclk=1,"28.6456917,77.1597324"
munawwara mosque mszid,Mosque,"P2R7+29V munawwara mosque mszid, Udhan Pana, Delhi, 110081",Udhan Pana,P2R7+29V,Delhi,110081,Delhi,IN,https://www.google.com/maps/place/munawwara+mosque+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A5%9B%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x390d062b20d9544b:0xad5b1d0f78254db2!8m2!3d28.7401215!4d77.0134225!16s%2Fg%2F11hbqv4v8t!19sChIJS1TZICsGDTkRsk0leA8dW60?authuser=0&hl=en&rclk=1,"28.740121499999997,77.01342249999999"
Siroor Masjid,Mosque,"VQMF+MMV Siroor Masjid, Shapur, Telangana 502257",,VQMF+MMV,Shapur,502257,Telangana,IN,https://www.google.com/maps/place/Siroor+Masjid/data=!4m7!3m6!1s0x3bcea54ce7f9aaad:0x7d039d15d8b59e32!8m2!3d17.8842434!4d77.7741715!16s%2Fg%2F11f62s2ttd!19sChIJrar550ylzjsRMp612BWdA30?authuser=0&hl=en&rclk=1,"17.8842434,77.7741715"
Jamia Masjid,Mosque,"Jamia Masjid, MEERAN, Meeran St, Shiroor, Karnataka 576228",,"Jamia Masjid, MEERAN, Meeran St",Shiroor,576228,Karnataka,IN,https://www.google.com/maps/place/Jamia+Masjid/data=!4m7!3m6!1s0x3bbc6760557f6809:0xb980e06052127620!8m2!3d13.9081666!4d74.5961514!16s%2Fg%2F11xt9jjwh!19sChIJCWh_VWBnvDsRIHYSUmDggLk?authuser=0&hl=en&rclk=1,"13.9081666,74.5961514"
Masjid Sarbhanna,Mosque,"Masjid Sarbhanna, Sarbhanna, Uttar Pradesh 203397",,,Sarbhanna,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Sarbhanna/data=!4m7!3m6!1s0x3974ad7dcb4d7bd7:0x72f6b9c2a6cf1232!8m2!3d28.113697!4d78.107986!16s%2Fg%2F1hhj5wq08!19sChIJ13tNy32tdDkRMhLPpsK59nI?authuser=0&hl=en&rclk=1,"28.113697,78.107986"
sayyadnagar masjid shirur,Mosque,"sayyadnagar masjid shirur, sayyadnagar., shirt, tal, Takali Haji, Shirur, Maharashtra 412210",Takali Haji,"sayyadnagar., shirt, tal",Shirur,,Maharashtra,IN,https://www.google.com/maps/place/sayyadnagar+masjid+shirur/data=!4m7!3m6!1s0x3bc32df35441d137:0x37a9a00740d61b9b!8m2!3d18.8298102!4d74.3691757!16s%2Fg%2F11fd6d8k_l!19sChIJN9FBVPMtwzsRmxvWQAegqTc?authuser=0&hl=en&rclk=1,"18.8298102,74.3691757"
Mohammadiya Masjid,Mosque,"JXJC+2F6 Mohammadiya Masjid, Sirur Tajband, Maharashtra 413514",,JXJC+2F6,Sirur Tajband,413514,Maharashtra,IN,https://www.google.com/maps/place/Mohammadiya+Masjid/data=!4m7!3m6!1s0x3bcfba294b7c36c7:0x8233e553dc6d8413!8m2!3d18.6300413!4d76.9711553!16s%2Fg%2F11fzzbx947!19sChIJxzZ8Sym6zzsRE4Rt3FPlM4I?authuser=0&hl=en&rclk=1,"18.6300413,76.97115529999999"
Masjid-e-Sidique,Mosque,"Masjid-e-Sidique, 192121",,,,,,,https://www.google.com/maps/place/Masjid-e-Sidique/data=!4m7!3m6!1s0x38e18a1724c5b8a1:0x58b4d4e46dacc4a8!8m2!3d34.0043568!4d74.9491274!16s%2Fg%2F11h1d9dby!19sChIJobjFJBeK4TgRqMSsbeTUtFg?authuser=0&hl=en&rclk=1,"34.0043568,74.9491274"
"Jama-e-Masjid, Pet Sirur",Mosque,"6X8W+GWP Jama-e-Masjid, Pet Sirur, Pet sirur, Karnataka 585317",,6X8W+GWP,Pet sirur,585317,Karnataka,IN,"https://www.google.com/maps/place/Jama-e-Masjid,+Pet+Sirur/data=!4m7!3m6!1s0x3bc8e91c5e099bbb:0x43059be495fd9f12!8m2!3d17.2163371!4d76.9973255!16s%2Fg%2F11lt34b_vz!19sChIJu5sJXhzpyDsREp_9leSbBUM?authuser=0&hl=en&rclk=1","17.2163371,76.9973255"
Masjid Shirur,Mosque,"2JQR+3R6 Masjid Shirur, Hagedal, Karnataka 591122",,2JQR+3R6,Hagedal,,Karnataka,IN,https://www.google.com/maps/place/Masjid+Shirur/data=!4m7!3m6!1s0x3bc0a1098911ff2d:0x86a42b104f1ab6eb!8m2!3d16.0376656!4d74.6420002!16s%2Fg%2F11gf624062!19sChIJLf8RiQmhwDsR67YaTxArpIY?authuser=0&hl=en&rclk=1,"16.0376656,74.6420002"
Jama Masjid,Mosque,"JXJC+Q4C Jama Masjid, Sirur Tajband, Maharashtra 413514",,JXJC+Q4C,Sirur Tajband,413514,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bcfbbe302c46d7d:0x13f217c5bbf6b344!8m2!3d18.6319265!4d76.9702641!16s%2Fg%2F11gr1n06r7!19sChIJfW3EAuO7zzsRRLP2u8UX8hM?authuser=0&hl=en&rclk=1,"18.6319265,76.9702641"
Jamiya Masjid,Mosque,"9HJ7+43W Jamiya Masjid, Hithal Sirur, Karnataka 585213",,9HJ7+43W,Hithal Sirur,585213,Karnataka,IN,https://www.google.com/maps/place/Jamiya+Masjid/data=!4m7!3m6!1s0x3bc8a60fffffffff:0x2fe95cf023647e26!8m2!3d17.3803656!4d76.5626986!16s%2Fg%2F11c38js2k9!19sChIJ_____w-myDsRJn5kI_Bc6S8?authuser=0&hl=en&rclk=1,"17.380365599999998,76.56269859999999"
Masjid,Mosque,"Masjid, Kucha Chalan, Khabas Pura, Old Delhi, Delhi, 110002","Kucha Chalan, Khabas Pura, Old Delhi",,Delhi,,Delhi,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x390cfd205fa6d4db:0xd5fbf53fb9bf9d66!8m2!3d28.6456159!4d77.2389549!16s%2Fg%2F1ptwbqxdg!19sChIJ29SmXyD9DDkRZp2_uT_1-9U?authuser=0&hl=en&rclk=1,"28.6456159,77.2389549"
Mosque,Mosque,"Mosque, H-16/62 shop no-11 khurana complex gali no-4, Tank Rd, opp. gurudwara parking side, Mata Rameshwari Nehru Nagar, Karol Bagh, Delhi, 110005","Mata Rameshwari Nehru Nagar, Karol Bagh","H-16/62 shop no-11 khurana complex gali no-4, Tank Rd, opp. gurudwara parking side",Delhi,110005,Delhi,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x390d03c67a8aab33:0x21498747997e95e0!8m2!3d28.6504768!4d77.1804367!16s%2Fg%2F11s5wlsy8v!19sChIJM6uKesYDDTkR4JV-mUeHSSE?authuser=0&hl=en&rclk=1,"28.6504768,77.1804367"
"Masjid-e-sharief,harpora",Mosque,"P2M5+57 Masjid-e-sharief,harpora, Kathpora, 192232",,P2M5+57,Kathpora,,,IN,"https://www.google.com/maps/place/Masjid-e-sharief,harpora/data=!4m7!3m6!1s0x38e203e5c158e749:0x2f43fd1560c1cc6d!8m2!3d33.7317413!4d75.0077773!16s%2Fg%2F11s4y0jsxl!19sChIJSedYweUD4jgRbczBYBX9Qy8?authuser=0&hl=en&rclk=1","33.731741299999996,75.0077773"
Masjid shrif Churmujroo,Mosque,"XJXG+8PC Masjid shrif Churmujroo, Churmujroo, 193411",,XJXG+8PC,Churmujroo,,,IN,https://www.google.com/maps/place/Masjid+shrif+Churmujroo/data=!4m7!3m6!1s0x38e19737566dfeef:0x1d633a6666b8ecf!8m2!3d33.9983029!4d74.6267744!16s%2Fg%2F11sy_nkmsp!19sChIJ7_5tVjeX4TgRz45rZqYz1gE?authuser=0&hl=en&rclk=1,"33.9983029,74.6267744"
Masjid Sharief,Mosque,"PX97+2M7 Masjid Sharief, Dairpora, Sampora Derapora, 192232",,PX97+2M7,"Dairpora, Sampora Derapora",,,IN,https://www.google.com/maps/place/Masjid+Sharief/data=!4m7!3m6!1s0x38e1f95072f978ed:0xab21e83e15cb5ca0!8m2!3d33.7175289!4d74.964187!16s%2Fg%2F11n09t57w4!19sChIJ7Xj5clD54TgRoFzLFT7oIas?authuser=0&hl=en&rclk=1,"33.7175289,74.964187"
