place_id,place_name,about,link
ChIJE_mvTwUVPDoRvSp0m_2nk4w,Juma Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipNeXU43wiFF7E8IL-3_DQJcspJiO28hIqsoVKu2=w397-h298-k-no
ChIJE_mvTwUVPDoRvSp0m_2nk4w,Juma Masjid msjd,Dome,https://lh5.googleusercontent.com/p/AF1QipO8LtxQJX3yaAgKk-Suhe-cdUk0b6cI7ShknRO6=w529-h298-k-no
ChIJE_mvTwUVPDoRvSp0m_2nk4w,Juma Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipMnZCvj2a20zT7h-woWzQ8Qykr0kOl5xQnDNHYk=w529-h298-k-no
ChIJE_mvTwUVPDoRvSp0m_2nk4w,Juma Masjid msjd,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipONhGCblmlhbRMXlYzeIC3lXY0vTxE2fjzly4Oa=w224-h298-k-no-pi-0-ya8.00001-ro-0-fo100
ChIJlxDQXgMVPDoRZGmhnsML-Gg,Masjid E Firdous Ahle Hadees Complex,All,https://lh5.googleusercontent.com/p/AF1QipPpbVoU3IgIPk8nhiT6DOSGzDUPsBDXsUjkv-7Z=w298-h298-k-no
ChIJlxDQXgMVPDoRZGmhnsML-Gg,Masjid E Firdous Ahle Hadees Complex,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Iw4suvreXCpxTots-dvIrg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=245.38373&pitch=0&thumbfov=100
ChIJ96HN9yIVPDoR_3D4qQDPPz0,Ilyas Maszid,All,https://lh5.googleusercontent.com/p/AF1QipM18V0GRzZ_VLopCo_ndjjlFXn864HoMt-PqEU8=w224-h398-k-no
ChIJ96HN9yIVPDoR_3D4qQDPPz0,Ilyas Maszid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UgLFTV9WWXrR-LqA8VgBvg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=124.4352&pitch=0&thumbfov=100
ChIJy-VB_RYVPDoRSunAxGLBcJ8,Mina Madzid,All,https://lh5.googleusercontent.com/p/AF1QipM8f4fWElMo1ay2XZu29xZmxf10r44-mU5nifKm=w613-h298-k-no
ChIJy-VB_RYVPDoRSunAxGLBcJ8,Mina Madzid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-W6Mdz-w2GnqhtDBQh-RqQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=201.4544&pitch=0&thumbfov=100
ChIJI3Yp3hYVPDoRO1PyW20Sfx0,Meena Maszid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NYfBHvfGl5t0ROmcF3cHXQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=331.45276&pitch=0&thumbfov=100
ChIJI3Yp3hYVPDoRO1PyW20Sfx0,Meena Maszid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NYfBHvfGl5t0ROmcF3cHXQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=331.45276&pitch=0&thumbfov=100
ChIJo8YBThsVPDoRBadsiqLQpdc,Chanda Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNCXZDcjZbiU8rI-kL6PISZfOHT-jHMBkwrpwfZ=w397-h298-k-no
ChIJo8YBThsVPDoRBadsiqLQpdc,Chanda Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gPYMQpsqcAILTibLC1doAg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=357.80582&pitch=0&thumbfov=100
ChIJo8YBThsVPDoRBadsiqLQpdc,Chanda Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNVOwt7oYgeigKFqNKft7_Px62mtyXqg_Jmb7d_=w541-h298-k-no
