name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Badi Masjid Khardah,Mosque,"P9G8+XX4 Badi Masjid Khardah, Titagarh, Khardaha, Kolkata, West Bengal 700117",Titagarh,P9G8+XX4,"Khardaha, Kolkata",700117,West Bengal,IN,https://www.google.com/maps/place/Badi+Masjid+Khardah/data=!4m7!3m6!1s0x39f89b9ed3c0dc37:0xde0cd13ba3dbe1a8!8m2!3d22.7273935!4d88.3674383!16s%2Fg%2F1hjhdy5v5!19sChIJN9zA056b-DkRqOHbozvRDN4?authuser=0&hl=en&rclk=1,"22.727393499999998,88.36743829999999"
MOHAMMADI MASJID,Mosque,"MOHAMMADI MASJID, 38, Ramkrishna Rd, Bangur Park, Serampore, West Bengal 712248","Bangur Park, Serampore","38, Ramkrishna Rd",,712248,West Bengal,IN,https://www.google.com/maps/place/MOHAMMADI+MASJID/data=!4m7!3m6!1s0x39f89b6cbce95255:0xf0d564ddcb0151f8!8m2!3d22.7293074!4d88.3488439!16s%2Fg%2F11c2y6w9r5!19sChIJVVLpvGyb-DkR-FEBy91k1fA?authuser=0&hl=en&rclk=1,"22.7293074,88.34884389999999"
Mallickpara Boro Masjid,Mosque,"Mallickpara Boro Masjid, 35, Mallicpara, Ghoramara, Serampore, Hooghly, Dakshin Rajyadharpur, West Bengal 712203","Mallicpara, Ghoramara, Serampore",35,"Hooghly, Dakshin Rajyadharpur",712203,West Bengal,IN,https://www.google.com/maps/place/Mallickpara+Boro+Masjid/data=!4m7!3m6!1s0x39f89b2615b66fa1:0xd3287412d141f44e!8m2!3d22.7497311!4d88.3345819!16s%2Fg%2F11c6cd1jt2!19sChIJoW-2FSab-DkRTvRB0RJ0KNM?authuser=0&hl=en&rclk=1,"22.749731099999998,88.33458189999999"
BAGKHAL JAMA MASJID,Mosque,"P972+V67 BAGKHAL JAMA MASJID, Jawahar Lal Nehru Sarani, Bagkhal, Rishra, West Bengal 712248","Jawahar Lal Nehru Sarani, Bagkhal, Rishra",P972+V67,,712248,West Bengal,IN,https://www.google.com/maps/place/BAGKHAL+JAMA+MASJID/data=!4m7!3m6!1s0x39f89b6458e98b89:0x43e0cf2588aa6f11!8m2!3d22.7146742!4d88.3505508!16s%2Fg%2F11f3m97hzq!19sChIJiYvpWGSb-DkREW-qiCXP4EM?authuser=0&hl=en&rclk=1,"22.714674199999997,88.3505508"
Noorani Masjid,Mosque,"Noorani Masjid, 20, P.K.Das Lane, Rishra), near Fatema Girls High School Risora, Serampore, 712248",Serampore,"20, P.K.Das Lane, Rishra), near Fatema Girls High School Risora",,712248,West Bengal,IN,https://www.google.com/maps/place/Noorani+Masjid/data=!4m7!3m6!1s0x39f89b6cd2dfa4eb:0xf473cfb951cee525!8m2!3d22.7304193!4d88.3501827!16s%2Fg%2F11g68wjsyk!19sChIJ66Tf0myb-DkRJeXOUbnPc_Q?authuser=0&hl=en&rclk=1,"22.730419299999998,88.35018269999999"
Ahle Sunnat Bichli Masjid,Mosque,"Ahle Sunnat Bichli Masjid, 10, AB Rd, Bangur Park, Rishra, West Bengal 712248","Bangur Park, Rishra","10, AB Rd",,712248,West Bengal,IN,https://www.google.com/maps/place/Ahle+Sunnat+Bichli+Masjid/data=!4m7!3m6!1s0x39f89b6dbd2357bb:0xc66339b7306dace5!8m2!3d22.726879!4d88.351724!16s%2Fg%2F1q6jd_y7w!19sChIJu1cjvW2b-DkR5axtMLc5Y8Y?authuser=0&hl=en&rclk=1,"22.726879,88.35172399999999"
BARA MASJID,Mosque,"P9H3+H45 BARA MASJID, Grand Trunk Road, Rishra, Hooghly, West Bengal 712248","Bangur Park, Rishra","P9H3+H45, Grand Trunk Road, Rishra",Hooghly,712248,West Bengal,IN,https://www.google.com/maps/place/BARA+MASJID/data=!4m7!3m6!1s0x39f89b6d61186c93:0x8b81f5235438f1a0!8m2!3d22.728892!4d88.3528504!16s%2Fg%2F11c5_v39bf!19sChIJk2wYYW2b-DkRoPE4VCP1gYs?authuser=0&hl=en&rclk=1,"22.728892,88.3528504"
Isha Khan Masjid,Mosque,"Isha Khan Masjid, Titagarh, Barrackpore, West Bengal 700119",Titagarh,,"Titagarh, Barrackpore",700119,West Bengal,IN,https://www.google.com/maps/place/Isha+Khan+Masjid/data=!4m7!3m6!1s0x39f89baffd377535:0xbca88c1227bc6a36!8m2!3d22.74333!4d88.3722746!16s%2Fg%2F11f1yghl38!19sChIJNXU3_a-b-DkRNmq8JxKMqLw?authuser=0&hl=en&rclk=1,"22.74333,88.3722746"
Kachchi Mosque,Mosque,"P9H2+FFR Kachchi Mosque, Abdul Kalam Azad Rd, Bangur Park, Kali Tala, West Bengal 712248","Bangur Park, Kali Tala","P9H2+FFR, Abdul Kalam Azad Rd",,712248,West Bengal,IN,https://www.google.com/maps/place/Kachchi+Mosque/data=!4m7!3m6!1s0x39f89b6d1987b79b:0xc60574b4edc66002!8m2!3d22.7287375!4d88.3511348!16s%2Fg%2F1q6j8f75g!19sChIJm7eHGW2b-DkRAmDG7bR0BcY?authuser=0&hl=en&rclk=1,"22.728737499999998,88.3511348"
Panchloki Bamunari Masjid,Mosque,"P89F+PRQ Panchloki Bamunari Masjid, Bamunari Road, Babanari, Rishra, Bamunari, West Bengal 712250","Babanari, Rishra","P89F+PRQ, Bamunari Road",Bamunari,712250,West Bengal,IN,https://www.google.com/maps/place/Panchloki+Bamunari+Masjid/data=!4m7!3m6!1s0x39f89b4d459b9547:0x755ef13470ae036a!8m2!3d22.7193321!4d88.3246236!16s%2Fg%2F1q6j8w1vt!19sChIJR5WbRU2b-DkRagOucDTxXnU?authuser=0&hl=en&rclk=1,"22.7193321,88.3246236"
