place_id,place_name,about,link
ChIJMRXCkTRL6DsRgI82Wdu_Kww,Jama Masjid Shrivardhan,All,https://lh5.googleusercontent.com/p/AF1QipOvOnO83I6iFixVVQ_6s9AuA8n6kg5SjLck7B0u=w298-h298-k-no
ChIJMRXCkTRL6DsRgI82Wdu_Kww,Jama Masjid Shrivardhan,Dome,https://lh5.googleusercontent.com/p/AF1QipP-o9w-7jYYnnhMQ_-qlcTqZjuspdviH4XaJpvP=w224-h298-k-no
ChIJtb-SMTRL6DsRSv-vSwh8v94,Moghul Masjid (Moghul Mohalla),All,https://lh5.googleusercontent.com/p/AF1QipM-2YKX3ze2qur1rZAONBRPM9rx49u3KV6kjG5A=w397-h298-k-no
ChIJtb-SMTRL6DsRSv-vSwh8v94,Moghul Masjid (Moghul Mohalla),Dome,https://lh5.googleusercontent.com/p/AF1QipOP9bpRUrA-TRNux-v92Bq6Ow1TrjLYz1_7k2ys=w255-h298-k-no
ChIJHYAToy9L6DsRfomtroRrEjk,Jama Masjid Arathi,All,https://lh5.googleusercontent.com/p/AF1QipM8Rk5gF8B0Yirg9NUm1TgS3UcDWiZnZ-vruuTI=w397-h298-k-no
ChIJkbQ4wzRL6DsRd5gxxECyNj0,Pulpar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPoOIizzdjPmX8SZEFqnoGHAThuoP-YZov5rDp_=w228-h298-k-no
ChIJu9jmTzRL6DsRcjCJDnZfp74,Baughban Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN2FysMtx_ude0StndbLWuBwqHAn5FqSPZIWDPi=w300-h298-k-no
ChIJu9jmTzRL6DsRcjCJDnZfp74,Baughban Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOqGpgEfH-94cXtN9pBo-pGP6Me2TQ3JRzjhbHO=w394-h298-k-no
ChIJ8TP9Vsq06TsRKqWR0r76WLw,sarai masjid,All,https://lh5.googleusercontent.com/p/AF1QipN1U6iYYwMm7wpaLH29cuNmV4Q-uk9XGgrmIH8=w351-h298-k-no
ChIJ8TP9Vsq06TsRKqWR0r76WLw,sarai masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNIr-tlw_clBl_BhBGUgit3rm7VnlGQx7havnsQ=w298-h298-k-no
ChIJlaiEZTRL6DsRiG0NjfypgbM,Jingar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPrfq8gFPmzjDLEyq34Ah9BRwIJzM2CN-FPwi8U=w401-h298-k-no
ChIJlaiEZTRL6DsRiG0NjfypgbM,Jingar Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipPsGv1KWGO2gavu-ojAEHKVB0duH9V375cJ5Gp7=w530-h298-k-no
ChIJ-91nIzVL6DsRx7ZExQNJXKE,Noor Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN7OLP4TJK2a-0Jgq0wH9ME4_HksMGQ_EfwSvT3=w224-h298-k-no
ChIJESLsejC16TsRzt2TTZdJGng,Rabbani mohalla madrasa saigaon,All,https://lh5.googleusercontent.com/p/AF1QipO_x6a6W5H9q_7FI3rh_Aejei9wSID2gr6H5jTZ=w397-h298-k-no
ChIJESLsejC16TsRzt2TTZdJGng,Rabbani mohalla madrasa saigaon,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=szH9PUotvoVTaMnoKHqXNg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=295.765&pitch=0&thumbfov=100
ChIJOV8wWa-16TsRzQYaFpFuI1Q,Dariya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN0dudQyXw0X04ITa2_fcOni2gB7JFBGACbp1Wj=w224-h298-k-no
ChIJOV8wWa-16TsRzQYaFpFuI1Q,Dariya Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=plSEVgmV3iWnt8sCQyEUAQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=341.09924&pitch=0&thumbfov=100
ChIJOV8wWa-16TsRzQYaFpFuI1Q,Dariya Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipPkdsma0xQmax2tej5laDhDXdNLu2gZYPw525tH=w224-h467-k-no
