place_id,place_name,about,link
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,All,https://lh5.googleusercontent.com/p/AF1QipPuvEEBl7TFqidewO8nsNOsC2QdlIhKzeO8wTqs=w420-h298-k-no
ChIJ6RyexwvkDDkRsxDP_fUBqxg,Masjid Mujeeb Bagh,Dome,https://lh5.googleusercontent.com/p/AF1QipPsDBtmO8rEKXfaej3f3ZAybZnhNsdB53hBEPBz=w224-h298-k-no
ChIJG1idPRrkDDkR6R2xZSTmsMc,Jama Masjid (Shaheen Bagh),All,https://lh5.googleusercontent.com/p/AF1QipMtvBWa9bbnLgBbHaEv0t-DZ2jmtzIBRcjPH57A=w224-h298-k-no
ChIJG1idPRrkDDkR6R2xZSTmsMc,Jama Masjid (Shaheen Bagh),Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipP28iAZURh9S_xIQvp9TsZuyZ7cYSlER0WcmCL5=w224-h298-k-no-pi-0-ya359-ro-0-fo100
ChIJhc8IT9fmDDkRymbowI7DNc8,Masjid Hayat Madarsa Sahabia,All,https://lh5.googleusercontent.com/p/AF1QipMZ54Q4wNlubzu5WnJKcKX5kL-2WRiCt02zhgGx=w529-h298-k-no
ChIJhc8IT9fmDDkRymbowI7DNc8,Masjid Hayat Madarsa Sahabia,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2BXnM2wnOFFDs8jn8zO50A&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=139.00992&pitch=0&thumbfov=100
ChIJhc8IT9fmDDkRymbowI7DNc8,Masjid Hayat Madarsa Sahabia,Videos,https://lh5.googleusercontent.com/p/AF1QipM2VvPT2Nb_WAucS-NAz3wbPVHqJehiVJDDJFOX=w529-h298-k-no
ChIJ-UySvXjmDDkRxm6qb2yUzU4,Masjid Umar,All,https://lh5.googleusercontent.com/p/AF1QipNggV0JjW7J8rqdJZ5d_bOjZ3br2uLhN523TYUu=w224-h298-k-no
ChIJ-UySvXjmDDkRxm6qb2yUzU4,Masjid Umar,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5jp2qK4Tv7u9j_A25FSD8g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=91.63635&pitch=0&thumbfov=100
ChIJAW5fQkwFDTkRACyfgfjMPWE,Razaa Jama Maszid,All,https://lh5.googleusercontent.com/p/AF1QipOKA_UEfg_zasLfLBAm3be5MTLt9lC7FaLfdN5Z=w397-h298-k-no
