name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid Mujeeb Bagh,Mosque,"H74R+R4J Masjid Mujeeb Bagh, Mujeeb Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025","Mujeeb Bagh, Jamia Nagar, Okhla",H74R+R4J,New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Masjid+Mujeeb+Bagh/data=!4m7!3m6!1s0x390ce40bc79e1ce9:0x18ab01f5fdcf10b3!8m2!3d28.5570856!4d77.2902574!16s%2Fg%2F11hbvrlrnj!19sChIJ6RyexwvkDDkRsxDP_fUBqxg?authuser=0&hl=en&rclk=1,"28.557085599999997,77.2902574"
Jama Masjid (Shaheen Bagh),Mosque,"Jama Masjid (Shaheen Bagh), 12, Kalindi Kunj Rd, Block B, Jamia Nagar, Jasola, New Delhi, Delhi 110025","Block B, Jamia Nagar, Jasola","12, Kalindi Kunj Rd",New Delhi,110025,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid+%28Shaheen+Bagh%29/data=!4m7!3m6!1s0x390ce41a3d9d581b:0xc7b0e62465b11de9!8m2!3d28.5496905!4d77.3028252!16s%2Fg%2F11g7p2t2hd!19sChIJG1idPRrkDDkR6R2xZSTmsMc?authuser=0&hl=en&rclk=1,"28.549690499999997,77.3028252"
Masjid Hayat Madarsa Sahabia,Mosque,"F7XW+9R3 Masjid Hayat Madarsa Sahabia, Mehrauli - Badarpur Rd, Mittal Colony, Block RZ H, Pul Pehlad Pur, New Delhi, Faridabad, Delhi 110044","Mittal Colony, Block RZ H, Pul Pehlad Pur","F7XW+9R3, Mehrauli - Badarpur Rd","New Delhi, Faridabad",110044,Delhi,IN,https://www.google.com/maps/place/Masjid+Hayat+Madarsa+Sahabia/data=!4m7!3m6!1s0x390ce6d74f08cf85:0xcf35c38ec0e866ca!8m2!3d28.4983917!4d77.2970623!16s%2Fg%2F12hkbl23n!19sChIJhc8IT9fmDDkRymbowI7DNc8?authuser=0&hl=en&rclk=1,"28.4983917,77.2970623"
Masjid Umar,Mosque,"Masjid Umar, Noida-Greater Noida Expy, Raipur Khadar, Sector 126, near Akansha Stationary Store, Noida, Uttar Pradesh 201313","Raipur Khadar, Sector 126","Noida-Greater Noida Expy, Raipur Khadar, Sector 126, near Akansha Stationary Store",Noida,201313,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+Umar/data=!4m7!3m6!1s0x390ce678bd924cf9:0x4ecd946c6faa6ec6!8m2!3d28.5423387!4d77.3395738!16s%2Fg%2F11bxk9qkr9!19sChIJ-UySvXjmDDkRxm6qb2yUzU4?authuser=0&hl=en&rclk=1,"28.5423387,77.3395738"
Razaa Jama Maszid,Mosque,"J25G+FCX Razaa Jama Maszid, Block A, Bharat Vihar, Kakrola, Delhi, 110078","Block A, Bharat Vihar, Kakrola",J25G+FCX,Delhi,110078,Delhi,IN,https://www.google.com/maps/place/Razaa+Jama+Maszid/data=!4m7!3m6!1s0x390d054c425f6e01:0x613dccf8819f2c00!8m2!3d28.6087288!4d77.0261155!16s%2Fg%2F11c57m3802!19sChIJAW5fQkwFDTkRACyfgfjMPWE?authuser=0&hl=en&rclk=1,"28.608728799999998,77.0261155"
MASJID,Mosque,"MASJID, Wz 173a/1 new ranjeet nagar, Guru Nanak Nagar, Shadipur, Delhi 110008","Guru Nanak Nagar, Shadipur",Wz 173a/1 new ranjeet nagar,New Delhi,110008,Delhi,IN,https://www.google.com/maps/place/MASJID/data=!4m7!3m6!1s0x390d0327bb6f6129:0xe8342be2eca63326!8m2!3d28.6456917!4d77.1597324!16s%2Fg%2F11h5lkhmc2!19sChIJKWFvuycDDTkRJjOm7OIrNOg?authuser=0&hl=en&rclk=1,"28.6456917,77.1597324"
Masjid e Aqsa msjdi qSy,Mosque,"G9X2+R38 Masjid e Aqsa msjdi qSy, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303","Sadarpur, Sector-45",G9X2+R38,Noida,201303,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid+e+Aqsa+%D9%85%D8%B3%D8%AC%D8%AF%D9%90+%D8%A7%D9%82%D8%B5%D9%B0%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x390ce5deaf29b341:0x3cccf01e014599a2!8m2!3d28.549526!4d77.3501959!16s%2Fg%2F11c55w0s_h!19sChIJQbMpr97lDDkRoplFAR7wzDw?authuser=0&hl=en&rclk=1,"28.549526,77.3501959"
Azad & Arsh Restaurant,Chicken restaurant,"23H5+297 Azad & Arsh Restaurant, Rampur Road, near Jama Masjid, Suar, Uttar Pradesh 244924",,"23H5+297, Rampur Road, near Jama Masjid",Suar,244924,Uttar Pradesh,IN,https://www.google.com/maps/place/Azad+%26+Arsh+Restaurant/data=!4m7!3m6!1s0x390a60fb515dbaa1:0xba8208805b73e061!8m2!3d29.0275416!4d79.0584328!16s%2Fg%2F11bz_yd04g!19sChIJobpdUftgCjkRYeBzW4AIgro?authuser=0&hl=en&rclk=1,"29.0275416,79.05843279999999"
Suar gow Jame Masjid and Eidgah,Mosque,"QQ8M+M3Q Suar gow Jame Masjid and Eidgah, Dhaka - Sylhet Hwy, Bangladesh",,"QQ8M+M3Q, Dhaka - Sylhet Hwy",,,,BD,https://www.google.com/maps/place/Suar+gow+Jame+Masjid+and+Eidgah/data=!4m7!3m6!1s0x375106ef7b453baf:0x37aad023a9341419!8m2!3d24.7667075!4d91.782748!16s%2Fg%2F11b6wkz2sw!19sChIJrztFe-8GUTcRGRQ0qSPQqjc?authuser=0&hl=en&rclk=1,"24.7667075,91.782748"
Aqsaa Masjid,Mosque,"J9HX+HRP Aqsaa Masjid, Chotpur Colony, Chhajarsi Colony, Noida, Uttar Pradesh 201307","Chotpur Colony, Chhajarsi Colony",J9HX+HRP,Noida,201307,Uttar Pradesh,IN,https://www.google.com/maps/place/Aqsaa+Masjid/data=!4m7!3m6!1s0x390cefe8762c7c45:0xdd6533c8d58cfa3b!8m2!3d28.6289611!4d77.3995647!16s%2Fg%2F11f3yvw0vv!19sChIJRXwsdujvDDkRO_qM1cgzZd0?authuser=0&hl=en&rclk=1,"28.628961099999998,77.3995647"
MADINA MASJID,Mosque,"M5X6+558 MADINA MASJID, Block A, Wazirpur Industrial Area, Ashok Vihar, Delhi, 110052","Block A, Wazirpur Industrial Area, Ashok Vihar",M5X6+558,Delhi,110052,Delhi,IN,https://www.google.com/maps/place/MADINA+MASJID/data=!4m7!3m6!1s0x390d023aab0ed955:0x822db20eda2dd64c!8m2!3d28.697902!4d77.1604397!16s%2Fg%2F11f2b01ft3!19sChIJVdkOqzoCDTkRTNYt2g6yLYI?authuser=0&hl=en&rclk=1,"28.697902,77.1604397"
Munshiganj Masjid,Mosque,"56QX+GRR Munshiganj Masjid, Pratapgarh - Raebareli Rd, Munshiganj, Garhi Mutwalli, Uttar Pradesh 229405",,"56QX+GRR, Pratapgarh - Raebareli Rd","Munshiganj, Garhi Mutwalli",229405,Uttar Pradesh,IN,https://www.google.com/maps/place/Munshiganj+Masjid/data=!4m7!3m6!1s0x399ba18e54379dad:0xefdde2b1748619df!8m2!3d26.1888728!4d81.2495034!16s%2Fg%2F11rvdczgs7!19sChIJrZ03VI6hmzkR3xmGdLHi3e8?authuser=0&hl=en&rclk=1,"26.1888728,81.2495034"
IMAM AHMAD RAZA JAMA MASJID,Mosque,"IMAM AHMAD RAZA JAMA MASJID, B 665, Pocket 4, B Block, JJ Colony, Uttam Nagar, New Delhi, Delhi, 110059","Pocket 4, B Block, JJ Colony, Uttam Nagar",B 665,"New Delhi, Delhi",110059,Delhi,IN,https://www.google.com/maps/place/IMAM+AHMAD+RAZA+JAMA+MASJID/data=!4m7!3m6!1s0x390d052171654883:0xcbc2bc8f49e66da2!8m2!3d28.6253214!4d77.0630461!16s%2Fg%2F11n5gz54q_!19sChIJg0hlcSEFDTkRom3mSY-8wss?authuser=0&hl=en&rclk=1,"28.625321399999997,77.0630461"
Masjid Badi msjd,Mosque,"Masjid Badi msjd, 893,, Chittli Qabar Bazar Rd, Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006","Bazar Chitli Qabar, Kucha Chelan, Jama Masjid, Chandni Chowk","893,, Chittli Qabar Bazar Rd","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/Masjid+Badi+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x390cfd219cfec1f3:0x93ccacb281d71709!8m2!3d28.645321!4d77.2357133!16s%2Fg%2F12m98gjn5!19sChIJ88H-nCH9DDkRCRfXgbKszJM?authuser=0&hl=en&rclk=1,"28.645321,77.2357133"
Masjid,Mosque,"Masjid, Chandan Nagar, Uttar Pradesh 243601",,,Chandan Nagar,,Uttar Pradesh,IN,https://www.google.com/maps/place/Masjid/data=!4m7!3m6!1s0x39754f77d499cd0b:0xfa585f2b837e3350!8m2!3d28.0699891!4d79.1545415!16s%2Fg%2F124t466g6!19sChIJC82Z1HdPdTkRUDN-gytfWPo?authuser=0&hl=en&rclk=1,"28.069989099999997,79.1545415"
gosiiyaa msjid,Mosque,"gosiiyaa msjid, 02, New Delhi Main Rd, D Block, Madanpur Khadar, New Delhi, Delhi 110076, New Delhi Main Rd, D Block, Madanpur Khadar, New Delhi, Delhi 110076","D Block, Madanpur Khadar","02, New Delhi Main Rd, D Block, Madanpur Khadar, New Delhi, Delhi 110076, New Delhi Main Rd",New Delhi,110076,Delhi,IN,https://www.google.com/maps/place/%E0%A4%97%E0%A5%8B%E0%A4%B8%E0%A5%80%E0%A4%AF%E0%A4%BE+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x390ce69a677df04b:0x404fbe46be663e7f!8m2!3d28.5310436!4d77.317571!16s%2Fg%2F11g6rfnfc8!19sChIJS_B9Z5rmDDkRfz5mvka-T0A?authuser=0&hl=en&rclk=1,"28.5310436,77.317571"
Bada Shiv Mandir,Hindu temple,"23H2+9QR Bada Shiv Mandir, Suar, Uttar Pradesh 244924",,23H2+9QR,Suar,244924,Uttar Pradesh,IN,https://www.google.com/maps/place/Bada+Shiv+Mandir/data=!4m7!3m6!1s0x390a6122f1c49861:0xee4b2d16ca5d8044!8m2!3d29.0284838!4d79.0519025!16s%2Fg%2F11gvwnzljl!19sChIJYZjE8SJhCjkRRIBdyhYtS-4?authuser=0&hl=en&rclk=1,"29.0284838,79.0519025"
