place_id,place_name,about,link
ChIJ9dv01760NzoRyRtAtSHlyfU,(Pedda Masjid) Masjid- E -Hanafiya,All,https://lh5.googleusercontent.com/p/AF1QipPhuWqaWVD8wc4djCnE0i_eA_z74SGZrqiGK2pM=w224-h315-k-no
ChIJ9dv01760NzoRyRtAtSHlyfU,(Pedda Masjid) Masjid- E -Hanafiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MsxWJhYh5_qz1bqMRg2KHQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=298.9999&pitch=0&thumbfov=100
ChIJq6qqarO0NzoRaCArLdAFx_g,Masjid e Muhammadiyah Ahle Hadees,All,https://lh5.googleusercontent.com/p/AF1QipPNZIMFaK-es7MHvHb7p1w1P2cubQNqPUBBybUt=w224-h298-k-no
ChIJq6qqarO0NzoRaCArLdAFx_g,Masjid e Muhammadiyah Ahle Hadees,Dome,https://lh5.googleusercontent.com/p/AF1QipN0hm7mH3_LF2Od_4HuihajzPMRV_pd7A8NqjIs=w224-h482-k-no
ChIJq6qqarO0NzoRaCArLdAFx_g,Masjid e Muhammadiyah Ahle Hadees,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=P2YgIS2p1_tPYOMfSHJnhg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=210.77335&pitch=0&thumbfov=100
ChIJ60r0zfG1NzoRCd6-8q8y9yQ,Masjid e Abu Huraira (RA),All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VZOckjpdBUylUC6PelfeTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.30286&pitch=0&thumbfov=100
ChIJ60r0zfG1NzoRCd6-8q8y9yQ,Masjid e Abu Huraira (RA),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VZOckjpdBUylUC6PelfeTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=83.30286&pitch=0&thumbfov=100
ChIJfcjJV-q0NzoRDxKDG0ToBNc,Masjid-e-BILAL,All,https://lh5.googleusercontent.com/p/AF1QipNCrvynXodZgH1eyce-A0h4ZT5O8-wE7ID5VnQd=w529-h298-k-no
ChIJfcjJV-q0NzoRDxKDG0ToBNc,Masjid-e-BILAL,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q7zgtuR2fpsQ2zz1ebczUA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=269.93338&pitch=0&thumbfov=100
ChIJiVAa-Ga1NzoRfV_z5Ujnm3s,Madeena Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMWt_HrZE4Vdj4AGropAkTk_Rwo4GGmCYbL3Vg=w397-h298-k-no
ChIJiVAa-Ga1NzoRfV_z5Ujnm3s,Madeena Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kmVOMcDtQ5XPt1oysUNpEw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=90.23962&pitch=0&thumbfov=100
ChIJaURND0O1NzoRE8xWMCweAV0,Masjid e Noor (Ahle Hadees),All,https://lh5.googleusercontent.com/p/AF1QipNWb2GbDM1_uRSFNnE0JwcdVjWKrNlPEKfa7Upk=w224-h398-k-no
ChIJaURND0O1NzoRE8xWMCweAV0,Masjid e Noor (Ahle Hadees),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Bl1xlvMX6DvTRafs2HlOSQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=221.68076&pitch=0&thumbfov=100
ChIJxS3Kd7uzNzoRiNhHg0plq7w,MASJID E ABUBAKAR SIDDQUE,All,https://lh5.googleusercontent.com/p/AF1QipPvEjDuySvo83CusFy1db8oYxxiuxcZ6cK1-aem=w529-h298-k-no
ChIJxS3Kd7uzNzoRiNhHg0plq7w,MASJID E ABUBAKAR SIDDQUE,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SqfQ0w28jhjJg0E_k-s5kw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=231.63727&pitch=0&thumbfov=100
ChIJ2zE1zjezNzoRV70mDNyS14E,MASJID E ABUBAKAR SIDDQUE,All,https://lh5.googleusercontent.com/p/AF1QipNs9G7FcRsd_U41WK4Y2mQcYxGksgRObcnu9Pb9=w529-h298-k-no
ChIJ2zE1zjezNzoRV70mDNyS14E,MASJID E ABUBAKAR SIDDQUE,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jH9HFbqyseaFCfxNUu3L6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=352.53665&pitch=0&thumbfov=100
ChIJPzqv3Iy1NzoRst2yATKQ6OU,Masjid-e-Quba,All,https://lh5.googleusercontent.com/p/AF1QipOSAGGbo9WwNe7iDERFHaj2N1mTnRhVrRZccO_K=w529-h298-k-no
ChIJPzqv3Iy1NzoRst2yATKQ6OU,Masjid-e-Quba,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yM7qR_N44inFVG4GZi8MKQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=137.69627&pitch=0&thumbfov=100
ChIJ98YHuiC1NzoRoVd5ap37J-A,Masjid (,All,https://lh5.googleusercontent.com/p/AF1QipNSLxpXo89jgotNf-7EZJz68OEajGCYTcJv64bk=w294-h298-k-no
