name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
NOORUL ISLAM MASJID AND MADARASA ASSOCIATION,Mosque,"NOORUL ISLAM MASJID AND MADARASA ASSOCIATION, 200 feet Service Road myudiceo rodeu LAKSHMIPURAM, West Tambaram, NEAR, Chennai, Tamil Nadu 600045","Karummariamman Nagar, West Tambaram, NEAR",200 feet Service Road myudiceo rodeu LAKSHMIPURAM,Chennai,600045,Tamil Nadu,IN,https://www.google.com/maps/place/NOORUL+ISLAM+MASJID+AND+MADARASA+ASSOCIATION/data=!4m7!3m6!1s0x3a525f625bcb1893:0xc4b16cd1ff32caf!8m2!3d12.924374!4d80.1000493!16s%2Fg%2F1tdkq6lk!19sChIJkxjLW2JfUjoRryzzH80WSww?authuser=0&hl=en&rclk=1,"12.924374,80.1000493"
Masjid e Tawheed JAQH Markaz,Mosque,"Masjid e Tawheed JAQH Markaz, 6/22, 3rd Cross St, Ranganathapuram, Tambaram, Chennai, Tamil Nadu 600045","Ranganathapuram, Tambaram","6/22, 3rd Cross St",Chennai,600045,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+e+Tawheed+JAQH+Markaz/data=!4m7!3m6!1s0x3a525f73a8ed22ef:0x7bf3aa6f8b25772a!8m2!3d12.931903!4d80.1173875!16s%2Fg%2F1ptxmfqmw!19sChIJ7yLtqHNfUjoRKncli2-q83s?authuser=0&hl=en&rclk=1,"12.931903,80.11738749999999"
Tambaram Jumma Masjid,Mosque,"Tambaram Jumma Masjid, Shanmugam Rd, West Tambaram, Tambaram, Chennai, Tamil Nadu 600045","West Tambaram, Tambaram",Shanmugam Rd,Chennai,600045,Tamil Nadu,IN,https://www.google.com/maps/place/Tambaram+Jumma+Masjid/data=!4m7!3m6!1s0x3a525f6e7666c06b:0x43e9f7b117ee96cd!8m2!3d12.9263723!4d80.115148!16s%2Fg%2F1tkrk6qq!19sChIJa8Bmdm5fUjoRzZbuF7H36UM?authuser=0&hl=en&rclk=1,"12.926372299999999,80.11514799999999"
Al Masjid Noor,Mosque,"W4FV+8GJ Al Masjid Noor, Velachery - Tambaram Main Rd, Mahalakshmi Nagar, Tambaram, Chennai, Tamil Nadu 600073","Mahalakshmi Nagar, Tambaram","W4FV+8GJ, Velachery - Tambaram Main Rd",Chennai,600073,Tamil Nadu,IN,https://www.google.com/maps/place/Al+Masjid+Noor/data=!4m7!3m6!1s0x3a525ee1ee5dc0bd:0x3a28619e5fe88a12!8m2!3d12.9233368!4d80.1437595!16s%2Fg%2F1hm2yk6r6!19sChIJvcBd7uFeUjoREoroX55hKDo?authuser=0&hl=en&rclk=1,"12.9233368,80.1437595"
Masjid-e-Rahmaniya,Mosque,"W38P+CGJ Masjid-e-Rahmaniya, Pettai St, Lingam Nagar, Old Perungalathur, Tamil Nadu 600063",Lingam Nagar,"W38P+CGJ, Pettai St",Old Perungalathur,600063,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Rahmaniya/data=!4m7!3m6!1s0x3a52f592b1efe5bf:0x86a195fe72ae126d!8m2!3d12.9160972!4d80.086281!16s%2Fg%2F11cs5fjndk!19sChIJv-XvsZL1UjoRbRKucv6VoYY?authuser=0&hl=en&rclk=1,"12.9160972,80.086281"
Masjid E-Mustafa,Mosque,"Masjid E-Mustafa, 308, Durga Nagar Main Rd, Mummurti Nagar, Chromepet, Tambaram Sanatorium, Tamil Nadu 600047","Mummurti Nagar, Chromepet","308, Durga Nagar Main Rd",Tambaram Sanatorium,600047,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E-Mustafa/data=!4m7!3m6!1s0x3a525fa5c0294e9d:0x1f8c0f8d54d07ccc!8m2!3d12.9471737!4d80.1301845!16s%2Fg%2F11cjqqwdqv!19sChIJnU4pwKVfUjoRzHzQVI0PjB8?authuser=0&hl=en&rclk=1,"12.947173699999999,80.1301845"
Masjid ur Rahmaniya,Mosque,"W4HG+GWM Masjid ur Rahmaniya, Bharathamadha St, East Tambaram, Tambaram, Chennai, Tamil Nadu 600059","East Tambaram, Tambaram","W4HG+GWM, Bharathamadha St",Chennai,600059,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+ur+Rahmaniya/data=!4m7!3m6!1s0x3a525f0e1e726ce5:0xb54b2809e61bf0d!8m2!3d12.9288296!4d80.1272919!16s%2Fg%2F12hny6n7k!19sChIJ5WxyHg5fUjoRDb9hnoCyVAs?authuser=0&hl=en&rclk=1,"12.9288296,80.1272919"
TNTJ TAMBARAM,Mosque,"W4J9+X95 TNTJ TAMBARAM, 2nd St, Ranganathapuram, Tambaram, Chennai, Tamil Nadu 600045","Ranganathapuram, Tambaram","W4J9+X95, 2nd St",Chennai,600045,Tamil Nadu,IN,https://www.google.com/maps/place/TNTJ+TAMBARAM/data=!4m7!3m6!1s0x3a525f73126bf32f:0x9166455cf39b1fe4!8m2!3d12.9323902!4d80.1184989!16s%2Fg%2F11gfcydp6p!19sChIJL_NrEnNfUjoR5B-b81xFZpE?authuser=0&hl=en&rclk=1,"12.932390199999999,80.11849889999999"
AL-MASJID ELIYAS,Mosque,"W4J9+W2J AL-MASJID ELIYAS, 4th St, Ranganathapuram, Tambaram, Chennai, Tamil Nadu 600045","Ranganathapuram, Tambaram","W4J9+W2J, 4th St",Chennai,600045,Tamil Nadu,IN,https://www.google.com/maps/place/AL-MASJID+ELIYAS/data=!4m7!3m6!1s0x3a525f73a122f081:0x6feeaf74f5e38ac2!8m2!3d12.9323281!4d80.1175243!16s%2Fg%2F1hm5rld0q!19sChIJgfAioXNfUjoRworj9XSv7m8?authuser=0&hl=en&rclk=1,"12.9323281,80.1175243"
Masjid E Salamath,Mosque,"W4CJ+894 Masjid E Salamath, Christ King St, Bethelpuram, East Tambaram, Tambaram, Chennai, Tamil Nadu 600059","Bethelpuram, East Tambaram, Tambaram","W4CJ+894, Christ King St",Chennai,600059,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E+Salamath/data=!4m7!3m6!1s0x3a525f1770c0039d:0xa0b243ed927ec663!8m2!3d12.9207607!4d80.1309391!16s%2Fg%2F11csqjsv8f!19sChIJnQPAcBdfUjoRY8Z-ku1DsqA?authuser=0&hl=en&rclk=1,"12.920760699999999,80.13093909999999"
