place_id,place_name,about,link
ChIJkSi9Qvm3NzoRs5lPGMh-0ds,Masjid-E-Hanfipet,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C5qa18uZ-ljvOfsNSZ5O6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=81.800026&pitch=0&thumbfov=100
ChIJkSi9Qvm3NzoRs5lPGMh-0ds,Masjid-E-Hanfipet,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C5qa18uZ-ljvOfsNSZ5O6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=81.800026&pitch=0&thumbfov=100
ChIJv-P5Pvy3NzoRrvion9cFblo,Sirat E Mustaqeem Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPxoP45QFhth5qVVew419Hy6glA5spGIC0iksRF=w224-h398-k-no
ChIJR-stPB24NzoRe4DETZMy6qk,Masjid E Noor,All,https://lh5.googleusercontent.com/p/AF1QipOz_88pLOnUJAZWww2QOPgJwEfhkOO7E3zTVrYq=w397-h298-k-no
ChIJ6bdfSJe5NzoRRgOS2C1_0j0,Masjid e Mohammadia,All,https://lh5.googleusercontent.com/p/AF1QipN0bMuXCb76KYeDp5aERpvFDq1Ko-FAeJE1Z4KT=w224-h389-k-no
ChIJ6bdfSJe5NzoRRgOS2C1_0j0,Masjid e Mohammadia,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WL5w9gs_-aqbWsSYR_4WPg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=1.7736363&pitch=0&thumbfov=100
ChIJ6bdfSJe5NzoRRgOS2C1_0j0,Masjid e Mohammadia,Videos,https://lh5.googleusercontent.com/p/AF1QipN9OSaEtRSB9w2GrjDOD4Ho_qQ8ovzM4SOOOt4G=w224-h389-k-no
ChIJj6f_Qvm3NzoRWOe0BHBQbK0,Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C5qa18uZ-ljvOfsNSZ5O6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=117.40736&pitch=0&thumbfov=100
ChIJj6f_Qvm3NzoRWOe0BHBQbK0,Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=C5qa18uZ-ljvOfsNSZ5O6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=117.40736&pitch=0&thumbfov=100
ChIJQSeTo5G3NzoRhbIAwxuhFjc,Chivatam Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPMF9tafr1aieE0TpyZ_sBfJrWVKH7G8kbFd10z=w397-h298-k-no
ChIJQSeTo5G3NzoRhbIAwxuhFjc,Chivatam Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p3sRkO_uqFXsPmSnzDVgPA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=87.58501&pitch=0&thumbfov=100
ChIJiXvjWgK4NzoRalaNw1qaEl8,Mosque jaamiya,All,https://lh5.googleusercontent.com/p/AF1QipPE6CmAcIm9znPFXBxliTqEOBsC7G6QL8fOCFR3=w529-h298-k-no
ChIJiXvjWgK4NzoRalaNw1qaEl8,Mosque jaamiya,Dome,https://lh5.googleusercontent.com/p/AF1QipPE6CmAcIm9znPFXBxliTqEOBsC7G6QL8fOCFR3=w529-h298-k-no
ChIJiXvjWgK4NzoRalaNw1qaEl8,Mosque jaamiya,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tH7Jgsq9rytveaRZ0AtaDw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=226.13168&pitch=0&thumbfov=100
ChIJXesbnmjJNzoRKq5isfJ6hGE,Masjid-e-Noor,All,https://lh5.googleusercontent.com/p/AF1QipOwn2kqrV32yNA30S5EK0FcAWcwCh_Irum8fXJr=w423-h298-k-no
ChIJXesbnmjJNzoRKq5isfJ6hGE,Masjid-e-Noor,Dome,https://lh5.googleusercontent.com/p/AF1QipOwn2kqrV32yNA30S5EK0FcAWcwCh_Irum8fXJr=w423-h298-k-no
