place_id,place_name,about,link
ChIJ-ZZuTmDtaS4RKVOv5wQqiqg,At-Tin Great Mosque,All,https://lh5.googleusercontent.com/p/AF1QipN5V4iOuHrYHp4BmEKM2jUudhrQ52cMLdmlCV6p=w397-h298-k-no
ChIJ-ZZuTmDtaS4RKVOv5wQqiqg,At-Tin Great Mosque,Latest,https://lh5.googleusercontent.com/p/AF1QipN247u3b8UU5ycuuNjttaet1R-HSma54vywUrYo=w224-h298-k-no
ChIJ-ZZuTmDtaS4RKVOv5wQqiqg,At-Tin Great Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipO__o57Klf4UFHbDzNF0g9r7hjzy3c7fz4n0S39=w529-h298-k-no
ChIJ-ZZuTmDtaS4RKVOv5wQqiqg,At-Tin Great Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipOil5QCg3Plq3OE7_0kVWIP8FuBingutD9sil9H=w529-h298-k-no
ChIJ-ZZuTmDtaS4RKVOv5wQqiqg,At-Tin Great Mosque,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMJozT2DGJEGZuitQONhfcT6QpJQ1pz_R84aQth=w224-h298-k-no-pi-30.000002-ya76.7092-ro-0-fo100
ChIJI3NIoQfq5zsRB-MBLk9zLj8,Jama Masjid Markaz,All,https://lh5.googleusercontent.com/p/AF1QipPrpfEMJ25gnORGoSH0sl6bGckfbwr3g2sIFQ74=w224-h497-k-no
ChIJI3NIoQfq5zsRB-MBLk9zLj8,Jama Masjid Markaz,Dome,https://lh5.googleusercontent.com/p/AF1QipPNPeW4i8J30bkNnAZiMS3BiVT8xWukrWaJt8ZD=w224-h497-k-no
ChIJI3NIoQfq5zsRB-MBLk9zLj8,Jama Masjid Markaz,Videos,https://lh5.googleusercontent.com/p/AF1QipOrsqkx0WnkK9R0UTt8hTtxtVPMs3awXjxWLHVS=w283-h298-k-no
ChIJIxCRjbJmvzsRrDrTPVB32xc,Noorani Masjid (Qabaristan),All,https://lh5.googleusercontent.com/p/AF1QipMWUimNeWxlEa-9uT4Kwk6l-DYhxdgS0EUO6wy2=w529-h298-k-no
ChIJIxCRjbJmvzsRrDrTPVB32xc,Noorani Masjid (Qabaristan),Latest,https://lh5.googleusercontent.com/p/AF1QipP9B5GFGyxN6KYT32Ii8oKDoXqQHvi6tpGF4Ys3=w529-h298-k-no
