name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
At-Tin Great Mosque,Mosque,"At-Tin Great Mosque, Jl. Taman Mini I No.3, RW.3, Pinang Ranti, Makasar, East Jakarta City, Jakarta 13560, Indonesia","Pinang Ranti, Makasar","Jl. Taman Mini I No.3, RW.3",East Jakarta City,13560,Jakarta,ID,https://www.google.com/maps/place/At-Tin+Great+Mosque/data=!4m7!3m6!1s0x2e69ed604e6e96f9:0xa88a2a04e7af5329!8m2!3d-6.2977165!4d106.8841412!16s%2Fg%2F11b6gq69lj!19sChIJ-ZZuTmDtaS4RKVOv5wQqiqg?authuser=0&hl=en&rclk=1,"-6.2977165,106.8841412"
Jama Masjid Markaz,Mosque,"339Q+5RV Jama Masjid Markaz, Taloje Panchanand, Sector 40, Taloja, Navi Mumbai, Maharashtra 410210","Taloje Panchanand, Sector 40, Taloja",339Q+5RV,Navi Mumbai,410210,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+Markaz/data=!4m7!3m6!1s0x3be7ea07a1487323:0x3f2e734f2e01e307!8m2!3d19.0679973!4d73.0895417!16s%2Fg%2F1tf41f3t!19sChIJI3NIoQfq5zsRB-MBLk9zLj8?authuser=0&hl=en&rclk=1,"19.0679973,73.0895417"
Noorani Masjid (Qabaristan),Mosque,"VGC6+RX2 Noorani Masjid (Qabaristan), Ayodhya Nagar, Sadashiv Nagar, Belagavi, Karnataka 590019","Ayodhya Nagar, Sadashiv Nagar",VGC6+RX2,Belagavi,590019,Karnataka,IN,https://www.google.com/maps/place/Noorani+Masjid+%28Qabaristan%29/data=!4m7!3m6!1s0x3bbf66b28d911023:0x17db77503dd33aac!8m2!3d15.8720165!4d74.512383!16s%2Fg%2F11cm0c04w0!19sChIJIxCRjbJmvzsRrDrTPVB32xc?authuser=0&hl=en&rclk=1,"15.872016499999999,74.512383"
Nizamiya Jamiya Masjid Ahle Sunnatul Jamat,Mosque,"Nizamiya Jamiya Masjid Ahle Sunnatul Jamat, nizamiya chowk, Vadagoan, Belagavi, Karnataka 590005",Vadagoan,nizamiya chowk,Belagavi,590005,Karnataka,IN,https://www.google.com/maps/place/Nizamiya+Jamiya+Masjid+Ahle+Sunnatul+Jamat/data=!4m7!3m6!1s0x3bbf66f572594c19:0x61f0bd01faa8b97c!8m2!3d15.8307247!4d74.525182!16s%2Fg%2F11ggb4zg3s!19sChIJGUxZcvVmvzsRfLmo-gG98GE?authuser=0&hl=en&rclk=1,"15.8307247,74.525182"
Masjid-e-Ayesha,Mosque,"Masjid-e-Ayesha, Azad Nagar, Khanapur, Karnataka 591302",,Azad Nagar,"Khanapur, Halakarni",591302,Karnataka,IN,https://www.google.com/maps/place/Masjid-e-Ayesha/data=!4m7!3m6!1s0x3bbf6b87c13e5285:0xb934c52aeb5746ad!8m2!3d15.6554546!4d74.5012141!16s%2Fg%2F11bv2fgshy!19sChIJhVI-wYdrvzsRrUZX6yrFNLk?authuser=0&hl=en&rclk=1,"15.655454599999999,74.5012141"
Sunni Barkati Zama Masjid,Mosque,"GFMP+G85 Sunni Barkati Zama Masjid, Teni, Uttar Pradesh 261001",,GFMP+G85,Teni,261001,Uttar Pradesh,IN,https://www.google.com/maps/place/Sunni+Barkati+Zama+Masjid/data=!4m7!3m6!1s0x399ede437ddeee87:0xf5f903aaae792063!8m2!3d27.5337529!4d80.4858496!16s%2Fg%2F11f24tmlj5!19sChIJh-7efUPenjkRYyB5rqoD-fU?authuser=0&hl=en&rclk=1,"27.5337529,80.4858496"
Aminiya Masjid (Khanapura),Mosque,"Aminiya Masjid (Khanapura), Station Rd, Muslim Ningapur Gali, Khanapur, Karnataka 591302",,"Station Rd, Muslim Ningapur Gali",Khanapur,591302,Karnataka,IN,https://www.google.com/maps/place/Aminiya+Masjid+%28Khanapura%29/data=!4m7!3m6!1s0x3bbf6b5227b667ad:0x3ff46ea97b0f988a!8m2!3d15.6394146!4d74.5082931!16s%2Fg%2F11h1g5w406!19sChIJrWe2J1JrvzsRipgPe6lu9D8?authuser=0&hl=en&rclk=1,"15.639414599999999,74.5082931"
Al-mateen Masjid,Mosque,"VGVC+FMV Al-mateen Masjid, Vaibhav Nagar, Belagavi, Karnataka 590010",Vaibhav Nagar,VGVC+FMV,Belagavi,590010,Karnataka,IN,https://www.google.com/maps/place/Al-mateen+Masjid/data=!4m7!3m6!1s0x3bbf619801f170c1:0x4ca8724797b77137!8m2!3d15.8937253!4d74.5216836!16s%2Fg%2F11hz12x7sm!19sChIJwXDxAZhhvzsRN3G3l0dyqEw?authuser=0&hl=en&rclk=1,"15.8937253,74.5216836"
Noorani masjid,Mosque,"F2WX+7M3 Noorani masjid, Jamkhandi - Kudachi Rd, Terdal, Karnataka 587315",,"F2WX+7M3, Jamkhandi - Kudachi Rd",Terdal,587315,Karnataka,IN,https://www.google.com/maps/place/Noorani+masjid/data=!4m7!3m6!1s0x3bc73308609904f7:0x429a797c8100a2e8!8m2!3d16.4956288!4d75.0491782!16s%2Fg%2F11k88lj8by!19sChIJ9wSZYAgzxzsR6KIAgXx5mkI?authuser=0&hl=en&rclk=1,"16.4956288,75.0491782"
rhmtiyaa sunnii msjid ( RAHMATIYA SUNNI MASJID),Mosque,"rhmtiyaa sunnii msjid ( RAHMATIYA SUNNI MASJID), 136, Vengurla - Belgaum Rd, Hindalga, Belagavi, Hindalga, Karnataka 590001",Hindalga,"136, Vengurla - Belgaum Rd","Belagavi, Hindalga",590001,Karnataka,IN,https://www.google.com/maps/place/%E0%B2%B0%E0%B2%B9%E0%B2%AE%E0%B2%A4%E0%B2%BF%E0%B2%AF%E0%B2%BE+%E0%B2%B8%E0%B3%81%E0%B2%A8%E0%B3%8D%E0%B2%A8%E0%B3%80+%E0%B2%AE%E0%B2%B8%E0%B3%8D%E0%B2%9C%E0%B2%BF%E0%B2%A6%E0%B3%8D+%28+RAHMATIYA+SUNNI+MASJID%29/data=!4m7!3m6!1s0x3bbf6394b2ccabb5:0x428cb6fc65436772!8m2!3d15.876461!4d74.470785!16s%2Fg%2F11nwwszvrm!19sChIJtavMspRjvzsRcmdDZfy2jEI?authuser=0&hl=en&rclk=1,"15.876460999999999,74.47078499999999"
