place_id,place_name,about,link
ChIJLc2AeoK4qjsRHZ4ktrq5zD8,Tntj thanjai managara kilai marcus & maryam (alai) women islamic college,All,https://lh5.googleusercontent.com/p/AF1QipOXO5cMSBgqEhUtx_fxxZZARDvazbRObvZ0g2rN=w397-h298-k-no
ChIJBeK4_33HqjsRfgols-eHpc8,MADINA MASJID mtiinnnaa pllllivaacl,All,https://lh5.googleusercontent.com/p/AF1QipOecxBK0qfsJqx4dewlbGDOp1riS2BhohaLcWdP=w529-h298-k-no
ChIJBeK4_33HqjsRfgols-eHpc8,MADINA MASJID mtiinnnaa pllllivaacl,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D1dFPXfnrYk8a_Y2zXQ3gA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=62.384174&pitch=0&thumbfov=100
ChIJxQKXNTC_qjsRfTadwmRtMhg,Rahman Nagar Mosque,All,https://lh5.googleusercontent.com/p/AF1QipM6O1VhyMFzVC2xUwwQabw_Xno0NTjkHJ9rtqo=w224-h298-k-no
ChIJxQKXNTC_qjsRfTadwmRtMhg,Rahman Nagar Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipMt11TT3lSsBc5J7hsAfbq2yu3LvtDLYBvTibA=w397-h298-k-no
ChIJxQKXNTC_qjsRfTadwmRtMhg,Rahman Nagar Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hD_onNJbYISSZW_SLpa8gA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=132.72998&pitch=0&thumbfov=100
ChIJFUTZlUu_qjsRCG8z5B_2vLc,Tntj-markas Eswari Nagar Kilai,All,https://lh5.googleusercontent.com/p/AF1QipNOlJ8_ognfe4S2nCGTiHtKQU2u3D1c4ilp-IiB=w397-h298-k-no
ChIJFUTZlUu_qjsRCG8z5B_2vLc,Tntj-markas Eswari Nagar Kilai,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gt_upFJZrbETDkSkV14RTQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=286.72388&pitch=0&thumbfov=100
ChIJCwQnqp64qjsRaSbokir95AA,aattngkrai jummaa msjit- Aaththangkarai Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPSJKMoRoY0AiadZFuiwfJLHXHJPoX3ymRzWwvm=w224-h298-k-no
ChIJCwQnqp64qjsRaSbokir95AA,aattngkrai jummaa msjit- Aaththangkarai Jumma Masjid,Latest,https://lh5.googleusercontent.com/p/AF1QipPbWsX9UdcjlQNXE4SOO5JxlZYQN7em5XWws9Cw=w224-h398-k-no
