place_id,place_name,about,link
ChIJfwnNFx5BVToRM8EfbLxsCp4,Jami-ul-Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNy5ZMg-QhoxEBKUb3P-vpLtp2RMsWKU2ShPVo-=w398-h298-k-no
ChIJfwnNFx5BVToRM8EfbLxsCp4,Jami-ul-Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipNHG3n1DAWGueUkaCoFowpWknwy27lmPpSCPV3U=w224-h298-k-no
ChIJfwnNFx5BVToRM8EfbLxsCp4,Jami-ul-Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOOU7z3VS9GKTpe3nTZ3fdFhA9zQ-Wi0m2qQsPx=w529-h298-k-no
ChIJfwnNFx5BVToRM8EfbLxsCp4,Jami-ul-Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jnSy8dFKDkpDmeZU0hPihg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=126.05728&pitch=0&thumbfov=100
ChIJrwCeUCFHVToREHbZrFja18I,Masjidur Rahman Thiruvarur,All,https://lh5.googleusercontent.com/p/AF1QipOwX4elcGJnClDaUcN8ETlys0gY-L2WcZHmFbXT=w397-h298-k-no
ChIJrwCeUCFHVToREHbZrFja18I,Masjidur Rahman Thiruvarur,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipPhAdK7Jyrb4mha5tH5KHytqmxRj_Yff7iR8Tok=w224-h298-k-no-pi-20-ya349-ro-0-fo100
ChIJrwCeUCFHVToREHbZrFja18I,Masjidur Rahman Thiruvarur,Videos,https://lh5.googleusercontent.com/p/AF1QipM173aCC0k51GZFTkdT_QoLo-0S2Bv3d3cIpUsE=w529-h298-k-no
ChIJqTekjChHVToR1MgicJvELn0,Big mosque,All,https://lh5.googleusercontent.com/p/AF1QipO0Xtojmis_Fbq8-6Kaaf2a9nC0MZJZdHrk_vZ7=w224-h298-k-no
ChIJqTekjChHVToR1MgicJvELn0,Big mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipN22-h6COA-bhVKI8iOVSe2GHk1lBnLjC9e70Is=w224-h298-k-no
ChIJqTekjChHVToR1MgicJvELn0,Big mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipM1aWLArvTVOcOP-tgwWwwyHMDP2qut8edzGwoS=w529-h298-k-no
ChIJIdZ-ISZHVToRDB0kBYpFsTE,Chinna Palivasel,All,https://lh5.googleusercontent.com/p/AF1QipMRPxW1AaeRcJCnXP3h6wZuP8GkSra_S0L4XB7i=w224-h298-k-no
ChIJvzL1oVZHVToR9FsEd_PJ7vM,Kodikkalpalayam Muhaiyadeen Andavargal Pallivasal (Big Mosque),All,https://lh5.googleusercontent.com/p/AF1QipN57BD8safM3jEGsf8jz2WnAo6DvKZZp-B3CD_5=w224-h298-k-no
