place_id,place_name,about,link
ChIJy6GHLKVHUzoR-WwBq0imcZw,Masjid e Moosa,All,https://lh5.googleusercontent.com/p/AF1QipPm-yDLLlAFi1LZDyuForebajIdMNAm-nL8B7mr=w397-h298-k-no
ChIJy6GHLKVHUzoR-WwBq0imcZw,Masjid e Moosa,By owner,https://lh5.googleusercontent.com/p/AF1QipPpPOuhZL58S-Tr-3mbvhwbUQQnN8a6wH2_DrLA=w224-h298-k-no
ChIJZ0n5ZwU5UzoR6gCv0Pu16NE,Alhudha Masjid,All,https://lh5.googleusercontent.com/p/AF1QipObxcPDLlvXeeAqC6HZNqUN3PQG8i4TA4EyZRZP=w529-h298-k-no
ChIJ9StUjkxHUzoR0itimpfbza8,Gidangal Mosque,All,https://lh5.googleusercontent.com/p/AF1QipMCdbBWps8HeDJOJ6sxl7h2BORKxeuyOVjme15F=w397-h298-k-no
ChIJvcNJFsdAUzoRNb5jrokp2_A,Masjid-E-Nabavi (Mosque),All,https://lh5.googleusercontent.com/p/AF1QipOatRZ0I5cY8rCN4Qoo_Yr4KbD3lNvsraE-5uzg=w529-h298-k-no
ChIJvcNJFsdAUzoRNb5jrokp2_A,Masjid-E-Nabavi (Mosque),Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mNjfJzzeiuYqhjoTSiTL9w&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=182.57239&pitch=0&thumbfov=100
ChIJ7V2ttkhHUzoRIA3waO2pWOo,Mubarak Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMZ9WvzV4sG-MbacBw75d8SHncBpnTj5v7P41SV=w224-h398-k-no
ChIJ7V2ttkhHUzoRIA3waO2pWOo,Mubarak Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sPY50S-Eaxv4jj9cHsOEcw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.2075&pitch=0&thumbfov=100
ChIJ55VCAlVHUzoRZy3_5hHrShQ,Madhina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM_J_N8IFbB8mYSkZcjBou2KIVwrLALP4erom8p=w396-h298-k-no
ChIJQ71EVk1HUzoRQIvjPm5aPnA,New Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mGq3vhP1blIiLeMIsG9wPg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.64023&pitch=0&thumbfov=100
ChIJQ71EVk1HUzoRQIvjPm5aPnA,New Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mGq3vhP1blIiLeMIsG9wPg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.64023&pitch=0&thumbfov=100
ChIJIWMcI1NHUzoReiTaLjXL5UQ,Nawab Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qkLfezEFWwKqGUPnh6yk7Q&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=259.276&pitch=0&thumbfov=100
