name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid e Moosa,Mosque,"Masjid e Moosa, 26 & 27, Shawzadhi, Begum St, Avarapakkam, Tindivanam, Tamil Nadu 604001","MGR Nagar, Avarapakkam","26 & 27, Shawzadhi, Begum St",Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+e+Moosa/data=!4m7!3m6!1s0x3a5347a52c87a1cb:0x9c71a648ab016cf9!8m2!3d12.2411431!4d79.6438658!16s%2Fg%2F11q8wf9zwv!19sChIJy6GHLKVHUzoR-WwBq0imcZw?authuser=0&hl=en&rclk=1,"12.241143099999999,79.6438658"
Alhudha Masjid,Mosque,"7JW8+G29 Alhudha Masjid, Tindivanam - Vandavasi Rd, Govindapuram, Govidapuram, Tamil Nadu 604207",,"7JW8+G29, Tindivanam - Vandavasi Rd","Govindapuram, Govidapuram",604207,Tamil Nadu,IN,https://www.google.com/maps/place/Alhudha+Masjid/data=!4m7!3m6!1s0x3a53390567f94967:0xd1e8b5fbd0af00ea!8m2!3d12.2962978!4d79.6150996!16s%2Fg%2F11c5_gktry!19sChIJZ0n5ZwU5UzoR6gCv0Pu16NE?authuser=0&hl=en&rclk=1,"12.2962978,79.6150996"
Gidangal Mosque,Mosque,"6JGX+75M Gidangal Mosque, Gidangal 1, Tindivanam, Tamil Nadu 604001",Gidangal 1,6JGX+75M,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Gidangal+Mosque/data=!4m7!3m6!1s0x3a53474c8e542bf5:0xafcddb979a622bd2!8m2!3d12.2257218!4d79.6479262!16s%2Fg%2F1pp2x8qrw!19sChIJ9StUjkxHUzoR0itimpfbza8?authuser=0&hl=en&rclk=1,"12.225721799999999,79.6479262"
Masjid-E-Nabavi (Mosque),Mosque,"6M98+453 Masjid-E-Nabavi (Mosque), SH 134, Manoor, Tindivanam, Tamil Nadu 604001",Manoor,"6M98+453, SH 134",Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-E-Nabavi+%28Mosque%29/data=!4m7!3m6!1s0x3a5340c71649c3bd:0xf0db2989ae63be35!8m2!3d12.2177575!4d79.6654269!16s%2Fg%2F1pp2x8qmp!19sChIJvcNJFsdAUzoRNb5jrokp2_A?authuser=0&hl=en&rclk=1,"12.2177575,79.6654269"
Mubarak Masjid,Mosque,"6JFR+J2V Mubarak Masjid, Bootheri, Tindivanam, Tamil Nadu 604001",Bootheri,6JFR+J2V,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Mubarak+Masjid/data=!4m7!3m6!1s0x3a534748b6ad5ded:0xea58a9ed68f00d20!8m2!3d12.2241138!4d79.6400401!16s%2Fg%2F11ck69pvl8!19sChIJ7V2ttkhHUzoRIA3waO2pWOo?authuser=0&hl=en&rclk=1,"12.2241138,79.6400401"
Madhina Masjid,Mosque,"6JQX+J52 Madhina Masjid, Tindivanam, Tamil Nadu 604001",,6JQX+J52,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Madhina+Masjid/data=!4m7!3m6!1s0x3a534755024295e7:0x144aeb11e6ff2d67!8m2!3d12.239014!4d79.6478802!16s%2Fg%2F1pp2x8r22!19sChIJ55VCAlVHUzoRZy3_5hHrShQ?authuser=0&hl=en&rclk=1,"12.239014,79.6478802"
New Mosque,Mosque,"6JJX+5V2 New Mosque, Tindivanam, Tamil Nadu 604001",,6JJX+5V2,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/New+Mosque/data=!4m7!3m6!1s0x3a53474d5644bd43:0x703e5a6e3ee38b40!8m2!3d12.2303974!4d79.6496513!16s%2Fg%2F1tjt0c18!19sChIJQ71EVk1HUzoRQIvjPm5aPnA?authuser=0&hl=en&rclk=1,"12.2303974,79.6496513"
Nawab Masjid,Mosque,"6JMX+HJM Nawab Masjid, NH 66, Tindivanam, Tamil Nadu 604001",,"6JMX+HJM, NH 66",Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Nawab+Masjid/data=!4m7!3m6!1s0x3a534753231c6321:0x44e5cb352eda247a!8m2!3d12.2339588!4d79.6490483!16s%2Fg%2F1tgmtps1!19sChIJIWMcI1NHUzoReiTaLjXL5UQ?authuser=0&hl=en&rclk=1,"12.2339588,79.64904829999999"
Usmania Masjid,Mosque,"6JQV+2W9 Usmania Masjid, Sanjeevi Nagar, Tindivanam, Tamil Nadu 604001",Sanjeevi Nagar,6JQV+2W9,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Usmania+Masjid/data=!4m7!3m6!1s0x3a53475421989d15:0x17105df5c3c0c506!8m2!3d12.237536!4d79.6448593!16s%2Fg%2F1pp2xbp27!19sChIJFZ2YIVRHUzoRBsXAw_VdEBc?authuser=0&hl=en&rclk=1,"12.237535999999999,79.6448593"
Masjidh-E-Quba,Mosque,"6JCW+8GR Masjidh-E-Quba, Tindivanam, Tamil Nadu 604001",,6JCW+8GR,Tindivanam,604001,Tamil Nadu,IN,https://www.google.com/maps/place/Masjidh-E-Quba/data=!4m7!3m6!1s0x3a53474a414aba19:0x33792781117d140b!8m2!3d12.22086!4d79.6462672!16s%2Fg%2F11gfjr970p!19sChIJGbpKQUpHUzoRCxR9EYEneTM?authuser=0&hl=en&rclk=1,"12.22086,79.6462672"
