name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Srivari Mettu - Srinivasa Mangapuram,Hindu temple,"M86P+QWC Srivari Mettu - Srinivasa Mangapuram, Srinivasa Mangapuram Tirumala Rd, Tirupati, Andhra Pradesh 517504",,"M86P+QWC, Srinivasa Mangapuram Tirumala Rd",Tirupati,517504,Andhra Pradesh,IN,https://www.google.com/maps/place/Srivari+Mettu+-+Srinivasa+Mangapuram/data=!4m7!3m6!1s0x3bb2b5751669ab0b:0x65a0b5da561108f5!8m2!3d13.6619346!4d79.3372637!16s%2Fg%2F11c6w18cs5!19sChIJC6tpFnW1sjsR9QgRVtq1oGU?authuser=0&hl=en&rclk=1,"13.661934599999999,79.3372637"
Shri Varaha Swamy Temple,Hindu temple,"M8MX+X39 Shri Varaha Swamy Temple, Balaji Nagar, Tirumala, Tirupati, Andhra Pradesh 517504","Balaji Nagar, Tirumala",M8MX+X39,Tirupati,517504,Andhra Pradesh,IN,https://www.google.com/maps/place/Shri+Varaha+Swamy+Temple/data=!4m7!3m6!1s0x3bb2b56400000001:0x98fb44a3f9cbe8f8!8m2!3d13.6849119!4d79.3477234!16s%2Fg%2F11hb697_6m!19sChIJAQAAAGS1sjsR-OjL-aNE-5g?authuser=0&hl=en&rclk=1,"13.6849119,79.34772339999999"
Tirumala Annaprasadam,Food court,"M8PX+8PQ Tirumala Annaprasadam, Tirumala, Tirupati, Andhra Pradesh 517504",Tirumala,M8PX+8PQ,Tirupati,517504,Andhra Pradesh,IN,https://www.google.com/maps/place/Tirumala+Annaprasadam/data=!4m7!3m6!1s0x3bb2b57ea072dbed:0x2452be0097212ea2!8m2!3d13.6858491!4d79.349352!16s%2Fg%2F11j1mg_3r3!19sChIJ7dtyoH61sjsRoi4hlwC-UiQ?authuser=0&hl=en&rclk=1,"13.685849099999999,79.349352"
Swami Pushkarini,Hindu temple,"M8MX+Q52 Swami Pushkarini, Pushkarini St, Tirumala, Tirupathi, Tirupati, Andhra Pradesh 517504",Tirumala,"M8MX+Q52, Pushkarini St","Tirupathi, Tirupati",517504,Andhra Pradesh,IN,https://www.google.com/maps/place/Swami+Pushkarini/data=!4m7!3m6!1s0x3bb2ca9d5d48e667:0x279880e4eda37467!8m2!3d13.6843976!4d79.3478989!16s%2Fg%2F1trqfnjy!19sChIJZ-ZIXZ3KsjsRZ3Sj7eSAmCc?authuser=0&hl=en&rclk=1,"13.684397599999999,79.34789889999999"
TTD,Hindu temple,"M9M2+2H3 TTD, Balaji Nagar, Tirumala, Tirupati, Andhra Pradesh 517504","Balaji Nagar, Tirumala",M9M2+2H3,Tirupati,517504,Andhra Pradesh,IN,https://www.google.com/maps/place/TTD/data=!4m7!3m6!1s0x3bb2b5906e21bb37:0xc3d26111b5a3e30a!8m2!3d13.6825212!4d79.3514103!16s%2Fg%2F11j0yhnb7z!19sChIJN7shbpC1sjsRCuOjtRFh0sM?authuser=0&hl=en&rclk=1,"13.6825212,79.3514103"
Masjid E Rehmania,Mosque,"Masjid E Rehmania, 14-1-105, Nehru St, Mallaiah Gunta Katta, Tata Nagar, Tirupati, Andhra Pradesh 517501","Mallaiah Gunta Katta, Tata Nagar","14-1-105, Nehru St",Tirupati,517501,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+E+Rehmania/data=!4m7!3m6!1s0x3a4d4b063b75dd5b:0xcc3692f4c8574873!8m2!3d13.6306161!4d79.4214456!16s%2Fg%2F1tmphyf2!19sChIJW911OwZLTToRc0hXyPSSNsw?authuser=0&hl=en&rclk=1,"13.6306161,79.4214456"
Masjid-E-Muhammadia,Mosque,"FH29+9C2 Masjid-E-Muhammadia, Tirumala Nagar, Moula Ali, Secunderabad, Telangana 500040","Tirumala Nagar, Moula Ali",FH29+9C2,Secunderabad,500040,Telangana,IN,https://www.google.com/maps/place/Masjid-E-Muhammadia/data=!4m7!3m6!1s0x3bcb9c0a2e1331fb:0xd89afba78e141d45!8m2!3d17.4508937!4d78.568511!16s%2Fg%2F1hhwy23ht!19sChIJ-zETLgqcyzsRRR0Ujqf7mtg?authuser=0&hl=en&rclk=1,"17.450893699999998,78.568511"
Masjid E Khadeem,Mosque,"293, Masjid E Khadeem, P P, Chavadi St, Balaji Colony, Tirupati, Andhra Pradesh 517501",Balaji Colony,"293, P P, Chavadi St",Tirupati,517501,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+E+Khadeem/data=!4m7!3m6!1s0x3a4d4b1ac54c1fc1:0xa0ce83f31698385d!8m2!3d13.6314434!4d79.4135852!16s%2Fg%2F1pyqfy3ky!19sChIJwR9MxRpLTToRXTiYFvODzqA?authuser=0&hl=en&rclk=1,"13.6314434,79.4135852"
MASJID-E-QUBA,Mosque,"JC9Q+F8R MASJID-E-QUBA, Korramenugunta, Tirupati, Andhra Pradesh 517501",Korramenugunta,JC9Q+F8R,Tirupati,517501,Andhra Pradesh,IN,https://www.google.com/maps/place/MASJID-E-QUBA/data=!4m7!3m6!1s0x3a4d4b97de861729:0xa65410b3bfe34079!8m2!3d13.6187451!4d79.4382505!16s%2Fg%2F11f03zx2pn!19sChIJKReG3pdLTToReUDjv7MQVKY?authuser=0&hl=en&rclk=1,"13.6187451,79.4382505"
Masjid E Firdos Ahle Hadees,Mosque,"Masjid E Firdos Ahle Hadees, 13-5-531/f4a, 3rd Rd, Mallaiah Gunta Katta, Tata Nagar, Tirupati, Andhra Pradesh 517501","Mallaiah Gunta Katta, Tata Nagar","13-5-531/f4a, 3rd Rd",Tirupati,517501,Andhra Pradesh,IN,https://www.google.com/maps/place/Masjid+E+Firdos+Ahle+Hadees/data=!4m7!3m6!1s0x3a4d4b07834149dd:0x114cd4f0566ccea8!8m2!3d13.6324095!4d79.4246983!16s%2Fg%2F11c3x9nrgr!19sChIJ3UlBgwdLTToRqM5sVvDUTBE?authuser=0&hl=en&rclk=1,"13.6324095,79.4246983"
