place_id,place_name,about,link
ChIJDSi8occHqTsR6jJ6r7DrHc4,Masjidur Rahman Mosque (TNTJ),All,https://lh5.googleusercontent.com/p/AF1QipMyIN5p0PaUACIpp963kNIHbMtRCQZTvOq5rCrl=w397-h298-k-no
ChIJDSi8occHqTsR6jJ6r7DrHc4,Masjidur Rahman Mosque (TNTJ),By owner,https://lh5.googleusercontent.com/p/AF1QipOIO_7304PsS44LwTO2kLMcg4v63sc4ovYInIzR=w224-h397-k-no
ChIJaecCL78HqTsRwzAVXOcQ_ns,Big Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOXNkwtBpKMtNDd5cRsEnZusZJjm4Dy9On9UPU4=w397-h298-k-no
ChIJaecCL78HqTsRwzAVXOcQ_ns,Big Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0op5DjU3nge66t-Y-m6WlQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=13.710844&pitch=0&thumbfov=100
ChIJaecCL78HqTsRwzAVXOcQ_ns,Big Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOtbQA6itqnDGGYVkf3hD7q5w4Kbt8f7UkjSSX0=w541-h298-k-no
ChIJLy13kKUHqTsRt7Cz6ixDhrM,Kaderpet Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP1NXPtFQiau7Z-YlzXYs0U6lsgIDzox8oronjp=w224-h398-k-no
ChIJLy13kKUHqTsRt7Cz6ixDhrM,Kaderpet Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOdvo1d-8oBsXqxo-xGm6UyATBxmyXQCJci8vzk=w224-h398-k-no
ChIJyxWbO8EHqTsRkuaG2e6g71Y,Periya Thottam Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNVpaiXUUNaHwgEDli4pkw2uxC20Q7b4CT8GI9W=w529-h298-k-no
ChIJyxWbO8EHqTsRkuaG2e6g71Y,Periya Thottam Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jXRQ0I_7QVPemtLs7txOzA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=175.73369&pitch=0&thumbfov=100
ChIJyxWbO8EHqTsRkuaG2e6g71Y,Periya Thottam Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNSeUEmV9Ds2-4H8KJNnTOwgsiL4mwmMhUdxTUF=w224-h398-k-no
