place_id,place_name,about,link
ChIJmX35H_3OBjsRUqaLYZ2Q0gc,TNTJ Masjid Thowheed,All,https://lh5.googleusercontent.com/p/AF1QipOnY_JFfB9FlH0D5jvs4y6vDvjv7NvllGZSch0z=w224-h336-k-no
ChIJmX35H_3OBjsRUqaLYZ2Q0gc,TNTJ Masjid Thowheed,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6inoOxky_NM6p6MJN5ECyw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=207.45839&pitch=0&thumbfov=100
ChIJF0Krj6WLADsRDSYoNZmOg0M,Thirupputhur Periya Pallivasal,All,https://lh5.googleusercontent.com/p/AF1QipPJPip6DeI42809hNZlKgMNWQbnv9ipVM5qO0QU=w397-h298-k-no
ChIJF0Krj6WLADsRDSYoNZmOg0M,Thirupputhur Periya Pallivasal,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kI6rU1kT4fjPFlfYHWQxdQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=238.03883&pitch=0&thumbfov=100
ChIJJVARDv0oBzsRigVdV9_tCiQ,Jummah Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP-9v3Q_If8pXEOCNh8zVlVJuliiT-TbyjSGSMT=w397-h298-k-no
ChIJJVARDv0oBzsRigVdV9_tCiQ,Jummah Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4jjV_kx1w4dKH_DWzuRbBQ&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=76.56456&pitch=0&thumbfov=100
ChIJJVARDv0oBzsRigVdV9_tCiQ,Jummah Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNAiGnghVAy3jduD1CSBkzq1-eyy_CK5T1uTtEj=w529-h298-k-no
ChIJLWjFt2WyBjsRA2L_h3xdSUs,Town jaami jumma masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RrThe5Z1oH70ULQ2jDBLUg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=324.2199&pitch=0&thumbfov=100
ChIJLWjFt2WyBjsRA2L_h3xdSUs,Town jaami jumma masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RrThe5Z1oH70ULQ2jDBLUg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=324.2199&pitch=0&thumbfov=100
ChIJWw3owYc0ATsRHITVSraSzOo,Pudupatti Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipO4WxQi0V31hSNPTw0IrS7idQdDbxOzDXv43WPe=w397-h298-k-no
ChIJWw3owYc0ATsRHITVSraSzOo,Pudupatti Jumma Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMw2lq2XU_BaSNfX5AudihDnTgYBij-zdio0ka8=w224-h448-k-no
