place_id,place_name,about,link
ChIJ-RYeNsNvUjoRV_58YKZE0fw,MASJID-E-KHUDUS,All,https://lh5.googleusercontent.com/p/AF1QipNZpLDjtUFadQlyYAgLE5Ju1QEtCwQe0XVSjK0p=w224-h298-k-no
ChIJ-RYeNsNvUjoRV_58YKZE0fw,MASJID-E-KHUDUS,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0dRAL8PFPcWoli25NcmfyA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=239.37115&pitch=0&thumbfov=100
ChIJm-Qw7JVvUjoRwsxStTqo2-M,Jamia Mosque,All,https://lh3.googleusercontent.com/gps-proxy/AMy85WK4FQ3FqVZv5n1omei9PVTHYTmynOAQfIqOdy8gL5YBkpcUexgDvkTzOl88Ury1Slsn7CoAzk1N_HgP7t1v4MEySFqMeGVqAwcLhK5OlZpo1Bj4_AMOW1J5pWtN8xTuG693ge3_Uxsl4JkFZnMB2klhL6QLR8XbqJObDDsUWTtDI_fdQSCQywzJEWJsiQBMQmfBZ0I=w224-h298-k-no
ChIJm-Qw7JVvUjoRwsxStTqo2-M,Jamia Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tkKRNQHod88mOpqmhlQ9bw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=100.52982&pitch=0&thumbfov=100
ChIJbVTk4b1vUjoR9rC0yzoK8ik,JAQH Masjid Thiruvotriyur,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ERpIhPNhiGNZ5UNdF3JVzw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.10312&pitch=0&thumbfov=100
ChIJbVTk4b1vUjoR9rC0yzoK8ik,JAQH Masjid Thiruvotriyur,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ERpIhPNhiGNZ5UNdF3JVzw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=302.10312&pitch=0&thumbfov=100
ChIJy2hPLetvUjoRava9o7Q8lPI,Masjid AN-Noor,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W6xLpXdVk8Bg8D1f4kKjFg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=179.19057&pitch=0&thumbfov=100
ChIJy2hPLetvUjoRava9o7Q8lPI,Masjid AN-Noor,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=W6xLpXdVk8Bg8D1f4kKjFg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=179.19057&pitch=0&thumbfov=100
ChIJE-a4TcBvUjoRftv9N2GVitc,Kaladipet Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOQlA0BTAzqFeNm3Rlwdnf50Kuc6FcU71HMtFIp=w224-h298-k-no
ChIJE-a4TcBvUjoRftv9N2GVitc,Kaladipet Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m4IUe7NyydmvAl_ap_X6Cw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=92.244736&pitch=0&thumbfov=100
