name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Selvamaruthur Mosque,Mosque,"8VP4+V3R Selvamaruthur Mosque, Nanguneri - Uvari Rd, Thisayanvilai, Selvamaruthur, Tamil Nadu 627657",,"8VP4+V3R, Nanguneri - Uvari Rd","Thisayanvilai, Selvamaruthur",627657,Tamil Nadu,IN,https://www.google.com/maps/place/Selvamaruthur+Mosque/data=!4m7!3m6!1s0x3b047e61750cb3cd:0xc0da1f386e14aeae!8m2!3d8.3372345!4d77.8551561!16s%2Fg%2F11b70q9lq1!19sChIJzbMMdWF-BDsRrq4Ubjgf2sA?authuser=0&hl=en&rclk=1,"8.3372345,77.8551561"
Mohideen Jumma Mosque,Mosque,"8R7H+76P Mohideen Jumma Mosque, Pettaikulam, Tamil Nadu 627654",,8R7H+76P,Pettaikulam,627654,Tamil Nadu,IN,https://www.google.com/maps/place/Mohideen+Jumma+Mosque/data=!4m7!3m6!1s0x3b047de664d88a9f:0x71730a2bf5005c3!8m2!3d8.3132078!4d77.8280918!16s%2Fg%2F1pp2tkmrd!19sChIJn4rYZOZ9BDsRwwVQv6IwFwc?authuser=0&hl=en&rclk=1,"8.313207799999999,77.8280918"
Small Masjid msjd,Mosque,"Small Masjid msjd, Puthantharuvai, Thiruppaniputhantharuvai, Tamil Nadu 628656",,,"Puthantharuvai, Thiruppaniputhantharuvai",,Tamil Nadu,IN,https://www.google.com/maps/place/Small+Masjid+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3b03807eb8d42b39:0x17c678e434fd4199!8m2!3d8.3379597!4d77.9328535!16s%2Fg%2F1trvjv_1!19sChIJOSvUuH6AAzsRmUH9NOR4xhc?authuser=0&hl=en&rclk=1,"8.337959699999999,77.9328535"
Kumarapuram Mosque,Mosque,"8RVP+G55 Kumarapuram Mosque, Nanguneri - Uvari Rd, Kumarapuram, Tamil Nadu 627657",,"8RVP+G55, Nanguneri - Uvari Rd",Kumarapuram,627657,Tamil Nadu,IN,https://www.google.com/maps/place/Kumarapuram+Mosque/data=!4m7!3m6!1s0x3b047df111e26d47:0xab66eaa469e07382!8m2!3d8.343769!4d77.8354707!16s%2Fg%2F11f6gjfjv1!19sChIJR23iEfF9BDsRgnPgaaTqZqs?authuser=0&hl=en&rclk=1,"8.343769,77.8354707"
Muhyideen Masjid,Mosque,"8VM9+659 Muhyideen Masjid, Thisayanvilai, Tamil Nadu 627657",,8VM9+659,Thisayanvilai,,Tamil Nadu,IN,https://www.google.com/maps/place/Muhyideen+Masjid/data=!4m7!3m6!1s0x3b047f94d2b3a117:0x6916c46c80a44b19!8m2!3d8.3330453!4d77.8679816!16s%2Fg%2F11gnp472dv!19sChIJF6Gz0pR_BDsRGUukgGzEFmk?authuser=0&hl=en&rclk=1,"8.3330453,77.8679816"
Muhaithin Andavar Jumma Masjid,Mosque,"8RXW+P6V Muhaithin Andavar Jumma Masjid, Keeraikaranthattu, Tamil Nadu 627657",,8RXW+P6V,Keeraikaranthattu,,Tamil Nadu,IN,https://www.google.com/maps/place/Muhaithin+Andavar+Jumma+Masjid/data=!4m7!3m6!1s0x3b047ff41b9e5ad5:0xf11c92361cc7b436!8m2!3d8.3493552!4d77.8455454!16s%2Fg%2F11jgm2kmmj!19sChIJ1VqeG_R_BDsRNrTHHDaSHPE?authuser=0&hl=en&rclk=1,"8.3493552,77.84554539999999"
Masjid Sumayyah,Mosque,"8VMC+24J Masjid Sumayyah, Nanguneri - Uvari Rd, Thisayanvilai, Tamil Nadu 627657",,"8VMC+24J, Nanguneri - Uvari Rd",Thisayanvilai,627657,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Sumayyah/data=!4m7!3m6!1s0x3b047f4de451e6cd:0xed6ce1e854d7ebfb!8m2!3d8.3325848!4d77.8702529!16s%2Fg%2F11h_264qg_!19sChIJzeZR5E1_BDsR--vXVOjhbO0?authuser=0&hl=en&rclk=1,"8.3325848,77.8702529"
Moideen jumma masjid,Mosque,"8RXW+P74 Moideen jumma masjid, Keeraikaranthattu, Tamil Nadu 627657",,8RXW+P74,Keeraikaranthattu,,Tamil Nadu,IN,https://www.google.com/maps/place/Moideen+jumma+masjid/data=!4m7!3m6!1s0x3b047fad2229b22d:0x1d66676f0c9adcb2!8m2!3d8.3492675!4d77.8456985!16s%2Fg%2F11p_8hsdfc!19sChIJLbIpIq1_BDsRstyaDG9nZh0?authuser=0&hl=en&rclk=1,"8.3492675,77.8456985"
Ayankum mosque,Mosque,"8R5W+22W Ayankum mosque, Ayankulam, Tamil Nadu 627654",Ayankulam,8R5W+22W,,,Tamil Nadu,IN,https://www.google.com/maps/place/Ayankum+mosque/data=!4m7!3m6!1s0x3b047fc6a4b0083d:0x629e2ab08adea195!8m2!3d8.3076188!4d77.8450805!16s%2Fg%2F11f9yx6t2b!19sChIJPQiwpMZ_BDsRlaHeirAqnmI?authuser=0&hl=en&rclk=1,"8.3076188,77.8450805"
JUMMA PALLI,Mosque,"8R5W+C5C JUMMA PALLI, Navalady - Tisaiyanvilai Rd, Maniyankudi, Tamil Nadu 627654",,"8R5W+C5C, Navalady - Tisaiyanvilai Rd",Maniyankudi,627654,Tamil Nadu,IN,https://www.google.com/maps/place/JUMMA+PALLI/data=!4m7!3m6!1s0x3b047fd534b431a5:0x1aa1d6b6ba54129e!8m2!3d8.3085711!4d77.8453979!16s%2Fg%2F11fb0_6qmz!19sChIJpTG0NNV_BDsRnhJUurbWoRo?authuser=0&hl=en&rclk=1,"8.3085711,77.8453979"
