name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Markaz Jama Masjid Todabhim,Mosque,"WR96+MC8 Markaz Jama Masjid Todabhim, Todabhim, Rajasthan 321610",,WR96+MC8,Todabhim,321610,Rajasthan,IN,https://www.google.com/maps/place/Markaz+Jama+Masjid+Todabhim/data=!4m7!3m6!1s0x3972154e8cfc778f:0xbd6a5d63400a09f3!8m2!3d26.9191505!4d76.8110882!16s%2Fg%2F11bw5_cxcd!19sChIJj3f8jE4VcjkR8wkKQGNdar0?authuser=0&hl=en&rclk=1,"26.919150499999997,76.8110882"
Masjid-Al-Aqsa (Ansariyan) Todabhim,Mosque,"WR95+5Q9 Masjid-Al-Aqsa (Ansariyan) Todabhim, MDR63, Todabhim, Rajasthan 321611",,"WR95+5Q9, MDR63",Todabhim,321611,Rajasthan,IN,https://www.google.com/maps/place/Masjid-Al-Aqsa+%28Ansariyan%29+Todabhim/data=!4m7!3m6!1s0x3972154eda23c3a1:0x2ec2f8ccc3b002cf!8m2!3d26.9179229!4d76.8094888!16s%2Fg%2F1jkvqlrsr!19sChIJocMj2k4VcjkRzwKww8z4wi4?authuser=0&hl=en&rclk=1,"26.917922899999997,76.8094888"
Masjid-e-madarsa,Mosque,"WR96+GVV Masjid-e-madarsa, Todabhim, Rajasthan 321610",,WR96+GVV,Todabhim,321610,Rajasthan,IN,https://www.google.com/maps/place/Masjid-e-madarsa/data=!4m7!3m6!1s0x3972154e5cbcba01:0xb6461201fdce3c49!8m2!3d26.9188564!4d76.8121828!16s%2Fg%2F11ckr5mmp9!19sChIJAbq8XE4VcjkRSTzO_QESRrY?authuser=0&hl=en&rclk=1,"26.9188564,76.8121828"
MADINA MASJID,Mosque,"WR87+PCV MADINA MASJID, Todabhim, Rajasthan 321611",,WR87+PCV,Todabhim,321611,Rajasthan,IN,https://www.google.com/maps/place/MADINA+MASJID/data=!4m7!3m6!1s0x3972154fc39d5df1:0xfcd830ac80b33e97!8m2!3d26.9168669!4d76.8135373!16s%2Fg%2F11bxg57k6n!19sChIJ8V2dw08VcjkRlz6zgKww2Pw?authuser=0&hl=en&rclk=1,"26.9168669,76.8135373"
Noorani masjid,Mosque,"WRC6+777 Noorani masjid, Todabhim, Rajasthan 321610",,WRC6+777,Todabhim,,Rajasthan,IN,https://www.google.com/maps/place/Noorani+masjid/data=!4m7!3m6!1s0x3972153542cdea97:0xb5e8444725d73765!8m2!3d26.9206604!4d76.810671!16s%2Fg%2F11v17_1yv8!19sChIJl-rNQjUVcjkRZTfXJUdE6LU?authuser=0&hl=en&rclk=1,"26.9206604,76.810671"
Bilal masjid ansari mohalla,Mosque,"Bilal masjid ansari mohalla, Todabhim, Rajasthan 321611",,,Todabhim,,Rajasthan,IN,https://www.google.com/maps/place/Bilal+masjid+ansari+mohalla/data=!4m7!3m6!1s0x397215ee06952dbf:0x3061a0c109a0cdeb!8m2!3d26.9178566!4d76.808368!16s%2Fg%2F11kpz_59jh!19sChIJvy2VBu4VcjkR682gCcGgYTA?authuser=0&hl=en&rclk=1,"26.9178566,76.808368"
Masjid ke samne wali gali,Housing complex,"WR84+MQW Masjid ke samne wali gali, Todabhim, Rajasthan 321611",,WR84+MQW,Todabhim,321611,Rajasthan,IN,https://www.google.com/maps/place/Masjid+ke+samne+wali+gali/data=!4m7!3m6!1s0x397215bf4453b421:0x80018cda0a574be6!8m2!3d26.916801!4d76.8069411!16s%2Fg%2F11sx415r68!19sChIJIbRTRL8VcjkR5ktXCtqMAYA?authuser=0&hl=en&rclk=1,"26.916801,76.8069411"
Masjid Kotpada,Mosque,"WR87+7WM Masjid Kotpada, Todabhim, Rajasthan 321611",,WR87+7WM,Todabhim,,Rajasthan,IN,https://www.google.com/maps/place/Masjid+Kotpada/data=!4m7!3m6!1s0x39721599ed51b8e5:0xe3ac1e1715002753!8m2!3d26.9157191!4d76.8148092!16s%2Fg%2F11j8jzndz9!19sChIJ5bhR7ZkVcjkRUycAFRcerOM?authuser=0&hl=en&rclk=1,"26.9157191,76.8148092"
Bishan pura masjid,Mosque,"WVHC+8PQ Bishan pura masjid, Todabhim, Rajasthan 321611",,WVHC+8PQ,Todabhim,321611,Rajasthan,IN,https://www.google.com/maps/place/Bishan+pura+masjid/data=!4m7!3m6!1s0x39723f36aecff27d:0xf546b893c3631e65!8m2!3d26.9283482!4d76.8718623!16s%2Fg%2F11vf9_kw2c!19sChIJffLPrjY_cjkRZR5jw5O4RvU?authuser=0&hl=en&rclk=1,"26.9283482,76.87186229999999"
iidgaah ttoddaabhiim,Mosque,"WR82+PP5 iidgaah ttoddaabhiim, Makbara, Rajasthan 321611",,WR82+PP5,Makbara,,Rajasthan,IN,https://www.google.com/maps/place/%E0%A4%88%E0%A4%A6%E0%A4%97%E0%A4%BE%E0%A4%B9+%E0%A4%9F%E0%A5%8B%E0%A4%A1%E0%A4%BE%E0%A4%AD%E0%A5%80%E0%A4%AE/data=!4m7!3m6!1s0x397215db4c880f11:0x4e748a885336f8c0!8m2!3d26.9167606!4d76.8018526!16s%2Fg%2F11v156xcq9!19sChIJEQ-ITNsVcjkRwPg2U4iKdE4?authuser=0&hl=en&rclk=1,"26.9167606,76.80185259999999"
