place_id,place_name,about,link
ChIJjwPoXMDSHTkRHEPlj7ZTHns,Sailain Talab Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPKbYs6s7pIbFwFqrxeeRG8D5KQJ3Jln1CpsG6L=w288-h298-k-no
ChIJjwPoXMDSHTkRHEPlj7ZTHns,Sailain Talab Jama Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMyidm4aDuuqWrD22mvRp_1S_QbmiwoOkpP6C8h=w295-h298-k-no
ChIJv7aVuJbSHTkRzuIg9MecAUQ,Eid Gah Jama Masjid Udhampur,All,https://lh5.googleusercontent.com/p/AF1QipOQRGeKvLWDNPfKpLjhO8JP4IEbQ0W2pxU7PoMf=w397-h298-k-no
ChIJv7aVuJbSHTkRzuIg9MecAUQ,Eid Gah Jama Masjid Udhampur,Videos,https://lh5.googleusercontent.com/p/AF1QipPi22_-iGP3Lblu6lB8kMYgDaFc2_MBy1OTtDdy=w298-h298-k-no
ChIJQ2dFCbjTHTkRwyDB-OUzQvU,STN masjid Air Force station mosque,All,https://lh5.googleusercontent.com/p/AF1QipPUc57wt2ZAxoQY_WeinTLa2x4NjrQp-xgOMquG=w224-h298-k-no
ChIJNwN34DHTHTkRUraVS-QZ5cM,Jamia masjid railway udhampur,All,https://lh5.googleusercontent.com/p/AF1QipNJpBXjCHATBWvFTL1C-AtSfKxBb3awSO4qEeiU=w397-h298-k-no
ChIJNwN34DHTHTkRUraVS-QZ5cM,Jamia masjid railway udhampur,Videos,https://lh5.googleusercontent.com/p/AF1QipPQPaKz4F8fSpmvzhgyffOm5bq_H_Xto_7wjB6g=w224-h298-k-no
ChIJ84nfTcPTHTkRe9PiMu4tyAc,Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMvhueyKY5bL6dV4T0qOnYBs6kM5ovwgiIlJP8L=w529-h298-k-no
ChIJ-Y_kd97THTkRswz9vkicAXo,Masjid Shareef,All,https://lh5.googleusercontent.com/p/AF1QipPc9fhQhVxjCsjlhqn5oNMnBoR4OZccsp33ptRP=w529-h298-k-no
ChIJfz4D7_TTHTkRW5-p1DKU5c0,Zama masjid baddali,All,https://lh5.googleusercontent.com/p/AF1QipOFQjYsu5O9eJ1tE09tCVKVUTNKv_mRwy4mlepB=w397-h298-k-no
