place_id,place_name,about,link
ChIJu1brwexClzkRcZdr1NXDgxk,Badi Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPxIgKuA9cpLhjU6Ug_MLLDCprib8SojoEHlVgN=w224-h298-k-no
ChIJu1brwexClzkRcZdr1NXDgxk,Badi Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMEJMllzAiws-NtZK_OiPsegqnMB1-DMFZ9hg8c=w298-h298-k-no
ChIJBXYOm-5ClzkRtrHz0OugIoA,Chand Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPj9reyRg4MZnKjNnlYXTyp67r1yEBVPyJsEoPA=w224-h298-k-no
ChIJBXYOm-5ClzkRtrHz0OugIoA,Chand Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3jIjGWl8Pf_aIg6-H3GJOw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=255.022&pitch=0&thumbfov=100
ChIJCSJSm_FClzkRbTLFvrj4sAI,Shahjaani Shah Dargah And Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOErf1nK5tsSX8EgPjfbhzmmeNEeikEiyFRdiLM=w298-h298-k-no
ChIJCSJSm_FClzkRbTLFvrj4sAI,Shahjaani Shah Dargah And Mosque,Dome,https://lh5.googleusercontent.com/p/AF1QipPeK5KZ5rL7fbTwYc8B6FzIj9D3M-mgAzbLsFTW=w397-h298-k-no
ChIJCSJSm_FClzkRbTLFvrj4sAI,Shahjaani Shah Dargah And Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipMQ2dO-cJJuMV_zAqGBkude3ojDsB3zyyWAlM25=w224-h298-k-no
ChIJ82h5LO1ClzkRsAZw0ubt-_c,Madina Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMI1cZe1mxY0ShY97t2qemU3LEUaHDfHTs1Xw_g=w224-h398-k-no
ChIJ82h5LO1ClzkRsAZw0ubt-_c,Madina Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMI1cZe1mxY0ShY97t2qemU3LEUaHDfHTs1Xw_g=w224-h398-k-no
ChIJrx3nGelClzkRrqeSYEXh3OE,Ghausia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOakOI8q3C8V5UGT8Ssy2K962qNkSKM5Rj9MC02=w596-h298-k-no
ChIJrx3nGelClzkRrqeSYEXh3OE,Ghausia Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipMeAWpoV6IxiSJBOPZVufPHwLhRDx1WBw86lYAD=w397-h298-k-no
ChIJRZ5LjbhClzkRp79fGyjPexs,Masjid-e-Ali,All,https://lh5.googleusercontent.com/p/AF1QipOWDdAGhsFTt8XizKsytSR_spy8NNy2r-ZdUCw=w550-h298-k-no
ChIJRZ5LjbhClzkRp79fGyjPexs,Masjid-e-Ali,Dome,https://lh5.googleusercontent.com/p/AF1QipNLvswgPYlQQf7zmdQh-3fbjiMam-XAUTu2xx0=w303-h298-k-no
ChIJg7BZEFBDlzkRy8FTlnHyrPo,Noori Masjid Gokuli,All,https://lh5.googleusercontent.com/p/AF1QipP_iEvp0SHVV6Jd8Cnfr1l7NnO5xyXircolo6o9=w224-h485-k-no
ChIJkT8-Uu1ClzkRBBFGWAD1Xl8,Jama Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMqiMAXczQx_SeMObQ1z_9x4wXEz7gYRbmHVJn-=w529-h298-k-no
ChIJ_____-xClzkRTgk-7fP1RSY,Jama MASJID UTRAULA,All,https://lh5.googleusercontent.com/p/AF1QipMRZABdZWmAtOudt7mWRefFcg5KOnxWW-LgOcv4=w224-h407-k-no
ChIJ_____-xClzkRTgk-7fP1RSY,Jama MASJID UTRAULA,Videos,https://lh5.googleusercontent.com/p/AF1QipO-9MMvqUjkLaSbJ61GOkagoGuoTK8gN4x0Go8W=w224-h398-k-no
ChIJ3z4Ki-xClzkROxNS6fqzf-I,Taseen Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOdcdwcZKzfg3cacPtFdmfdfErGSPfJm8ceVK7g=w436-h298-k-no
ChIJ3z4Ki-xClzkROxNS6fqzf-I,Taseen Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOdcdwcZKzfg3cacPtFdmfdfErGSPfJm8ceVK7g=w436-h298-k-no
ChIJ3z4Ki-xClzkROxNS6fqzf-I,Taseen Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipNPz0hBZfX09Fi3t1QQnlmywBtNDWw-IeHDbk-C=w224-h398-k-no
ChIJpWdqxk9DlzkRRi1JNfgj6JE,Bashir Masjid,All,https://lh5.googleusercontent.com/p/AF1QipPpeihYNzqsO4xlmQK-3gev-w2vylFU4j8LX22z=w224-h299-k-no
ChIJpWdqxk9DlzkRRi1JNfgj6JE,Bashir Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipOfbDuJnIDlAiwfV-Heu_2C1lQ0-UXwbq0oRxae=w298-h298-k-no
ChIJpWdqxk9DlzkRRi1JNfgj6JE,Bashir Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOPSufXsjKzYbIkDR24ow4oMQqfdm9wl8LajXi7=w224-h399-k-no
ChIJzRFTfe1ClzkR5ByXekR8K00,Noori Masjid,All,https://lh5.googleusercontent.com/p/AF1QipMFrZxspPJ6s3gooXEkVTYx7iCHXacg0-qvocSU=w224-h298-k-no
ChIJB2HQSYNdlzkRfRpoWIibq40,RAZA MASJID(Mosque)Tedhwa yema,All,https://lh5.googleusercontent.com/p/AF1QipOL_8Xj2m-5_ivOcc1RdbhtX1JLcmQ69roiefZp=w397-h298-k-no
