place_id,place_name,about,link
ChIJf3qXPQvtCDkRfKz_XAQ7taY,Yoga Niketan Trust,All,https://lh5.googleusercontent.com/p/AF1QipNO3cUApkLLf505npxMFDAuOQ_SARPPLaPVFCav=w224-h497-k-no
ChIJeUl3NjvtCDkRv8D8uJhMSaM,Shree Kashi Vishwanath Temple Uttarkashi,All,https://lh5.googleusercontent.com/p/AF1QipPnDZLWN11CZzNY9MLT8nBQBC-uJRueI654Wq0R=w444-h298-k-no
ChIJeUl3NjvtCDkRv8D8uJhMSaM,Shree Kashi Vishwanath Temple Uttarkashi,Latest,https://lh5.googleusercontent.com/p/AF1QipOJSIfF6Qqeuuh4R6UuDY-HywLdnm4bvU6m5AVj=w224-h497-k-no
ChIJeUl3NjvtCDkRv8D8uJhMSaM,Shree Kashi Vishwanath Temple Uttarkashi,Videos,https://lh5.googleusercontent.com/p/AF1QipO0zi1--99Y6l-arLfdtV9I0VXLrKtLIOQNJKYe=w224-h398-k-no
ChIJeUl3NjvtCDkRv8D8uJhMSaM,Shree Kashi Vishwanath Temple Uttarkashi,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMfDpZ6M_P2W_ok_AqJ4CkscwmQYwa6lbRuDXhX=w224-h298-k-no-pi-0-ya220-ro0-fo100
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",All,https://lh5.googleusercontent.com/p/AF1QipPuTgYZKoMPMLCZy8Bnwtq2D5wPE1lnaQ8yInC3=w397-h298-k-no
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",Latest,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MpMdXN7OdwEjTn_ywydeqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=202.6027&pitch=0&thumbfov=100
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",Videos,https://lh5.googleusercontent.com/p/AF1QipM-ibySQJV0qOkJmeRpw67NQ2UQkXiDFi5hGGsn=w529-h298-k-no
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",Exterior,https://lh5.googleusercontent.com/p/AF1QipMWsI94vkkWsdt5TeBNTXFhdwLR3L_qBgkdV4U1=w447-h298-k-no
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",Food & drink,https://lh5.googleusercontent.com/p/AF1QipOPpNGV42i7pe4tmAhjn0XAe2Om_mffNjBygIyV=w224-h398-k-no
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",From visitors,https://lh5.googleusercontent.com/p/AF1QipNMMGvpTGmoY_8MTxu6ZG126qXWT0VxyDHupaYu=w397-h298-k-no
ChIJgQCvUyTtCDkRJw_Xs0o3-oU,"Birla Dharamshala, Uttarkashi",Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MpMdXN7OdwEjTn_ywydeqw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=202.6027&pitch=0&thumbfov=100
ChIJiwUzNyTtCDkRC7wIresfX98,Kali Kamli Dharamshala,All,https://lh5.googleusercontent.com/p/AF1QipMHx9t59Ql4p0Lbpd6i5eT2PbjwNwOqcgkhnhHe=w224-h298-k-no
ChIJiwUzNyTtCDkRC7wIresfX98,Kali Kamli Dharamshala,Exterior,https://lh5.googleusercontent.com/p/AF1QipPN7eH6aGAhCwBAxpn-K0pyN0HE3iZNXfDzCyTY=w529-h298-k-no
ChIJiwUzNyTtCDkRC7wIresfX98,Kali Kamli Dharamshala,Videos,https://lh5.googleusercontent.com/p/AF1QipMiUvdLbxnw17Y2rAhJbVUcEzEWnsFZL0T8J5XP=w224-h398-k-no
ChIJiwUzNyTtCDkRC7wIresfX98,Kali Kamli Dharamshala,From visitors,https://lh5.googleusercontent.com/p/AF1QipO_FVyM3IUtKhMMXbduqpAp4uJ0GHF1gAuqkbMH=w529-h298-k-no
ChIJ-f7nNTvtCDkRsoj109UoU7U,Shakti Temple,All,https://lh5.googleusercontent.com/p/AF1QipNtBtdU6t05kxdf4KFYnZVXuPA3df6yhK18sJL-=w397-h298-k-no
ChIJ-f7nNTvtCDkRsoj109UoU7U,Shakti Temple,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipOEKKqC2_IN-O3hLcCiQdYkvh7g8jYjWs7PoBm7=w224-h298-k-no-pi-8.553055-ya112.684875-ro-0-fo100
ChIJ-f7nNTvtCDkRsoj109UoU7U,Shakti Temple,Videos,https://lh5.googleusercontent.com/p/AF1QipMEnhnH2Iu8uZ5aZozsxLoDX8YB6sCpFX7Nacu7=w644-h298-k-no
ChIJc49IzaDtCDkRZkPogQsVUmw,Kamala Bhavan Cottage,All,https://lh5.googleusercontent.com/p/AF1QipM14oVpzfVg5zdNlccXki3xr_MH1-Fd9wKR7MfD=w397-h298-k-no
