name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Jama Masjid,Mosque,"Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi",,Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x390cfd18df89b215:0xdd57369e29bf9d96!8m2!3d28.6506792!4d77.2334421!16zL20vMDR5emo1!19sChIJFbKJ3xj9DDkRlp2_KZ42V90?authuser=0&hl=en&rclk=1,"28.6506792,77.23344209999999"
Karim's Hotel Pvt. Ltd.,Mughlai restaurant,"Karim's Hotel Pvt. Ltd., 16, Gali Kababian, Jama Masjid, Old Delhi, Delhi, 110006","Jama Masjid, Old Delhi","16, Gali Kababian",Delhi,110006,Delhi,IN,https://www.google.com/maps/place/Karim%27s+Hotel+Pvt.+Ltd./data=!4m7!3m6!1s0x390cfd18c7d52fcb:0x3d7dc47ed575713d!8m2!3d28.6494961!4d77.2337642!16s%2Fg%2F11f2rw76w9!19sChIJyy_Vxxj9DDkRPXF11X7EfT0?authuser=0&hl=en&rclk=1,"28.6494961,77.2337642"
Bikanervala,Family restaurant,"Bikanervala, 7,Masjid Moth ,GK-II Savitri Cinema Main Road,, New Delhi, Delhi 110048","Greater Kailash Part 3, Greater Kailash","7,Masjid Moth ,GK-II Savitri Cinema Main Road,",New Delhi,110048,Delhi,IN,https://www.google.com/maps/place/Bikanervala/data=!4m7!3m6!1s0x390ce22b17e2d781:0x40c5f102209b866c!8m2!3d28.5374253!4d77.2389712!16s%2Fg%2F11cmr0t9q8!19sChIJgdfiFyviDDkRbIabIALxxUA?authuser=0&hl=en&rclk=1,"28.5374253,77.2389712"
Carnatic Cafe,South Indian restaurant,"Ground Shop No, Carnatic Cafe, M-21, Inder Mohan Bhardwaj Marg, Block M, Greater Kailash II, Greater Kailash, New Delhi, Delhi 110048","Block M, Greater Kailash II, Greater Kailash","Ground Shop No, M-21, Inder Mohan Bhardwaj Marg",New Delhi,110048,Delhi,IN,https://www.google.com/maps/place/Carnatic+Cafe/data=!4m7!3m6!1s0x390ce17fddd3c699:0x95c5b305d99393d2!8m2!3d28.5336578!4d77.2421822!16s%2Fg%2F11bwh9wdns!19sChIJmcbT3X_hDDkR0pOT2QWzxZU?authuser=0&hl=en&rclk=1,"28.5336578,77.2421822"
McDonald's,Fast food restaurant,"McDonald's, Commercial Complex-II, Kumar Theatre, 1888-89, Chandni Chowk Rd, Chhippy Wada, New Delhi, Delhi 110006","Chhippy Wada, Chandni Chowk","Commercial Complex-II, Kumar Theatre, 1888-89, Chandni Chowk Rd","New Delhi, Delhi",110006,Delhi,IN,https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x390cfd1f1ff86e63:0x6869048a65ebc571!8m2!3d28.656312!4d77.2340805!16s%2Fg%2F1xpwh4rh!19sChIJY274Hx_9DDkRccXrZYoEaWg?authuser=0&hl=en&rclk=1,"28.656312,77.23408049999999"
Sagar Ratna,South Indian restaurant,"Shop No 27, E, Sagar Ratna, Block Local Market, Inder Mohan Bhardwaj Marg, Greater Kailash Part 3, Masjid Moth, Greater Kailash, New Delhi, Delhi 110048","Greater Kailash Part 3, Masjid Moth, Greater Kailash","Shop No 27, E, Block Local Market, Inder Mohan Bhardwaj Marg",New Delhi,110048,Delhi,IN,https://www.google.com/maps/place/Sagar+Ratna/data=!4m7!3m6!1s0x390ce22b11117e8d:0x219477ad7025b937!8m2!3d28.5376639!4d77.2391646!16s%2Fg%2F1hhw3_fjx!19sChIJjX4RESviDDkRN7klcK13lCE?authuser=0&hl=en&rclk=1,"28.5376639,77.2391646"
McDonald's India,Fast food restaurant,"McDonald's India, Terminal 3, D-40, Food Court, Domestic Terminal of, Delhi 110037",,"Terminal 3, D-40, Food Court, Domestic Terminal of",Delhi,110037,Delhi,IN,https://www.google.com/maps/place/McDonald%27s+India/data=!4m7!3m6!1s0x390d1b9a2290f06d:0x59432371c9c1a851!8m2!3d28.5557252!4d77.0994622!16s%2Fg%2F11bwq90270!19sChIJbfCQIpobDTkRUajByXEjQ1k?authuser=0&hl=en&rclk=1,"28.555725199999998,77.09946219999999"
Le Calicut,Kerala restaurant,"Le Calicut, F 117, Pankha Rd, Jivan Park, Uttam Nagar, Delhi, 110059","Jivan Park, Uttam Nagar","F 117, Pankha Rd",Delhi,110059,Delhi,IN,https://www.google.com/maps/place/Le+Calicut/data=!4m7!3m6!1s0x390d0566c787046d:0x458c7f555a076d18!8m2!3d28.6205442!4d77.070182!16s%2Fg%2F11fb0cjmcx!19sChIJbQSHx2YFDTkRGG0HWlV_jEU?authuser=0&hl=en&rclk=1,"28.620544199999998,77.070182"
Goli Vada Pav,Dessert shop,"Goli Vada Pav, G2 Specific Mall, Karkunj Road, Near Dominos, Jama Masjid, Sheb Bazar, Mantola, Agra, Uttar Pradesh 282003","Jama Masjid, Sheb Bazar, Mantola","G2 Specific Mall, Karkunj Road, Near Dominos",Agra,282003,Uttar Pradesh,IN,https://www.google.com/maps/place/Goli+Vada+Pav/data=!4m7!3m6!1s0x3974778d9cabf82d:0x49a4ea6393662cf!8m2!3d27.1828778!4d78.0166125!16s%2Fg%2F1q6j7h0mp!19sChIJLfirnI13dDkRz2I2OaZOmgQ?authuser=0&hl=en&rclk=1,"27.1828778,78.0166125"
Khana Khazana Restaurant,Indian restaurant,"Khana Khazana Restaurant, TA-61, Main Road, Tughlakabad Extension, Okhla, New Delhi, Delhi 110044","Tughlakabad Extension, Okhla","TA-61, Main Road",New Delhi,110044,Delhi,IN,https://www.google.com/maps/place/Khana+Khazana+Restaurant/data=!4m7!3m6!1s0x390ce166716e90e5:0x2fde6e3b5822a4!8m2!3d28.5260163!4d77.2583568!16s%2Fg%2F1tg5x_ts!19sChIJ5ZBucWbhDDkRpCJYO27eLwA?authuser=0&hl=en&rclk=1,"28.5260163,77.2583568"
