place_id,place_name,about,link
ChIJAQAAAF32qDsRA6XBPVAS_4I,NGGO Colony Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNKGgKObvmkYS9z6plsDmfxl6FHIUqFN9TxKkLf=w224-h298-k-no
ChIJAQAAAF32qDsRA6XBPVAS_4I,NGGO Colony Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMPungi5YXiufn-aeGOog6CJ5EtHVN4L3dVULbe=w285-h298-k-no
ChIJAQAAAF32qDsRA6XBPVAS_4I,NGGO Colony Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p8s7NEo5TEFxHthk3Hp5Nw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=240.99298&pitch=0&thumbfov=100
ChIJ7xUPJyJZqDsR_pOBPoR9ZHQ,TNAU Masjid msjd,All,https://lh5.googleusercontent.com/p/AF1QipNh6io6c-TOo04m4tibaD_58i7g2rY7pAmZAEts=w529-h298-k-no
ChIJ7xUPJyJZqDsR_pOBPoR9ZHQ,TNAU Masjid msjd,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipM4FVPBZ67dvex0wPVrhtHXFXO66Lnx2u0t291j=w224-h298-k-no-pi-20-ya94.00001-ro-0-fo100
ChIJ7xUPJyJZqDsR_pOBPoR9ZHQ,TNAU Masjid msjd,Videos,https://lh5.googleusercontent.com/p/AF1QipOtcEVoHJjl79zZcYsVOG0DRPTK1TQdMwgzQXaN=w529-h298-k-no
ChIJneURVkD2qDsRy5l58mKtHIU,Thudiyalur Mosque,All,https://lh5.googleusercontent.com/p/AF1QipOdFhoCHc4cjj3OHDGGMwxjAzdRJskWZ6VC2ZEJ=w224-h398-k-no
ChIJneURVkD2qDsRy5l58mKtHIU,Thudiyalur Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MPTSjHXgOOV44--Kp3JMkA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=217.7972&pitch=0&thumbfov=100
ChIJ9xyURjMGqjsRFoWGI_z4Otg,Jumma Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN0Q5BCxLQJNuDU__ybd5Ez7gc7X6Buj4rc8428=w224-h298-k-no
ChIJ9xyURjMGqjsRFoWGI_z4Otg,Jumma Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7GcckdR21s8TVNNbi9nHmA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=136.88474&pitch=0&thumbfov=100
ChIJGwfZc_2qADsRP17YN8rO4k8,Hasanathpuram Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN_x18-keZBv8QIEtOBlLhIRdJIKcHzZQgKwtdy=w397-h298-k-no
ChIJGwfZc_2qADsRP17YN8rO4k8,Hasanathpuram Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z-PK2PFUgC7LZ0RkhDyM6g&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=237.77687&pitch=0&thumbfov=100
ChIJs11cN_MCqjsR_zSG69v5Q3A,Masjid-E- Thaqvaa,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VnUbvZrY3S5Gf0TBlFgMaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.59845&pitch=0&thumbfov=100
ChIJs11cN_MCqjsR_zSG69v5Q3A,Masjid-E- Thaqvaa,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VnUbvZrY3S5Gf0TBlFgMaw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.59845&pitch=0&thumbfov=100
ChIJfRcmOvr3qDsRilSxQXpFklM,TNTJ tuttiyluur killai,All,https://lh5.googleusercontent.com/p/AF1QipNJC9nmFZo--BT9bQdkBxZpjGz0J87D3uiB3o32=w529-h298-k-no
ChIJfRcmOvr3qDsRilSxQXpFklM,TNTJ tuttiyluur killai,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_F5URc7vvhTGk_wGmxoPdA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=26.845787&pitch=0&thumbfov=100
ChIJZUdFCEP2qDsRXfTtVo1VAw8,Hidayathullah Sunnat-Wal-Jamath Mosque,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p8s7NEo5TEFxHthk3Hp5Nw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.9681&pitch=0&thumbfov=100
ChIJZUdFCEP2qDsRXfTtVo1VAw8,Hidayathullah Sunnat-Wal-Jamath Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p8s7NEo5TEFxHthk3Hp5Nw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=233.9681&pitch=0&thumbfov=100
