name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Masjid-e-firdose mosque vaniyambadi,Mosque,"Masjid-e-firdose mosque vaniyambadi, PMO Ln, Chennampet, Vaniyambadi, Tamil Nadu 635751",Chennampet,PMO Ln,Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-firdose+mosque+vaniyambadi/data=!4m7!3m6!1s0x3bada9c5129a9323:0x7d02c87558ca2c0d!8m2!3d12.6832425!4d78.6091525!16s%2Fg%2F11fkmxthnb!19sChIJI5OaEsWprTsRDSzKWHXIAn0?authuser=0&hl=en&rclk=1,"12.683242499999999,78.6091525"
Masjid-e-Khaderpet,Mosque,"MJJC+4H3 Masjid-e-Khaderpet, SH 130, Vaniyambadi, Tamil Nadu 635751",Vaniyambadi,"MJJC+4H3, SH 130",Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid-e-Khaderpet/data=!4m7!3m6!1s0x3bada9a35fb7bc35:0xcd05c54bc490d3da!8m2!3d12.6802741!4d78.6214276!16s%2Fg%2F1thd53m2!19sChIJNby3X6OprTsR2tOQxEvFBc0?authuser=0&hl=en&rclk=1,"12.6802741,78.62142759999999"
Masjid e Jadeed( msjdjdyd),Mosque,"Masjid e Jadeed( msjdjdyd), 22, Iqbal Rd, Kattankudy, Muslimpur, Basheerabad, Vaniyambadi, Tamil Nadu 635751","Kattankudy, Muslimpur, Basheerabad","22, Iqbal Rd",Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+e+Jadeed%28+%D9%85%D8%B3%D8%AC%D8%AF%D8%AC%D8%AF%DB%8C%D8%AF%29%E2%80%AD/data=!4m7!3m6!1s0x3bada99f927211e5:0x651c1bbd76566d66!8m2!3d12.6736685!4d78.6131205!16s%2Fg%2F1vs1q992!19sChIJ5RFykp-prTsRZm1Wdr0bHGU?authuser=0&hl=en&rclk=1,"12.6736685,78.6131205"
Fort Masjid (Qilla Masjid),Mosque,"MJJ6+FR5 Fort Masjid (Qilla Masjid), Banki Reve Street, Fort, Shakirabad, Vaniyambadi, Tamil Nadu 635751","Fort, Shakirabad","MJJ6+FR5, Banki Reve Street",Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Fort+Masjid+%28Qilla+Masjid%29/data=!4m7!3m6!1s0x3bada9a7437ef4a1:0x4a1c9758217d60ed!8m2!3d12.6811275!4d78.6121015!16s%2Fg%2F1vyxgvt9!19sChIJofR-Q6eprTsR7WB9IViXHEo?authuser=0&hl=en&rclk=1,"12.681127499999999,78.6121015"
Shakirabad Masjid,Mosque,"MJG6+GG7 Shakirabad Masjid, Munni Aachari St, Muslimpur, Basheerabad, Vaniyambadi, Tamil Nadu 635751","Muslimpur, Basheerabad","MJG6+GG7, Munni Aachari St",Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Shakirabad+Masjid/data=!4m7!3m6!1s0x3bada90a9c554783:0xe137d5f194d36ab!8m2!3d12.6762988!4d78.6113084!16s%2Fg%2F1tfq32j7!19sChIJg0dVnAqprTsRqzZNGV99Ew4?authuser=0&hl=en&rclk=1,"12.6762988,78.6113084"
Al Huda Masjid,Mosque,"Al Huda Masjid, Al Huda Complex, Fort, Shakirabad, Vaniyambadi, Tamil Nadu 635751","Fort, Shakirabad",Al Huda Complex,Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Al+Huda+Masjid/data=!4m7!3m6!1s0x3bada90a447176fb:0x609380ac82517129!8m2!3d12.6781301!4d78.6097041!16s%2Fg%2F1hm5jksmr!19sChIJ-3ZxRAqprTsRKXFRgqyAk2A?authuser=0&hl=en&rclk=1,"12.678130099999999,78.6097041"
Newtown Masjid,Mosque,"MJGG+468 Newtown Masjid, New Town, Vaniyambadi, Tamil Nadu 635751",New Town,MJGG+468,Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Newtown+Masjid/data=!4m7!3m6!1s0x3bada9bd7f109161:0xa274fd958248e24d!8m2!3d12.6752809!4d78.625577!16s%2Fg%2F11r8w0lnz!19sChIJYZEQf72prTsRTeJIgpX9dKI?authuser=0&hl=en&rclk=1,"12.675280899999999,78.62557699999999"
Taqwa Masjid,Mosque,"Taqwa Masjid, Basheerabad, Vaniyambadi, Tamil Nadu 635751",Basheerabad,Taqwa Masjid,Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Taqwa+Masjid/data=!4m7!3m6!1s0x3bada9750e2c6a89:0x72c1263cc569336!8m2!3d12.6722135!4d78.6094891!16s%2Fg%2F1vm78x5h!19sChIJiWosDnWprTsRNpNWzGMSLAc?authuser=0&hl=en&rclk=1,"12.6722135,78.60948909999999"
Chennampet Masjid,Mosque,"Chennampet Masjid, #84, Chennampet, Vaniyambadi, Tamil Nadu 635751",Chennampet,#84,Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Chennampet+Masjid/data=!4m7!3m6!1s0x3bada9a723203889:0xdf303ccc61b8077f!8m2!3d12.6824194!4d78.6100423!16s%2Fg%2F1wd3th1b!19sChIJiTggI6eprTsRfwe4Ycw8MN8?authuser=0&hl=en&rclk=1,"12.682419399999999,78.6100423"
Masjid E Zubair,Mosque,"MJRM+24H Masjid E Zubair, PJN Rd, Dr.B.R Ambedkar Nagar, Vaniyambadi, Tamil Nadu 635751",Dr.B.R Ambedkar Nagar,"MJRM+24H, PJN Rd",Vaniyambadi,635751,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+E+Zubair/data=!4m7!3m6!1s0x3bada9b6371a41c7:0x2e87d092aefea60b!8m2!3d12.6900632!4d78.6328592!16s%2Fg%2F11fyzcqv2d!19sChIJx0EaN7aprTsRC6b-rpLQhy4?authuser=0&hl=en&rclk=1,"12.690063199999999,78.6328592"
