place_id,place_name,about,link
ChIJgeF-33dPBzsRm9CJGZdLs80,Jumma Big Mosque,All,https://lh5.googleusercontent.com/p/AF1QipO21ZwI9wX875eZfM7hZIJ4zRmSmYRQ9oAwhSD6=w239-h298-k-no
ChIJgeF-33dPBzsRm9CJGZdLs80,Jumma Big Mosque,Latest,https://lh5.googleusercontent.com/p/AF1QipN4kKnC-mfU-yxhDxSkDb-ZCxXte2alPGNxKDtL=w397-h298-k-no
ChIJgeF-33dPBzsRm9CJGZdLs80,Jumma Big Mosque,Videos,https://lh5.googleusercontent.com/p/AF1QipM6K3i5xo6ENS6yFWtSKpXmRo79tRKQN38kkc7z=w536-h298-k-no
ChIJgeF-33dPBzsRm9CJGZdLs80,Jumma Big Mosque,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ci7gyHPWmejzMiTnlox2yA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=235.6944&pitch=0&thumbfov=100
ChIJpwH1v5hPBzsRqAexpo7h4ww,Batlagundu Terra Masjid (THENI - DINDIGUL) Main Road,All,https://lh5.googleusercontent.com/p/AF1QipMDe1SWNK2BQ7cdIwV84anHZ4eNVZ3-PZJuQT2x=w224-h303-k-no
ChIJpwH1v5hPBzsRqAexpo7h4ww,Batlagundu Terra Masjid (THENI - DINDIGUL) Main Road,Videos,https://lh5.googleusercontent.com/p/AF1QipOXAsACe8qUEZ91eDg6NmGwkePOVnKsPN7-Zldx=w224-h389-k-no
ChIJp6kZXZtPBzsRRshEQ8S29LM,Gandhinagar Masjid,All,https://lh5.googleusercontent.com/p/AF1QipNz6V_270gxhAzQG4Qg3EINYwxXwvTB-crxZP_y=w224-h298-k-no
ChIJp6kZXZtPBzsRRshEQ8S29LM,Gandhinagar Masjid,Videos,https://lh5.googleusercontent.com/p/AF1QipOhZtxYUUpbCDw0C_Nlp-HxngGvWsJqCbT_U9Yt=w224-h398-k-no
ChIJv367woJPBzsRY7h01c_ceyk,Firdousiya Masjid,All,https://lh5.googleusercontent.com/p/AF1QipN_uwNti-Amxat0FA_ENRPxt3v-oxmbGxl3vv89=w224-h497-k-no
ChIJK9Jy3ZpPBzsR9KNxxHb6GiM,Allapitchai ravuthar pallivasal,All,https://lh5.googleusercontent.com/p/AF1QipMm9YFV3Ed6ZBWDgfK2wEgMmEQz7G8bDLOX7JVk=w224-h298-k-no
ChIJISVJTsVPBzsR0DAIxT-ETMc,KS TRUST MASJID GANDHI NAGAR,All,https://lh5.googleusercontent.com/p/AF1QipObC2c09Injg9_TgZVa9tcUtqMdk5KYynM_EBfd=w224-h298-k-no
ChIJR-cq2QVPBzsR_u5iPeePVYc,Haji Asan Rowther masjid,All,https://lh5.googleusercontent.com/p/AF1QipOE9OIfwLdvsdmEtP3XU6jgYKRetoYCIJw4zGTk=w397-h298-k-no
ChIJR-cq2QVPBzsR_u5iPeePVYc,Haji Asan Rowther masjid,By owner,https://lh5.googleusercontent.com/p/AF1QipNkj4u7cXWl9PgCRE9Jdf03NJaf6QMxhl46AgHK=w527-h298-k-no
ChIJbW2B5kVFBzsRyQExi9i7Vxg,Kanzur Rashad Masjid,All,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gZUvi8vc64WbBeqVeOGBbw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=209.81944&pitch=0&thumbfov=100
ChIJbW2B5kVFBzsRyQExi9i7Vxg,Kanzur Rashad Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gZUvi8vc64WbBeqVeOGBbw&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=209.81944&pitch=0&thumbfov=100
