name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Saify Masjid,Mosque,"GRH4+JC5 Saify Masjid, Vaishali Nagar, Vidisha, Madhya Pradesh 464001",Vaishali Nagar,GRH4+JC5,Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Saify+Masjid/data=!4m7!3m6!1s0x397c045b162967d3:0x66e4121342d00b3e!8m2!3d23.5290222!4d77.8061135!16s%2Fg%2F11c6q51_s4!19sChIJ02cpFlsEfDkRPgvQQhMS5GY?authuser=0&hl=en&rclk=1,"23.5290222,77.8061135"
Madina Masjid,Mosque,"GRF7+MX8 Madina Masjid, Khari Phatak Rd, Baripura, Vidisha, Madhya Pradesh 464001",Baripura,"GRF7+MX8, Khari Phatak Rd",Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Madina+Masjid/data=!4m7!3m6!1s0x397c0460977baf2f:0x4380244c51cb34b0!8m2!3d23.5241702!4d77.8149594!16s%2Fg%2F11hcd_ybk6!19sChIJL697l2AEfDkRsDTLUUwkgEM?authuser=0&hl=en&rclk=1,"23.5241702,77.81495939999999"
Masjid Madni,Mosque,"GRJ2+FC7 Masjid Madni, guthan,, Khai Rd, Baripura, Vidisha, Madhya Pradesh 464001",Baripura,"GRJ2+FC7, guthan,, Khai Rd",Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid+Madni/data=!4m7!3m6!1s0x397c044fe8045d9d:0x84158d730afc455!8m2!3d23.5311664!4d77.8010575!16s%2Fg%2F11clwkrh97!19sChIJnV0E6E8EfDkRVcSvMNdYQQg?authuser=0&hl=en&rclk=1,"23.5311664,77.8010575"
Masjid Sabgi Farosh,Mosque,"GRH4+J9X Masjid Sabgi Farosh, Vaishali Nagar, Vidisha, Madhya Pradesh 464001",Vaishali Nagar,GRH4+J9X,Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Masjid+Sabgi+Farosh/data=!4m7!3m6!1s0x397c045b177db93f:0xc1a096fa758a000b!8m2!3d23.5291206!4d77.8059989!16s%2Fg%2F11dymcv8dh!19sChIJP7l9F1sEfDkRCwCKdfqWoME?authuser=0&hl=en&rclk=1,"23.5291206,77.80599889999999"
Eidgah Mosque,Mosque,"Eidgah Mosque, EIDGAH CHOWRAHA, Sanchi Rd, Shastri Nagar, Vidisha, Madhya Pradesh 464001",Shastri Nagar,"EIDGAH CHOWRAHA, Sanchi Rd",Vidisha,,Madhya Pradesh,IN,https://www.google.com/maps/place/Eidgah+Mosque/data=!4m7!3m6!1s0x397c05fc8a71f475:0xebbbc1aed64782b1!8m2!3d23.51603!4d77.7942281!16s%2Fg%2F11r7bf17fb!19sChIJdfRxivwFfDkRsYJH1q7Bu-s?authuser=0&hl=en&rclk=1,"23.51603,77.7942281"
imaambaadd'aa,Mosque,"GRH2+6H6 imaambaadd'aa, Daulatpur, Vidisha, Madhya Pradesh 464001",Daulatpur,GRH2+6H6,Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/%E0%A4%87%E0%A4%AE%E0%A4%BE%E0%A4%AE%E0%A4%AC%E0%A4%BE%E0%A4%A1%E0%A4%BC%E0%A4%BE/data=!4m7!3m6!1s0x397c056da9381af7:0xf0134868498763a1!8m2!3d23.5280447!4d77.8013848!16s%2Fg%2F11gvt0dh5s!19sChIJ9xo4qW0FfDkRoWOHSWhIE_A?authuser=0&hl=en&rclk=1,"23.5280447,77.8013848"
"Masjid Noori, Vidisha",Mosque,"GRG4+22W Masjid Noori, Vidisha, Unnamed Road, Daulatpur, Vidisha, Madhya Pradesh 464001",Daulatpur,"GRG4+22W, Unnamed Road",Vidisha,464001,Madhya Pradesh,IN,"https://www.google.com/maps/place/Masjid+Noori,+Vidisha/data=!4m7!3m6!1s0x397c05ce3278f167:0x582894d58b5c1cd0!8m2!3d23.5251056!4d77.8050895!16s%2Fg%2F11gn1p69x6!19sChIJZ_F4Ms4FfDkR0Bxci9WUKFg?authuser=0&hl=en&rclk=1","23.5251056,77.8050895"
Nurani masjid,Mosque,"GRG3+5HQ Nurani masjid, Daulatpur, Vidisha, Madhya Pradesh 464001",Daulatpur,GRG3+5HQ,Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Nurani+masjid/data=!4m7!3m6!1s0x397c0514570d2285:0x50af8545112596bd!8m2!3d23.5254527!4d77.8039719!16s%2Fg%2F11jlj93qc9!19sChIJhSINVxQFfDkRvZYlEUWFr1A?authuser=0&hl=en&rclk=1,"23.5254527,77.8039719"
Sultani Masjid,Mosque,"GRH5+M2H Sultani Masjid, Reetha Fatak Rd, behind unique career school, Vaishali Nagar, Vidisha, Madhya Pradesh 464001",Vaishali Nagar,"GRH5+M2H, Reetha Fatak Rd, behind unique career school",Vidisha,464001,Madhya Pradesh,IN,https://www.google.com/maps/place/Sultani+Masjid/data=!4m7!3m6!1s0x397c05a8b61e8f3b:0x3e7ae7d6012751c8!8m2!3d23.529181!4d77.807603!16s%2Fg%2F11h2n07h7s!19sChIJO48etqgFfDkRyFEnAdbnej4?authuser=0&hl=en&rclk=1,"23.529180999999998,77.807603"
"Moti Masjid (mwty msjd, motii msjid)",Mosque,"GRH4+72H Moti Masjid (mwty msjd, motii msjid), Baripura, Vidisha, Madhya Pradesh 464001",Baripura,GRH4+72H,Vidisha,464001,Madhya Pradesh,IN,"https://www.google.com/maps/place/Moti+Masjid+%28%D9%85%D9%88%D8%AA%DB%8C+%D9%85%D8%B3%D8%AC%D8%AF,+%E0%A4%AE%E0%A5%8B%E0%A4%A4%E0%A5%80+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6%29%E2%80%AD/data=!4m7!3m6!1s0x397c05d5e7bbdb0d:0x8bb8ff44fa93f191!8m2!3d23.5281877!4d77.8051031!16s%2Fg%2F11tt5rfhh8!19sChIJDdu759UFfDkRkfGT-kT_uIs?authuser=0&hl=en&rclk=1","23.5281877,77.8051031"
