name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
TNTJ East Anna Branch Villupuram,Mosque,"WFWX+Q43 TNTJ East Anna Branch Villupuram, Nappalaya St, Ayyur Agaram Village, Viluppuram, Tamil Nadu 605602",Ayyur Agaram Village,"WFWX+Q43, Nappalaya St",Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/TNTJ+East+Anna+Branch+Villupuram/data=!4m7!3m6!1s0x3a5356c165c58ecf:0x487b31b8b7b7553c!8m2!3d11.9468768!4d79.4977814!16s%2Fg%2F11cnph5rw9!19sChIJz47FZcFWUzoRPFW3t7gxe0g?authuser=0&hl=en&rclk=1,"11.9468768,79.4977814"
Mandimahalla Masjid,Mosque,"WFWQ+4R2 Mandimahalla Masjid, Thiru Vi Ka Street, Viluppuram, Tamil Nadu 605602",Thiru Vi Ka Street,WFWQ+4R2,Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/Mandimahalla+Masjid/data=!4m7!3m6!1s0x3a5356be5652b13d:0xa0ec6c94d481d7e2!8m2!3d11.9452544!4d79.4895312!16s%2Fg%2F11f3jwr7rw!19sChIJPbFSVr5WUzoR4teB1JRs7KA?authuser=0&hl=en&rclk=1,"11.9452544,79.4895312"
Masjid Madina,Mosque,"WFHM+7PW Masjid Madina, KK Nagar Rd, K K Nagar, Viluppuram, Tamil Nadu 605602",K K Nagar,"WFHM+7PW, KK Nagar Rd",Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Madina/data=!4m7!3m6!1s0x3a53568f0041712f:0x425125c19ca039b6!8m2!3d11.9282374!4d79.4843436!16s%2Fg%2F11f29xs2vf!19sChIJL3FBAI9WUzoRtjmgnMElUUI?authuser=0&hl=en&rclk=1,"11.928237399999999,79.4843436"
VILLUPURAM,Mosque,"VILLUPURAM, Walaja moseq, North St, Viluppuram, Tamil Nadu 605602",Kamalanagar,"Walaja moseq, North St",Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/VILLUPURAM/data=!4m7!3m6!1s0x3a5356c74fcfc6c9:0x518a862a93c8d9a5!8m2!3d11.9488635!4d79.493576!16s%2Fg%2F1tf6kmp5!19sChIJycbPT8dWUzoRpdnIkyqGilE?authuser=0&hl=en&rclk=1,"11.9488635,79.49357599999999"
Masjid Mohamadiya Ahle Hadees,Mosque,"WGW2+W98 Masjid Mohamadiya Ahle Hadees, Keezperum Pakkam, Viluppuram, Tamil Nadu 605602",Keezperum Pakkam,WGW2+W98,Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/Masjid+Mohamadiya+Ahle+Hadees/data=!4m7!3m6!1s0x3a5356c3a2033bff:0x60573cfe3465c245!8m2!3d11.9472814!4d79.5009568!16s%2Fg%2F12qg0_4rm!19sChIJ_zsDosNWUzoRRcJlNP48V2A?authuser=0&hl=en&rclk=1,"11.9472814,79.5009568"
Jamia Ahle-Hadees Masjid,Mosque,"WFXX+234 Jamia Ahle-Hadees Masjid, Thaikkal St, Pettai, Viluppuram, Tamil Nadu 605602",Pettai,"WFXX+234, Thaikkal St",Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/Jamia+Ahle-Hadees+Masjid/data=!4m7!3m6!1s0x3a535743a841eddd:0xc5fee3acf23f3aff!8m2!3d11.9475057!4d79.497688!16s%2Fg%2F11gx_4l682!19sChIJ3e1BqENXUzoR_zo_8qzj_sU?authuser=0&hl=en&rclk=1,"11.947505699999999,79.497688"
Makkah Masjid,Mosque,"Makkah Masjid, razak lay out 4th street",Keezperum Pakkam,razak lay out 4th street,Viluppuram,,Tamil Nadu,IN,https://www.google.com/maps/place/Makkah+Masjid/data=!4m7!3m6!1s0x3a5356c484d7e683:0x2d23c8e0d241ac0!8m2!3d11.949166!4d79.5019418!16s%2Fg%2F11cmmrmbmd!19sChIJg-bXhMRWUzoRwBokDY480gI?authuser=0&hl=en&rclk=1,"11.949166,79.5019418"
Masjidur Rahman,Mosque,"Masjidur Rahman, 4/36 KuppusamiStrert, E Pondy Rd, Keezperum Pakkam, Viluppuram, Tamil Nadu 605602",Keezperum Pakkam,"4/36 KuppusamiStrert, E Pondy Rd","Viluppuram, V. Marudur",605602,Tamil Nadu,IN,https://www.google.com/maps/place/Masjidur+Rahman/data=!4m7!3m6!1s0x3a5356e8ac1852cb:0x39bc246b4307b568!8m2!3d11.9379628!4d79.503627!16s%2Fg%2F11d_bkjxjp!19sChIJy1IYrOhWUzoRaLUHQ2skvDk?authuser=0&hl=en&rclk=1,"11.9379628,79.503627"
"Walaja Masjith, North Street Villupuram",Mosque,"Walaja Masjith, North Street Villupuram, 23, Walaja Masjid St, Kamalanagar, Fathima Layout, Viluppuram, Tamil Nadu 605602","Kamalanagar, Fathima Layout","23, Walaja Masjid St",Viluppuram,605602,Tamil Nadu,IN,"https://www.google.com/maps/place/Walaja+Masjith,+North+Street+Villupuram/data=!4m7!3m6!1s0x3a5356c75f526d41:0x1be9ec184662df23!8m2!3d11.9492554!4d79.4938938!16s%2Fg%2F11cst0bjdr!19sChIJQW1SX8dWUzoRI99iRhjs6Rs?authuser=0&hl=en&rclk=1","11.9492554,79.4938938"
Mosque,Mosque,"Mosque, 7, KK Rd, K K Nagar, Viluppuram, Tamil Nadu 605602",K K Nagar,"7, KK Rd",Viluppuram,605602,Tamil Nadu,IN,https://www.google.com/maps/place/Mosque/data=!4m7!3m6!1s0x3a5356949c54cb35:0x2b80c701ffb12904!8m2!3d11.9372047!4d79.490974!16s%2Fg%2F11g8gtqbxq!19sChIJNctUnJRWUzoRBCmx_wHHgCs?authuser=0&hl=en&rclk=1,"11.937204699999999,79.490974"
