name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Sarvari Sunni Masjid,Mosque,"FRFH+FWC Sarvari Sunni Masjid, Chandansar Rd, Virar East, Virar, Maharashtra 401305",Virar East,"FRFH+FWC, Chandansar Rd",Virar,401305,Maharashtra,IN,https://www.google.com/maps/place/Sarvari+Sunni+Masjid/data=!4m7!3m6!1s0x3be7a9c048c605ad:0xed80b7025c2d67ae!8m2!3d19.4736858!4d72.8297527!16s%2Fg%2F11c2068xsj!19sChIJrQXGSMCp5zsRrmctXAK3gO0?authuser=0&hl=en&rclk=1,"19.4736858,72.8297527"
Jama Masjid Virar,Mosque,"FR36+CM8 Jama Masjid Virar, Subway, Gaothan, Virar East, Virar, Maharashtra 401303","Gaothan, Virar East","FR36+CM8, Subway",Virar,401303,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+Virar/data=!4m7!3m6!1s0x3be7a9846caf313d:0xd0a6094444c6cdb3!8m2!3d19.4535332!4d72.8116947!16s%2Fg%2F1thd08dx!19sChIJPTGvbISp5zsRs83GREQJptA?authuser=0&hl=en&rclk=1,"19.4535332,72.81169469999999"
Pirkunda Dargah,Mosque,"FV9F+GWG Pirkunda Dargah, Chandansar Road, Virar East, Veer Savarkar Marg, Khairpada, Maharashtra 401305",,"FV9F+GWG, Chandansar Road, Virar East, Veer Savarkar Marg",Khairpada,401305,Maharashtra,IN,https://www.google.com/maps/place/Pirkunda+Dargah/data=!4m7!3m6!1s0x3be7a8420b4ac8bf:0x815b7fc39f8e9473!8m2!3d19.468813!4d72.8748388!16s%2Fg%2F11c6mz44zx!19sChIJv8hKC0Ko5zsRc5SOn8N_W4E?authuser=0&hl=en&rclk=1,"19.468813,72.87483879999999"
Bolinj Masjid,Mosque,"CQVR+3P2 Bolinj Masjid, Bhandar Aali, Bolinj, Virar West, Virar, Maharashtra 401303","Bhandar Aali, Bolinj, Virar West",CQVR+3P2,Virar,401303,Maharashtra,IN,https://www.google.com/maps/place/Bolinj+Masjid/data=!4m7!3m6!1s0x3be7abcd6553ab5b:0x99ce156329a5b626!8m2!3d19.4426445!4d72.791757!16s%2Fg%2F1tjl4c5z!19sChIJW6tTZc2r5zsRJralKWMVzpk?authuser=0&hl=en&rclk=1,"19.4426445,72.79175699999999"
Sunni masjid 2nd Road,Mosque,"Sunni masjid 2nd Road, A-106, 2nd Road, Panbai Nagar, Sriprastha, Nalasopara West, Vasai-Virar, Nala Sopara, Maharashtra 401203","Panbai Nagar, Sriprastha, Nalasopara West","A-106, 2nd Road","Vasai-Virar, Nala Sopara",401203,Maharashtra,IN,https://www.google.com/maps/place/Sunni+masjid+2nd+Road/data=!4m7!3m6!1s0x3be7a97bc7799aed:0x21958ea4cbc95ee8!8m2!3d19.4220966!4d72.8094785!16s%2Fg%2F11j0yhrcdk!19sChIJ7Zp5x3up5zsR6F7Jy6SOlSE?authuser=0&hl=en&rclk=1,"19.4220966,72.8094785"
Gausiya Masjid,Mosque,"Gausiya Masjid, Mansoori Nagar, Gopchar pada, Veer Savarkar Marg, East, Virar, Maharashtra 401305",East,"Mansoori Nagar, Gopchar pada, Veer Savarkar Marg",Virar,401305,Maharashtra,IN,https://www.google.com/maps/place/Gausiya+Masjid/data=!4m7!3m6!1s0x3be7a98c28e1ea93:0xd969617aae02bb1a!8m2!3d19.4653125!4d72.8121875!16s%2Fg%2F11g8b6dm9d!19sChIJk-rhKIyp5zsRGrsCrnphadk?authuser=0&hl=en&rclk=1,"19.4653125,72.8121875"
Sunni Zohara Masjid,Mosque,"Sunni Zohara Masjid, Oswal Nagari, Nalasopara East, Nala Sopara, Maharashtra 401209","Oswal Nagari, Nalasopara East",,Nala Sopara,401209,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Zohara+Masjid/data=!4m7!3m6!1s0x3be7a96f0c6eb561:0xb6eacfcb114f2020!8m2!3d19.4325625!4d72.8178125!16s%2Fg%2F11f3wc1nxs!19sChIJYbVuDG-p5zsRICBPEcvP6rY?authuser=0&hl=en&rclk=1,"19.4325625,72.8178125"
Bilal Masjid,Mosque,"FR88+27X Bilal Masjid, Veer Savarkar Marg, Sai Datt Nagar, Virar East, Virar, Maharashtra 401305","Sai Datt Nagar, Virar East","FR88+27X, Veer Savarkar Marg",Virar,401305,Maharashtra,IN,https://www.google.com/maps/place/Bilal+Masjid/data=!4m7!3m6!1s0x3be7a98df755109f:0xebae6f8821101d7a!8m2!3d19.4651011!4d72.8157359!16s%2Fg%2F11bv3826sf!19sChIJnxBV942p5zsReh0QIYhvrus?authuser=0&hl=en&rclk=1,"19.4651011,72.81573589999999"
Masjid & Madarsa Talimul Quran,Mosque,"Masjid & Madarsa Talimul Quran, Tarannum Apartment, Doghar Pada, Tirupati Nagar Phase II, Vartak Ward, Virar West, Virar, Maharashtra 401303","Doghar Pada, Tirupati Nagar Phase II, Vartak Ward, Virar West",Tarannum Apartment,Virar,401303,Maharashtra,IN,https://www.google.com/maps/place/Masjid+%26+Madarsa+Talimul+Quran/data=!4m7!3m6!1s0x3be7a90e426042d5:0xb45f796eae135589!8m2!3d19.4538459!4d72.8054537!16s%2Fg%2F11g190zxzd!19sChIJ1UJgQg6p5zsRiVUTrm55X7Q?authuser=0&hl=en&rclk=1,"19.453845899999997,72.8054537"
Sunni Masjid,Mosque,"FQ7H+529 Sunni Masjid, Agashi Rd, Agashi, Virar West, Virar, Maharashtra 401301","Agashi, Virar West","FQ7H+529, Agashi Rd",Virar,401301,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Masjid/data=!4m7!3m6!1s0x3be7aa4102961a55:0xf1d82e0d97d1d309!8m2!3d19.4629152!4d72.7776217!16s%2Fg%2F1ptxfbfg_!19sChIJVRqWAkGq5zsRCdPRlw0u2PE?authuser=0&hl=en&rclk=1,"19.462915199999998,72.7776217"
