name,main_category,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,link,coordinates
Haji Shahbaba Mosque,Mosque,"Haji Shahbaba Mosque, Shahbaugh Road Wai, Shahbaug, Maharashtra 412803",Shahbaug,Shahbaugh Road Wai,,412803,Maharashtra,IN,https://www.google.com/maps/place/Haji+Shahbaba+Mosque/data=!4m7!3m6!1s0x3bc25cc82f61a94d:0x20e3965deb5abcc2!8m2!3d17.9453419!4d73.911995!16s%2Fg%2F1td5_55c!19sChIJTalhL8hcwjsRwrxa612W4yA?authuser=0&hl=en&rclk=1,"17.9453419,73.91199499999999"
Jama Masjid jm` msjd,Mosque,"R2XM+JCM Jama Masjid jm` msjd, Wai Bazaar, Maharashtra 431721",,R2XM+JCM,Wai Bazaar,431721,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid+%D8%AC%D8%A7%D9%85%D8%B9+%D9%85%D8%B3%D8%AC%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3bd22c124a0f49b1:0xaf7b92441fb69334!8m2!3d19.8490959!4d78.0335552!16s%2Fg%2F11ckvgn5h8!19sChIJsUkPShIs0jsRNJO2H0SSe68?authuser=0&hl=en&rclk=1,"19.8490959,78.0335552"
MASJID KHAULA,Mosque,"R2XP+XQX MASJID KHAULA, Wai, Maharashtra 431721",,R2XP+XQX,Wai,431721,Maharashtra,IN,https://www.google.com/maps/place/MASJID+KHAULA/data=!4m7!3m6!1s0x3bd22c147472e265:0x68391afb542280da!8m2!3d19.8499849!4d78.0369844!16s%2Fg%2F11gcdg70ss!19sChIJZeJydBQs0jsR2oAiVPsaOWg?authuser=0&hl=en&rclk=1,"19.8499849,78.0369844"
"Shams Masjid,Wai.",Mosque,"Shams Masjid,Wai., panchgani, road, Government Rest House Rd, Dhom Colony, Wai, Maharashtra 412803",Dhom Colony,"panchgani, road, Government Rest House Rd",Wai,412803,Maharashtra,IN,"https://www.google.com/maps/place/Shams+Masjid,Wai./data=!4m7!3m6!1s0x3bc25da3bb0b42b7:0xb22cb803ab4c2e0c!8m2!3d17.9487927!4d73.8856567!16s%2Fg%2F11tnxjdqt5!19sChIJt0ILu6NdwjsRDC5MqwO4LLI?authuser=0&hl=en&rclk=1","17.9487927,73.8856567"
"Masjid Sharif Bungam,Wai",Mosque,"J646+VQV Masjid Sharif Bungam,Wai, Wai, 192211",,J646+VQV,Wai,192211,,IN,"https://www.google.com/maps/place/Masjid+Sharif+Bungam,Wai/data=!4m7!3m6!1s0x391df7768ff60d9b:0xfa73f9e9882c54d8!8m2!3d33.6072367!4d75.2119139!16s%2Fg%2F11n_yp4c9t!19sChIJmw32j3b3HTkR2FQsiOn5c_o?authuser=0&hl=en&rclk=1","33.6072367,75.2119139"
"HANFIA JAMIA MASJID HARGAM, VOI",Mosque,"J657+H2X HANFIA JAMIA MASJID HARGAM, VOI, Wai, 192211",,J657+H2X,Wai,192211,,IN,"https://www.google.com/maps/place/HANFIA+JAMIA+MASJID+HARGAM,+VOI/data=!4m7!3m6!1s0x391df72b37d8c235:0xfa592115b9478dac!8m2!3d33.6089885!4d75.2125992!16s%2Fg%2F11q2syc3zx!19sChIJNcLYNyv3HTkRrI1HuRUhWfo?authuser=0&hl=en&rclk=1","33.608988499999995,75.2125992"
Sunni Masjid Wai,Mosque,"XV2X+532 Sunni Masjid Wai, Gujarali Rd, Gujar Ali, Phulenagar, Wai, Maharashtra 412803","Gujar Ali, Phulenagar","XV2X+532, Gujarali Rd",Wai,412803,Maharashtra,IN,https://www.google.com/maps/place/Sunni+Masjid+Wai/data=!4m7!3m6!1s0x3bc25cdba0f00001:0xd186bdab7bbe0a30!8m2!3d17.9503813!4d73.8976315!16s%2Fg%2F11tgg7lr9g!19sChIJAQDwoNtcwjsRMAq-e6u9htE?authuser=0&hl=en&rclk=1,"17.9503813,73.8976315"
Jama Masjid,Mosque,"XV2V+QXC Jama Masjid, Rawiwar Peth, Raviwar Peth, Wai, Maharashtra 412803","Rawiwar Peth, Raviwar Peth",XV2V+QXC,Wai,412803,Maharashtra,IN,https://www.google.com/maps/place/Jama+Masjid/data=!4m7!3m6!1s0x3bc25cdc003aaaab:0x3a6d3a7dff4722ec!8m2!3d17.9519449!4d73.8948755!16s%2Fg%2F11kj3f5yv9!19sChIJq6o6ANxcwjsR7CJH_306bTo?authuser=0&hl=en&rclk=1,"17.9519449,73.8948755"
"Lakkad Masjid, Wai",Mosque,"Lakkad Masjid, Wai, 1778, Raviwar Peth, Wai, Maharashtra 412803",Raviwar Peth,1778,Wai,412803,Maharashtra,IN,"https://www.google.com/maps/place/Lakkad+Masjid,+Wai/data=!4m7!3m6!1s0x3bc25d33a9a876b5:0x3a8b8cd286ac14ef!8m2!3d17.9553912!4d73.8975386!16s%2Fg%2F11kj_bcdgt!19sChIJtXaoqTNdwjsR7xSshtKMizo?authuser=0&hl=en&rclk=1","17.955391199999998,73.89753859999999"
Hajrat Jalaluddin dargah masjid,Mosque,"Hajrat Jalaluddin dargah masjid, 830, Dharampuri Rd, Dharmapuri, Brahmanshahi, Wai, Maharashtra 412803","Dharmapuri, Brahmanshahi","830, Dharampuri Rd",Wai,412803,Maharashtra,IN,https://www.google.com/maps/place/Hajrat+Jalaluddin+dargah+masjid/data=!4m7!3m6!1s0x3bc25db37a4afb1f:0x39514450f3a221a0!8m2!3d17.9556744!4d73.8892797!16s%2Fg%2F11qh345lwr!19sChIJH_tKerNdwjsRoCGi81BEUTk?authuser=0&hl=en&rclk=1,"17.9556744,73.8892797"
taahershaah msjid,Mosque,"XV3W+J5G taahershaah msjid, Raviwar Peth, Wai, Maharashtra 412803",Raviwar Peth,XV3W+J5G,Wai,412803,Maharashtra,IN,https://www.google.com/maps/place/%E0%A4%A4%E0%A4%BE%E0%A4%B9%E0%A5%87%E0%A4%B0%E0%A4%B6%E0%A4%BE%E0%A4%B9+%E0%A4%AE%E0%A4%B8%E0%A5%8D%E0%A4%9C%E0%A4%BF%E0%A4%A6/data=!4m7!3m6!1s0x3bc25d1fffa69e95:0x2ea109180b850f48!8m2!3d17.9540615!4d73.8954418!16s%2Fg%2F11hz0xbnxl!19sChIJlZ6m_x9dwjsRSA-FCxgJoS4?authuser=0&hl=en&rclk=1,"17.954061499999998,73.8954418"
Hanfiya Jamai Masjid Voi,Mosque,"J646+CFP Hanfiya Jamai Masjid Voi, Wai, Jammu and Kashmir 192211",,J646+CFP,Wai,192211,Jammu and Kashmir,IN,https://www.google.com/maps/place/Hanfiya+Jamai+Masjid+Voi/data=!4m7!3m6!1s0x391df7e442805283:0xe15a03bf68ab9876!8m2!3d33.6087566!4d75.2126176!16s%2Fg%2F11q23h_w7q!19sChIJg1KAQuT3HTkRdpiraL8DWuE?authuser=0&hl=en&rclk=1,"33.6087566,75.2126176"
"Jamia Masjid Ahlihadees,Voi",Mosque,"J647+Q7F Jamia Masjid Ahlihadees,Voi, Wai, 192211",,J647+Q7F,Wai,192211,,IN,"https://www.google.com/maps/place/Jamia+Masjid+Ahlihadees,Voi/data=!4m7!3m6!1s0x391df7d4384d7e0d:0x98988f73ceadcc30!8m2!3d33.6069289!4d75.2131741!16s%2Fg%2F11q97pc1j5!19sChIJDX5NONT3HTkRMMytznOPmJg?authuser=0&hl=en&rclk=1","33.6069289,75.2131741"
Hanafia Masjid Voi,Mosque,"J656+8V7 Hanafia Masjid Voi, Wai, 192211",,J656+8V7,Wai,192211,,IN,https://www.google.com/maps/place/Hanafia+Masjid+Voi/data=!4m7!3m6!1s0x391df74d115e3c87:0xa521a31dab6183ea!8m2!3d33.6082775!4d75.2121773!16s%2Fg%2F11sqynnwb3!19sChIJhzxeEU33HTkR6oNhqx2jIaU?authuser=0&hl=en&rclk=1,"33.6082775,75.2121773"
Hanfia Masjid Shareef peerpora voi,Mosque,"J646+F2W Hanfia Masjid Shareef peerpora voi, Wai, 192211",,J646+F2W,Wai,,,IN,https://www.google.com/maps/place/Hanfia+Masjid+Shareef+peerpora+voi/data=!4m7!3m6!1s0x391df7bfcde685cb:0x2e9451ece19da0f!8m2!3d33.6062391!4d75.2100757!16s%2Fg%2F11rtl_mktw!19sChIJy4Xmzb_3HTkRD9oZzh5F6QI?authuser=0&hl=en&rclk=1,"33.606239099999996,75.21007569999999"
Bagwan Masjid,Mosque,"Bagwan Masjid, Paga Talim Road, Marwadi Galli Road, Dharmapuri, Brahmanshahi, Wai, Maharashtra 412803","Dharmapuri, Brahmanshahi","Paga Talim Road, Marwadi Galli Road",Wai,412803,Maharashtra,IN,https://www.google.com/maps/place/Bagwan+Masjid/data=!4m7!3m6!1s0x3bc25cdff4ac0001:0xfb79b3fcba520a3e!8m2!3d17.9556726!4d73.8892944!16s%2Fg%2F11txmz9bvp!19sChIJAQCs9N9cwjsRPgpSuvyzefs?authuser=0&hl=en&rclk=1,"17.9556726,73.8892944"
