place_id,place_name,about,link
ChIJiZk8jnsh4TgRauFht8VS9_w,Masjid sharif (wani mohalla) Qasba haihama,All,https://lh5.googleusercontent.com/p/AF1QipNbEIdYOGExOrk2ZgQOTx1CnITSDVEnQvbskvcf=w397-h298-k-no
ChIJiZk8jnsh4TgRauFht8VS9_w,Masjid sharif (wani mohalla) Qasba haihama,By owner,https://lh5.googleusercontent.com/p/AF1QipPtAU0ocoZuNDSwY2a59_vUdxHCSxbKS8iovWI7=w397-h298-k-no
ChIJMQ022iD9DDkRK0zMUP86MH4,Masjid Dai-Wali,All,https://lh5.googleusercontent.com/p/AF1QipOaisNnDX5FEuFLM4JAFB2uQ91YPdMumSVyXN8W=w224-h298-k-no
ChIJMQ022iD9DDkRK0zMUP86MH4,Masjid Dai-Wali,Dome,https://lh5.googleusercontent.com/p/AF1QipMq5VrFPYNWletBhy94Uixs4BeNdw2lr_OzpRm1=w397-h298-k-no
ChIJZ21s6CH9DDkRqGLq-7Y9yOs,Masjid Jamun Wali,All,https://lh5.googleusercontent.com/p/AF1QipOdS4JiyltnkOSnaMbSw40T0Z9Rr78DELjnCJJE=w397-h298-k-no
ChIJkYD478II4jgR99lbELcNWCc,mrkhzy jm` msjd shryf bryntty,All,https://lh5.googleusercontent.com/p/AF1QipMlUB_4vx9JYHvk1XpWc7GyitJernyH2smDOgEp=w529-h298-k-no
ChIJkYD478II4jgR99lbELcNWCc,mrkhzy jm` msjd shryf bryntty,By owner,https://lh5.googleusercontent.com/p/AF1QipMlUB_4vx9JYHvk1XpWc7GyitJernyH2smDOgEp=w529-h298-k-no
ChIJkYD478II4jgR99lbELcNWCc,mrkhzy jm` msjd shryf bryntty,Videos,https://lh5.googleusercontent.com/p/AF1QipPuHRMkFCM-Ny6ht8zziDlOcfonHCQQPfPiv08g=w529-h298-k-no
ChIJkYD478II4jgR99lbELcNWCc,mrkhzy jm` msjd shryf bryntty,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipMDSsc6zi9vSq9qG5-JKDwrQM8YeIfs-qCzv-1e=w224-h298-k-no-pi-31.512783-ya67-ro-0-fo100
ChIJE_FMwZyK4TgRFFTpMCYzXyU,Masjid Shareif Lethipora,All,https://lh5.googleusercontent.com/p/AF1QipN3rCSF-1YPZ2t24KHeC0xqeM6MWBSU6TSWfFmz=w298-h298-k-no
ChIJE_FMwZyK4TgRFFTpMCYzXyU,Masjid Shareif Lethipora,Videos,https://lh5.googleusercontent.com/p/AF1QipNQBXkO_b1MguBPG0DVrZs9BH9Eg6AA8tHCykKy=w529-h298-k-no
ChIJZ0MA1m_9DDkR2jUiMiYfvP4,Garahaiya Wali Masjid msjd ghrrhy wly,All,https://lh5.googleusercontent.com/p/AF1QipOhfNiunLypzdmYdGfka4otztHI3xo1tm7-rUH1=w224-h298-k-no
ChIJ6TOJeSL9DDkRQHEN33z5LpU,Ek Burj Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipM0VecLWD7V2eDELV2LQD6iWz56JhAVpNDyIfo=w224-h299-k-no
ChIJ6TOJeSL9DDkRQHEN33z5LpU,Ek Burj Wali Masjid,Dome,https://lh5.googleusercontent.com/p/AF1QipMaGB6Ooc9aGJwA_xdKffwmu6E_3FW9PwNqx5s=w224-h299-k-no
ChIJ6TOJeSL9DDkRQHEN33z5LpU,Ek Burj Wali Masjid,Street View & 360deg,https://lh5.googleusercontent.com/p/AF1QipNu4LZuYQkxiko9utMrsusfCbumLF_cy623QXFn=w224-h298-k-no-pi-0-ya103.000015-ro-0-fo100
ChIJQybG3_cF4jgRKVm6YxuYISs,Masjid Sharief,All,https://lh5.googleusercontent.com/p/AF1QipM-ufIgDTahQoVxx8TVp5a3kQJ8XQmgKbALyzr2=w397-h298-k-no
ChIJQybG3_cF4jgRKVm6YxuYISs,Masjid Sharief,Dome,https://lh5.googleusercontent.com/p/AF1QipMqZu5gzj5srSH-S3v3h2jqhYpyg0P0G4LGvT_G=w224-h428-k-no
ChIJh515VjXe4DgRiSMC4Nx2ubM,Masjid Wani Mohalla Herpora,All,https://lh5.googleusercontent.com/p/AF1QipO8CC2bHmnN4-G66UKbpDZqAx51sWfJcnyAUILz=w529-h298-k-no
ChIJcc7eqIOK4TgRX4Lyevh-Tmo,Hanfia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipOH90fY1TDKVfx_QGFjBOVhoToli4iJnpqFDuXG=w224-h298-k-no
ChIJJw9KQWWc4TgRhTQKg0lAE10,Jamia Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP3-Pm9OWN7QLZlkSYXCRkU9-zUL4XHu67gV-I0=w313-h298-k-no
ChIJiwsDWoH9DDkRep2FE6pQg-E,Jahtari Wali Masjid,All,https://lh5.googleusercontent.com/p/AF1QipP0cPpKWi9HXvUvBF7SNRfES3Ly8pD0S5uEGqm5=w398-h298-k-no
ChIJiwsDWoH9DDkRep2FE6pQg-E,Jahtari Wali Masjid,Latest,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z2MlVgibB9ss1o2s8NtFvg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.70903&pitch=0&thumbfov=100
ChIJiwsDWoH9DDkRep2FE6pQg-E,Jahtari Wali Masjid,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Z2MlVgibB9ss1o2s8NtFvg&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=190.70903&pitch=0&thumbfov=100
ChIJ99NwOGa-4TgRk2RksfYvd0o,Haqqani Mohalla,All,https://lh5.googleusercontent.com/p/AF1QipPL1eGb_-_5qE89YMeF69e9-tiZynYVkM3Ve8Xp=w529-h298-k-no
ChIJF2ydZ8qFHjkRC7BnEBQ8oCU,RAZA MASJID,All,https://lh5.googleusercontent.com/p/AF1QipMpuA55LJtARPmyiyj0VMh8HpZIXNSWb3jytDHH=w224-h398-k-no
ChIJF2ydZ8qFHjkRC7BnEBQ8oCU,RAZA MASJID,Videos,https://lh5.googleusercontent.com/p/AF1QipMpuA55LJtARPmyiyj0VMh8HpZIXNSWb3jytDHH=w224-h398-k-no
ChIJLac-_hP9DDkRAgJlX7wj6ic,Masjid Sanauji,All,https://lh5.googleusercontent.com/p/AF1QipOgHpJ-5Fj2fJqfxuo0o-ACUwG8mpQuIjAJkqA=w224-h343-k-no
ChIJLac-_hP9DDkRAgJlX7wj6ic,Masjid Sanauji,By owner,https://lh5.googleusercontent.com/p/AF1QipOMbkVhSOIUMNe6_YNWS11Nk5TH8gCrPaEX0cs=w224-h378-k-no
ChIJLac-_hP9DDkRAgJlX7wj6ic,Masjid Sanauji,Street View & 360deg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DyR3PllY1iQq1cn0nXaGVA&cb_client=maps_sv.tactile.gps&w=224&h=298&yaw=53.981697&pitch=0&thumbfov=100
